	Reported Trait	Trait Label	Trait Ontology id	PMID	COHORT	N	Ancestry	Classification	Notes	rv_idx
239	Glucose	glucose	CHEBI:17234	37262146	UKB	368499.0	EUR	Population Q	Mixed Q/CC	239
240	Albumin measurement	serum albumin measurement	EFO:0004535	37262146	UKB	368942.0	EUR	Population Q	Mixed Q/CC	240
276	Albumin measurement	serum albumin measurement	EFO:0004535	36088354	UKB	168138.0	EUR	Population Q		276
277	Blood RBC DISTRIB WIDTH	red blood cell distribution width	EFO:0005192	34226706	UKB	441263.0	EUR	Population Q		277
278	Blood MEAN CORPUSCULAR VOL	mean corpuscular hemoglobin	EFO:0004527	34226706	UKB	444035.0	EUR	Population Q		278
279	Biochemistry HbA1c measurement	HbA1c measurement	EFO:0004541	34226706	UKB	437749.0	EUR	Population Q		279
280	Blood RED COUNT	erythrocyte count	EFO:0004305	34226706	UKB	445305.0	EUR	Population Q		280
281	Blood HEMOGLOBIN measurement	hemoglobin measurement	EFO:0004509	34226706	UKB	445373.0	EUR	Population Q		281
282	Blood MEAN SPHERED CELL VOL	mean corpuscular volume	EFO:0004526	34226706	UKB	437736.0	EUR	Population Q		282
283	Red_blood_cell_erythrocyte_count	erythrocyte count	EFO:0004305	37262146	UKB	409929.0	EUR	Population Q	Mixed Q/CC	283
284	Mean_corpuscular_volume	mean corpuscular volume	EFO:0004526	37262146	UKB	454712.0	EUR	Exclude	Mixed Q/CC	284
286	Hiatus hernia	Hiatus hernia	HP:0002036	34375979	UKB	281104.0	EUR	Population CC/Q		286
287	Malaria	malaria	EFO:0001068	34375979	UKB	281104.0	EUR	Population CC/Q		287
288	Spontaneous vertedelivery	spontaneous abortion	EFO:1001255	34375979	UKB	281104.0	EUR	Population CC/Q		288
289	Thyrotoxicosis [hyperthyroidism])	Thyrotoxicosis	EFO:0009190	34375979	UKB	281104.0	EUR	Population CC/Q		289
291	Th[hyperthyroidism]	hyperthyroidism	EFO:0009189	34375979	UKB	281104.0	EUR	Population CC/Q		291
294	Fracture pelvis & lower limb	fracture of pelvis	EFO:0009622	34375979	UKB	281104.0	EUR	Population CC/Q		294
295	Biochemistry Alkaline Phosphatase measurement	alkaline phosphatase measurement	EFO:0004533	34226706	UKB	437896.0	EUR	Population Q		295
296	Aspartate_aminotransferase measurement	aspartate aminotransferase, cytoplasmic measurement	EFO:0008031	37262146	UKB	401372.0	EUR	Population Q	Mixed Q/CC	296
298	Alkaline_phosphatase measurement	alkaline phosphatase measurement	EFO:0004533	37262146	UKB	402875.0	EUR	Population Q	Mixed Q/CC	298
300	C_reactive_protein measurement	C-reactive protein measurement	EFO:0004458	37262146	UKB	401986.0	EUR	Population Q	Mixed Q/CC	300
301	Alanine_aminotransferase measurement	alanine aminotransferase 1 measurement	EFO:0802260	37262146	UKB	402703.0	EUR	Population Q	Mixed Q/CC	301
303	Alkaline phosphatase measurement	alkaline phosphatase measurement	EFO:0004533	31992710	UKB	48372.0	EUR	Population Q	Mixed Q/CC	303
304	Alkaline phosphatase (+1) measurement	alkaline phosphatase measurement	EFO:0004533	36088354	UKB	182741.0	EUR	Population Q		304
305	Schizophrenia	schizophrenia	MONDO:0005090	29411426	Exclude	150000.0			Unclear rare method	305
306	Standing_height	body height	EFO:0004339	37262146	UKB	421112.0	EUR	Population Q	Mixed Q/CC	306
307	Whole_body_water_mass	whole body water mass	EFO:0009805	37262146	UKB	414762.0	EUR	Population Q	Mixed Q/CC	307
308	Arm_fat_free_mass_right	fat body mass	EFO:0005409	37262146	UKB	414638.0	EUR	Population Q	Mixed Q/CC	308
309	Other disorders affecting efunction	cardiovascular disease	EFO:0000319	34375979	UKB	281104.0	EUR	Population CC/Q		309
310	Biochemistry Alanine Amino transferase	alanine	CHEBI:16449	34226706	UKB	437724.0	EUR	Population Q		310
314	Phe10_k80__bin	cholelithiasis	EFO:0004799	34662886	UKB	454787.0	EUR	Population Q	Separate File	314
315	K80_cholelithiasis	cholelithiasis	EFO:0004799	37262146	UKB	447189.0	EUR	Population Q	Mixed Q/CC	315
317	Cholelithiasis|gall stones	gallstones	EFO:0004210	34375979	UKB	281104.0	EUR	Population CC/Q		317
320	Gall bladder disease	gallbladder disease	EFO:0003832	34375979	UKB	281104.0	EUR	Population CC/Q		320
323	Eof gall bladder	gallbladder disease	EFO:0003832	34375979	UKB	281104.0	EUR	Population CC/Q		323
325	Alanine aminotransferase measurement	alanine aminotransferase 1 measurement	EFO:0802260	36088354	UKB	182674.0	EUR	Population Q		325
326	Blood MEAN RETICULOCYTE VOL	mean reticulocyte volume	EFO:0010701	34226706	UKB	436944.0	EUR	Population Q		326
327	Blood IMMATURE RETICULOCYTE FRAC	reticulocyte count	EFO:0007986	34226706	UKB	438154.0	EUR	Population Q		327
328	Blood HIGH LIGHT SCATTER RETICULOCYTE COUNT	Reticulocyte Mean Corpuscular Hemoglobin Measurement	EFO:0009202	34226706	UKB	437723.0	EUR	Population Q		328
329	Blood RETICULOCYTE COUNT	reticulocyte count	EFO:0007986	34226706	UKB	437291.0	EUR	Population Q		329
330	Reticulocyte_percentage	Reticulocyte Mean Corpuscular Hemoglobin Measurement	EFO:0009202	37262146	UKB	402911.0	EUR	Population Q	Mixed Q/CC	330
331	High_light_scatter_reticulocyte_percentage	Reticulocyte Mean Corpuscular Hemoglobin Measurement	EFO:0009202	37262146	UKB	402912.0	EUR	Population Q	Mixed Q/CC	331
332	Mean_reticulocyte_volume	mean reticulocyte volume	EFO:0010701	37262146	UKB	402910.0	EUR	Population Q	Mixed Q/CC	332
335	Standing height	body height	EFO:0004339	36138231	UKB	166587.0	EUR	Population Q	Mixed Q/CC	335
341	Sciatica (lumbar region measurement	LDH-related sciatica symptom severity measurement	EFO:0007941	34375979	UKB	281104.0	EUR	Population CC/Q		341
349	Primarangle-closure glaucoma	neovascular glaucoma	EFO:1001060	34375979	UKB	281104.0	EUR	Population CC/Q		349
355	Secondarmalignant neoplasm of pleura	Malignant Pleural Neoplasm	EFO:1000362	34375979	UKB	281104.0	EUR	Population CC/Q		355
356	Biochemistry Direct Bilirubin measurement	bilirubin measurement	EFO:0004570	34226706	UKB	372420.0	EUR	Population Q		356
360	Biochemistry Phosphate	phosphate	CHEBI:26020	34226706	UKB	400159.0	EUR	Population Q		360
361	Phosphate	phosphate	CHEBI:26020	37262146	UKB	368220.0	EUR	Population Q	Mixed Q/CC	361
366	Secondarhnot elsewhere classified	cardiomyopathy	EFO:0000318	34375979	UKB	281104.0	EUR	Population CC/Q		366
367	Platelet aggregation	platelet aggregation	GO:0070527	29185836	Mixed	4213.0	EUR	Population Q		367
368	Essential hypertension	essential hypertension	MONDO:0001134	34375979	UKB	281104.0	EUR	Population CC/Q		368
373	Biochemistry Urate measurement	urate measurement	EFO:0004531	34226706	UKB	437354.0	EUR	Population Q		373
374	M10_gout	gout	EFO:0004274	37262146	UKB	436816.0	EUR	Population CC	Mixed Q/CC	374
377	URATE measurement	urate measurement	EFO:0004531	37262146	UKB	402384.0	EUR	Population Q	Mixed Q/CC	377
382	URATE measurement	urate measurement	EFO:0004531	36088354	UKB	182537.0	EUR	Population Q		382
383	Serum urate measurement	urate measurement	EFO:0004531	30315176	Mixed	16189.0	EUR	Population Q	> 80% EUR	383
384	Generalised idiopathic epilepsand epileptic syndromes	generalised epilepsy	EFO:0005917	34375979	UKB	281104.0	EUR	Population CC/Q		384
385	LDL-C	LDL cholesterol	EFO:0004195	36220816	TOPMed	66000.0	Mixed	Population Q		385
393	Low-density lipoprotein cholesterol measurement	low density lipoprotein cholesterol measurement	EFO:0004611	36564505	TOPMed	200000.0	Mixed	Population Q		393
394	Cholelithiasis	cholelithiasis	EFO:0004799	36138231	UKB	165397.0	EUR	Population CC	Mixed Q/CC	394
395	Sand tenosynovitis	tenosynovitis	EFO:1001435	34375979	UKB	281104.0	EUR	Population CC/Q		395
401	Chapter diseases of the skin and subcutaneous tissue	skin disease	EFO:0000701	34375979	UKB	281104.0	EUR	Population CC/Q		401
406	Pulmonarembolism +|- dvt	deep vein thrombosis	EFO:0003907	34375979	UKB	281104.0	EUR	Population CC/Q		406
407	Malignant neoplasms of lip| oral cavitand pharynx	lip cancer	EFO:1001019	34375979	UKB	281104.0	EUR	Population CC/Q		407
412	Chapter vi diseases of the nervous system	autoimmune disorder of the nervous system	MONDO:0002977	34375979	UKB	281104.0	EUR	Population CC/Q		412
414	G30_alzheimer_s_disease	Alzheimer disease	MONDO:0004975	37262146	UKB	423721.0	EUR	Population CC	Mixed Q/CC	414
426	Hypertension	hypertension	EFO:0000537	20549515	WTCCC	4890.0	EUR	Ascertained CC		426
429	Bladder cancer	urinary bladder cancer	MONDO:0001187	34244158	MyCode	7608.0	EUR	Population CC	Mixed N	429
430	Aortic (valve stenosis	aortic stenosis	EFO:0000266	34375979	UKB	281104.0	EUR	Population CC/Q		430
432	Eosinophil count	eosinophil count	EFO:0004842	33257650	UKB	487409.0	EUR	Population Q		432
434	Blood PLATELET DISTRIB WIDTH	platelet component distribution width	EFO:0007984	34226706	UKB	445262.0	EUR	Population Q		434
435	Blood MEAN CORPUSCULAR HEMOGLOBIN	mean corpuscular hemoglobin	EFO:0004527	34226706	UKB	443081.0	EUR	Population Q		435
437	Musculoskeletal|trauma	trauma complication	EFO:0009888	34375979	UKB	281104.0	EUR	Population CC/Q		437
438	Red blood cell (erythrocyte) distribution width	Red cell distribution width	EFO:0009188	36138231	UKB	162248.0	EUR	Population Q	Mixed Q/CC	438
439	Low back pain (lumbar region	Low back pain	HP:0003419	34375979	UKB	281104.0	EUR	Population CC/Q		439
451	Blood LYMPHOCYTE COUNT	lymphocyte count	EFO:0004587	34226706	UKB	443762.0	EUR	Population Q		451
455	Platelet count	platelet count	EFO:0004309	36138231	UKB	162248.0	EUR	Population Q	Mixed Q/CC	455
458	Viral infection	viral disease	EFO:0000763	34375979	UKB	281104.0	EUR	Population CC/Q		458
459	Body mass index	body mass index	EFO:0004340	25583502	WHI	360.0	AFR	Population Q		459
469	Sitting_height measurement	sitting height measurement	EFO:0011011	37262146	UKB	421049.0	EUR	Population Q	Mixed Q/CC	469
473	Leg_fat_free_mass_right	fat body mass	EFO:0005409	37262146	UKB	414719.0	EUR	Population Q	Mixed Q/CC	473
477	Sv-i meta-analysis	body height	EFO:0004339	23891470	GIANT	14600.0	EUR	Population CC	Extreme height	477
486	Deficiencof other specified b group vitamins	disorder of other vitamins and cofactors metabolism and transport	MONDO:0017760	34375979	UKB	281104.0	EUR	Population CC/Q		486
490	Mental and behavioural disorders due to pssubstance use	mental or behavioural disorder	EFO:0000677	34375979	UKB	281104.0	EUR	Population CC/Q		490
491	Fracture forearm | wrist	wrist fracture	EFO:0009515	34375979	UKB	281104.0	EUR	Population CC/Q		491
492	Fracture upper limb & shoulder	upper extremity fracture	EFO:0009514	34375979	UKB	281104.0	EUR	Population CC/Q		492
495	Body HEIGHT	body height	EFO:0004339	34226706	UKB	458235.0	EUR	Population Q		495
499	Special screening efor diabetes mellitus	diabetes mellitus	EFO:0000400	34375979	UKB	281104.0	EUR	Population CC/Q		499
500	Chronic obstructive pulmonardisease| unspecified	Chronic Obstructive Asthma	EFO:0009759	34375979	UKB	281104.0	EUR	Population CC/Q		500
501	Fracture of upper end of tibia (closed	tibia fracture	EFO:0003944	34375979	UKB	281104.0	EUR	Population CC/Q		501
504	Irritable bowel swithout diarrhoea	irritable bowel syndrome	EFO:0000555	34375979	UKB	281104.0	EUR	Population CC/Q		504
505	Neutrophil count	neutrophil count	EFO:0004833	28089252	ARIC	1860.0	AFR	Population Q		505
507	Blood MONOCYTE COUNT	monocyte count	EFO:0005091	34226706	UKB	443529.0	EUR	Population Q		507
508	Monocyte_count	monocyte count	EFO:0005091	37262146	UKB	409154.0	EUR	Population Q	Mixed Q/CC	508
509	Fracture of rib (closed	rib fracture	EFO:0009620	34375979	UKB	281104.0	EUR	Population CC/Q		509
520	Red blood cell (erythrocyte) count	erythrocyte count	EFO:0004305	36138231	UKB	162248.0	EUR	Population Q	Mixed Q/CC	520
530	Otitis eunspecified	otitis externa	EFO:0009560	34375979	UKB	281104.0	EUR	Population CC/Q		530
531	Malignant neoplasm of kidneerenal pelvis	malignant renal pelvis neoplasm	MONDO:0044919	34375979	UKB	281104.0	EUR	Population CC/Q		531
534	Pain in limb (lower leg	Lower limb pain	HP:0012514	34375979	UKB	281104.0	EUR	Population CC/Q		534
539	Cervicalgia (cervical region	cervical neck region	EFO:0001408	34375979	UKB	281104.0	EUR	Population CC/Q		539
541	Systolic blood pressure	systolic blood pressure	EFO:0006335	27980651	Exclude	157.0			Chrom 19 only	541
545	Parkinson's disease	Parkinson disease	MONDO:0005180	28526295	Exclude	1105.0	EUR	Ascertained Q	No rare variants reported?	545
552	Eosinophill count	granulocyte count	EFO:0007987	36138231	UKB	162010.0	EUR	Population Q	Mixed Q/CC	552
555	ACE measurement	acetate measurement	EFO:0010112	31367044	Finnish	10980.0	EUR	Population Q		555
557	Muscle|soft tissue problem	soft tissue disease	EFO:0009470	34375979	UKB	281104.0	EUR	Population CC/Q		557
558	Hof prostate	prostate carcinoma	EFO:0001663	34375979	UKB	281104.0	EUR	Population CC/Q		558
563	Male genital tract cancer	male reproductive organ cancer	EFO:0007355	34375979	UKB	281104.0	EUR	Population CC/Q		563
565	Sand signs involving cognition| perception| emotional state and behaviour measurement	theory of mind measurement	EFO:0009103	34375979	UKB	281104.0	EUR	Population CC/Q		565
568	Depression	depressive disorder	MONDO:0002050	34375979	UKB	281104.0	EUR	Population CC/Q		568
572	Other salmonella infections)	Salmonella Infections	EFO:1001418	34375979	UKB	281104.0	EUR	Population CC/Q		572
575	Endometrioid carcinoma	endometrioid carcinoma	EFO:0000466	34375979	UKB	281104.0	EUR	Population CC/Q		575
577	Respiratory|ent	respiratory quotient	EFO:0005189	34375979	UKB	281104.0	EUR	Population CC/Q		577
580	Body waist-hip ratio BMI	BMI-adjusted waist-hip ratio	EFO:0007788	34226706	UKB	49960.0	EUR	Population Q		580
582	Autism spectrum disorder	autism spectrum disorder	EFO:0003756	35982160	Meta	63237.0	EUR	Ascertained CC		582
585	D50_iron_deficiency_anaemia	Iron deficiency anemia	HP:0001891	37262146	UKB	444817.0	EUR	Population CC	Mixed Q/CC	585
586	Hereditarhaemorrhagic telangiectasia	telangiectasis	MONDO:0001576	34375979	UKB	281104.0	EUR	Population CC/Q		586
588	Haemorrhage from respiratorpassages	hemorrhage	MP:0001914	34375979	UKB	281104.0	EUR	Population CC/Q		588
589	Low back pain (site unspecified	Low back pain	HP:0003419	34375979	UKB	281104.0	EUR	Population CC/Q		589
592	Hand spermatocele	spermatocele	EFO:1001189	34375979	UKB	281104.0	EUR	Population CC/Q		592
597	Chapter iv endocrine| nutritional and metabolic diseases	nutritional deficiency disease	EFO:1001067	34375979	UKB	281104.0	EUR	Population CC/Q		597
599	Female lung cancer	lung cancer	MONDO:0008903	25516442	Exclude		EAS		Candidate approach	599
600	SCZD	schizophrenia	MONDO:0005090	32415273	SCZD	6135.0	EUR	Ascertained CC	Only SCZ	600
603	Type 2 diabetes	type 2 diabetes mellitus	MONDO:0005148	20549515	WTCCC	4901.0	EUR	Ascertained CC		603
604	Adjustment and management of implanted device	encounter with health service for adjustment and management of implanted device	EFO:0020982	34375979	UKB	281104.0	EUR	Population CC/Q		604
605	Blistering|desquamating skin disorder	skin disease	EFO:0000701	34375979	UKB	281104.0	EUR	Population CC/Q		605
611	Other meniscus derangements (multiple sites	endometriosis	EFO:0001065	34375979	UKB	281104.0	EUR	Population CC/Q		611
616	Venous insufficienc(chronic (peripheral	chronic venous insufficiency	EFO:0007940	34375979	UKB	281104.0	EUR	Population CC/Q		616
617	Blood EOSINOPHIL COUNT	eosinophil count	EFO:0004842	34226706	UKB	440275.0	EUR	Population Q		617
623	1697_comparative_height_size_at_age_10_1_shorter_anyinst__bin	comparative body size at age 10, self-reported	EFO:0009819	34662886	UKB	454787.0	EUR	Population Q	Separate File	623
624	Forced_expiratory_volume_in_1_second_fev1	forced expiratory volume	EFO:0004314	37262146	UKB	385013.0	EUR	Population Q	Mixed Q/CC	624
625	Trunk_fat_mass	fat body mass	EFO:0005409	37262146	UKB	414491.0	EUR	Population Q	Mixed Q/CC	625
632	1697_comparative_height_size_at_age_10_2_taller_anyinst__bin	comparative body size at age 10, self-reported	EFO:0009819	34662886	UKB	454787.0	EUR	Population Q	Separate File	632
636	Weight	body weight	EFO:0004338	37262146	UKB	420921.0	EUR	Population Q	Mixed Q/CC	636
640	Rheumatoid arthritis| unspecified (multiple sites	rheumatoid arthritis	EFO:0000685	34375979	UKB	281104.0	EUR	Population CC/Q		640
642	Height	body height	EFO:0004339	31367044	Finnish	19241.0	EUR	Population Q		642
643	Waist	waist circumference	EFO:0004342	31367044	Finnish	19226.0	EUR	Population Q		643
646	Chapter v mental and behavioural disorders	mental or behavioural disorder	EFO:0000677	34375979	UKB	281104.0	EUR	Population CC/Q		646
647	Lung FVC measurement	FVC change measurement	EFO:0010339	34226706	UKB	371898.0	EUR	Population Q		647
650	Hypothyroidism|myxoedema	hypothyroidism	EFO:0004705	34375979	UKB	281104.0	EUR	Population CC/Q		650
654	Derangement of meniscus due to old tear or injur(other and unspecified lateral meniscus	Abnormal meniscus morphology	HP:0032190	34375979	UKB	281104.0	EUR	Population CC/Q		654
657	Other internal derangements of knee (anterior cruciate ligament or anterior horn of medial meniscus	anterior horn disorder	MONDO:0003182	34375979	UKB	281104.0	EUR	Population CC/Q		657
658	BMI	body mass index	EFO:0004340	27646141	COPDGene	399.0	EUR	Population Q		658
661	Pulse pressure measurement	pulse pressure measurement	EFO:0005763	33230300	Mixed	670472.0	EUR	Population Q		661
662	IGF_1 measurement	IGF-1 measurement	EFO:0004627	37262146	UKB	400675.0	EUR	Population Q	Mixed Q/CC	662
671	Schizophrenia	schizophrenia	MONDO:0005090	20433910	Review					671
672	Other specified pregnancconditions	anthrax infection	EFO:0000778	34375979	UKB	281104.0	EUR	Population CC/Q		672
680	Appendicitis	appendicitis	EFO:0007149	34375979	UKB	281104.0	EUR	Population CC/Q		680
687	Leg_fat_mass_right	fat body mass	EFO:0005409	37262146	UKB	414728.0	EUR	Population Q	Mixed Q/CC	687
688	Leg_fat_percentage_right	body fat percentage	EFO:0007800	37262146	UKB	414734.0	EUR	Population Q	Mixed Q/CC	688
689	Chronic rhinitis| nasopharand pharyngitis	pharyngitis	MONDO:0002258	34375979	UKB	281104.0	EUR	Population CC/Q		689
691	Adjustment and management of other implanted devices	encounter with health service for adjustment and management of implanted device	EFO:0020982	34375979	UKB	281104.0	EUR	Population CC/Q		691
692	Obesity	obesity	EFO:0001073	32492392	SCOOP,INTERVAL	9441.0	EUR	Ascertained CC	> 80% EUR	692
697	Ulcerative (chronic rectosigmoiditis	ulcerative proctosigmoiditis	EFO:1001223	34375979	UKB	281104.0	EUR	Population CC/Q		697
700	Pulmonarvalve insufficiency	Vertebrobasilar insufficiency	EFO:1001449	34375979	UKB	281104.0	EUR	Population CC/Q		700
701	Malabsorption|coeliac disease	celiac disease	EFO:0001060	34375979	UKB	281104.0	EUR	Population CC/Q		701
702	Fracture finger	finger fracture	EFO:0009616	34375979	UKB	281104.0	EUR	Population CC/Q		702
706	Retinal detachment	retinal detachment	EFO:0005773	34375979	UKB	281104.0	EUR	Population CC/Q		706
707	Benign breast lump	Breast mass	HP:0032408	34375979	UKB	281104.0	EUR	Population CC/Q		707
709	Fracture	bone fracture	EFO:0003931	34375979	UKB	281104.0	EUR	Population CC/Q		709
710	Ratio of fev1 to fvc	FEV/FEC ratio	EFO:0004713	30175238	SpiroMeta,CHARGE	68470.0	EUR, AFR	Population Q		710
717	Gastrointestinal bleeding	Gastrointestinal hemorrhage	HP:0002239	34375979	UKB	281104.0	EUR	Population CC/Q		717
718	Systolic blood pressure	systolic blood pressure	EFO:0006335	33230300	Mixed	670472.0	EUR	Population Q		718
721	Kand lordosis	Lumbar hyperlordosis	HP:0002938	34375979	UKB	281104.0	EUR	Population CC/Q		721
722	Abnormal smear (cervix	abnormal PAP smear	EFO:0009511	34375979	UKB	281104.0	EUR	Population CC/Q		722
