	Reported Trait	Trait Label	Trait Ontology id	PMID	COHORT	N	Ancestry	Classification	Notes	rv_idx	Trait	Mapped	TraitExp	MappedExp	MAPPED_TRAIT_CLEAN	TRAIT_CODE_CLEAN
15	URATE measurement	urate measurement	EFO:0004531	37262146	UKB	402384.0	EUR	Population Q	Mixed Q/CC	377	urate measurement	urate measurement	urate measurement	urate measurement	urate measurement	EFO_0004531
16	URATE measurement	urate measurement	EFO:0004531	36088354	UKB	182537.0	EUR	Population Q		382	urate measurement	urate measurement	urate measurement	urate measurement	urate measurement	EFO_0004531
17	Cholelithiasis	cholelithiasis	EFO:0004799	36138231	UKB	165397.0	EUR	Population CC	Mixed Q/CC	394	cholelithiasis	cholelithiasis	cholelithiasis	cholelithiasis	cholelithiasis	EFO_0004799
18	Hypertension	hypertension	EFO:0000537	20549515	WTCCC	4890.0	EUR	Ascertained CC		426	hypertension	hypertension	hypertension	hypertension	hypertension	EFO_0000537
19	Bladder cancer	urinary bladder cancer	MONDO:0001187	34244158	MyCode	7608.0	EUR	Population CC	Mixed N	429	bladder cancer	urinary bladder cancer	bladder cancer	urinary bladder cancer	urinary bladder carcinoma	MONDO_0004986
20	Eosinophil count	eosinophil count	EFO:0004842	33257650	UKB	487409.0	EUR	Population Q		432	eosinophil count	eosinophil count	eosinophil count	eosinophil count	eosinophil count	EFO_0004842
21	Platelet count	platelet count	EFO:0004309	36138231	UKB	162248.0	EUR	Population Q	Mixed Q/CC	455	platelet count	platelet count	platelet count	platelet count	platelet count	EFO_0004309
22	Body mass index	body mass index	EFO:0004340	25583502	WHI	360.0	AFR	Population Q		459	body mass index	body mass index	body mass index	body mass index	body mass index	EFO_0004340
23	Body HEIGHT	body height	EFO:0004339	34226706	UKB	458235.0	EUR	Population Q		495	body height	body height	body height (height)	body height	body height	OBA_VT0001253
24	Neutrophil count	neutrophil count	EFO:0004833	28089252	ARIC	1860.0	AFR	Population Q		505	neutrophil count	neutrophil count	neutrophil count	neutrophil count	neutrophil count	EFO_0004833
25	Depression	depressive disorder	MONDO:0002050	34375979	UKB	281104.0	EUR	Population CC/Q		568	depression	depressive disorder	depression	depressive disorder	major depressive disorder	MONDO_0002009
26	Autism spectrum disorder	autism spectrum disorder	EFO:0003756	35982160	Meta	63237.0	EUR	Ascertained CC		582	autism spectrum disorder	autism spectrum disorder	autism spectrum disorder	autism spectrum disorder	autism spectrum disorder	EFO_0003756
27	Type 2 diabetes	type 2 diabetes mellitus	MONDO:0005148	20549515	WTCCC	4901.0	EUR	Ascertained CC		603	type 2 diabetes	type 2 diabetes mellitus	type 2 diabetes	type 2 diabetes mellitus	type 2 diabetes mellitus	MONDO_0005148
28	Weight	body weight	EFO:0004338	37262146	UKB	420921.0	EUR	Population Q	Mixed Q/CC	636	weight	body weight	weight	body weight	body weight	EFO_0004338
29	Height	body height	EFO:0004339	31367044	Finnish	19241.0	EUR	Population Q		642	height	body height	height	body height	body height	OBA_VT0001253
30	BMI	body mass index	EFO:0004340	27646141	COPDGene	399.0	EUR	Population Q		658	bmi	body mass index	body mass index (bmi)	body mass index	body mass index	EFO_0004340
31	Pulse pressure measurement	pulse pressure measurement	EFO:0005763	33230300	Mixed	670472.0	EUR	Population Q		661	pulse pressure measurement	pulse pressure measurement	pulse pressure measurement	pulse pressure measurement	pulse pressure measurement	EFO_0005763
32	Appendicitis	appendicitis	EFO:0007149	34375979	UKB	281104.0	EUR	Population CC/Q		680	appendicitis	appendicitis	appendicitis	appendicitis	appendicitis	EFO_0007149
33	Obesity	obesity	EFO:0001073	32492392	SCOOP,INTERVAL	9441.0	EUR	Ascertained CC	> 80% EUR	692	obesity	obesity	obesity	obesity	obesity	EFO_0001073
34	Retinal detachment	retinal detachment	EFO:0005773	34375979	UKB	281104.0	EUR	Population CC/Q		706	retinal detachment	retinal detachment	retinal detachment	retinal detachment	retinal detachment	EFO_0005773
35	Benign breast lump	Breast mass	HP:0032408	34375979	UKB	281104.0	EUR	Population CC/Q		707	benign breast lump	breast mass	benign breast lump	breast mass	breast benign neoplasm	MONDO_0000620
36	Systolic blood pressure	systolic blood pressure	EFO:0006335	33230300	Mixed	670472.0	EUR	Population Q		718	systolic blood pressure	systolic blood pressure	systolic blood pressure	systolic blood pressure	systolic blood pressure	EFO_0006335
37	Adiponectin measurement	adiponectin measurement	EFO:0004502	36280733	Mixed	5739.0	EUR	Ascertained Q	Mixed N	725	adiponectin measurement	adiponectin measurement	adiponectin measurement	adiponectin measurement	adiponectin measurement	EFO_0004502
38	Other abdominal problem	Abdominal colic	HP:0011848	34375979	UKB	281104.0	EUR	Population CC/Q		731	other abdominal problem	abdominal colic	other abdominal problem	abdominal colic	gastrointestinal disease	EFO_0010282
39	Diastolic blood pressure	diastolic blood pressure	EFO:0006336	33230300	Mixed	670472.0	EUR	Population Q		752	diastolic blood pressure	diastolic blood pressure	diastolic blood pressure	diastolic blood pressure	diastolic blood pressure	EFO_0006336
40	Cerebrovascular disease	cerebrovascular disorder	EFO:0003763	34375979	UKB	281104.0	EUR	Population CC/Q		759	cerebrovascular disease	cerebrovascular disorder	cerebrovascular disease	cerebrovascular disorder	cerebrovascular disorder	EFO_0003763
41	Monocyte count	monocyte count	EFO:0005091	36138231	UKB	162010.0	EUR	Population Q	Mixed Q/CC	796	monocyte count	monocyte count	monocyte count	monocyte count	monocyte count	EFO_0005091
42	Lymphocyte count	lymphocyte count	EFO:0004587	36138231	UKB	162010.0	EUR	Population Q	Mixed Q/CC	798	lymphocyte count	lymphocyte count	lymphocyte count	lymphocyte count	lymphocyte count	EFO_0004587
43	Lipoprotein a measurement	lipoprotein A measurement	EFO:0006925	36088354	UKB	146248.0	EUR	Population Q		807	lipoprotein a measurement	lipoprotein a measurement	lipoprotein a measurement	lipoprotein a measurement	lipoprotein A measurement	EFO_0006925
44	Kidney cancer	kidney neoplasm	EFO:0003865	34244158	MyCode	7595.0	EUR	Population CC	Mixed N	809	kidney cancer	kidney neoplasm	kidney cancer	kidney neoplasm	kidney cancer	MONDO_0002367
45	Cervical cancer	cervical cancer	MONDO:0002974	34375979	UKB	281104.0	EUR	Population CC/Q		816	cervical cancer	cervical cancer	cervical cancer	cervical cancer	cervical cancer	MONDO_0002974
46	Atrial fibrillation	atrial fibrillation	EFO:0000275	34375979	UKB	281104.0	EUR	Population CC/Q		821	atrial fibrillation	atrial fibrillation	atrial fibrillation	atrial fibrillation	atrial fibrillation	EFO_0000275
47	Connective tissue disorder	connective tissue disease	EFO:1001986	34375979	UKB	281104.0	EUR	Population CC/Q		839	connective tissue disorder	connective tissue disease	connective tissue disorder	connective tissue disease	connective tissue disease	EFO_1001986
48	Heart arrhythmia	cardiac rhythm disease	MONDO:0007263	34375979	UKB	281104.0	EUR	Population CC/Q		846	heart arrhythmia	cardiac rhythm disease	heart arrhythmia	cardiac rhythm disease	cardiac arrhythmia	EFO_0004269
49	Diabetes	diabetes mellitus	EFO:0000400	34375979	UKB	281104.0	EUR	Population CC/Q		851	diabetes	diabetes mellitus	diabetes	diabetes mellitus	diabetes mellitus	EFO_0000400
50	Meningitis	meningitis	MONDO:0021108	34375979	UKB	281104.0	EUR	Population CC/Q		853	meningitis	meningitis	meningitis	meningitis	meningitis	MONDO_0021108
51	Alzheimer disease	Alzheimer disease	MONDO:0004975	33804025	ADNI	713.0	EUR	Ascertained Q	> 95% EUR	871	alzheimer disease	alzheimer disease	alzheimer disease	alzheimer disease	Alzheimer disease	MONDO_0004975
52	Breast cancer	breast cancer	MONDO:0007254	34375979	UKB	281104.0	EUR	Population CC/Q		897	breast cancer	breast cancer	breast cancer	breast cancer	breast cancer	MONDO_0007254
53	Eosinophil count	eosinophil count	EFO:0004842	35935937	UKB	200000.0	EUR	Q		918	eosinophil count	eosinophil count	eosinophil count	eosinophil count	eosinophil count	EFO_0004842
54	Phosphate	phosphate	CHEBI:26020	31992710	UKB	35692.0	EUR	Population Q	Mixed Q/CC	926	phosphate	phosphate	phosphate	phosphate	phosphate measurement	EFO_0010968
55	High cholesterol	NHDL cholesterol	EFO:0005688	34375979	UKB	281104.0	EUR	Population CC/Q		928	high cholesterol	nhdl cholesterol	high cholesterol	non high density ipoprotein (nhdl) cholesterol	hypercholesterolemia	HP_0003124
56	Back problem	Back pain	HP:0003418	34375979	UKB	281104.0	EUR	Population CC/Q		936	back problem	back pain	back problem	back pain	vertebral column disorder	MONDO_0000812
57	Crohn's disease	Crohn's disease	EFO:0000384	21738570	WTCCC	4690.0	EUR	Ascertained CC		952	crohn's disease	crohn's disease	crohn's disease	crohn's disease	crohn's disease	EFO_0000384
58	Hypertension	hypertension	EFO:0000537	34375979	UKB	281104.0	EUR	Population CC/Q		967	hypertension	hypertension	hypertension	hypertension	hypertension	EFO_0000537
59	Height	body height	EFO:0004339	35177841	UKB	199765.0	EUR	Population Q		969	height	body height	height	body height	body height	OBA_VT0001253
60	Triglycerides	triglyceride	CHEBI:17855	36280733	Mixed	76434.0	EUR	Ascertained Q	Mixed N	972	triglycerides	triglyceride	triglycerides	triglyceride	triglyceride measurement	EFO_0004530
61	High cholesterol	NHDL cholesterol	EFO:0005688	36809768	UKB	412393.0	EUR	Population CC	Separate File	979	high cholesterol	nhdl cholesterol	high cholesterol	non high density ipoprotein (nhdl) cholesterol	hypercholesterolemia	HP_0003124
62	Triglycerides	triglyceride	CHEBI:17855	31992710	UKB	46875.0	EUR	Population Q	Mixed Q/CC	993	triglycerides	triglyceride	triglycerides	triglyceride	triglyceride measurement	EFO_0004530
63	Cholesterol	cholesterol	CHEBI:16113	31992710	UKB	48732.0	EUR	Population Q	Mixed Q/CC	1001	cholesterol	cholesterol	cholesterol	cholesterol	total cholesterol measurement	EFO_0004574
64	Triglycerides	triglyceride	CHEBI:17855	36220816	TOPMed	66000.0	Mixed	Population Q		1023	triglycerides	triglyceride	triglycerides	triglyceride	triglyceride measurement	EFO_0004530
65	Height	body height	EFO:0004339	27646141	COPDGene	399.0	EUR	Population Q		1086	height	body height	height	body height	body height	OBA_VT0001253
66	Spinal injury	spinal injury	MONDO:0037747	34375979	UKB	281104.0	EUR	Population CC/Q		1091	spinal injury	spinal injury	spinal injury	spinal injury	spinal cord injury	EFO_1001919
67	Disc degeneration	lumbar disc degeneration	EFO:0004994	34375979	UKB	281104.0	EUR	Population CC/Q		1102	disc degeneration	lumbar disc degeneration	disc degeneration	lumbar disc degeneration	lumbar disc degeneration	EFO_0004994
68	Hepatitis	Hepatitis	HP:0012115	34375979	UKB	281104.0	EUR	Population CC/Q		1108	hepatitis	hepatitis	hepatitis	hepatitis	hepatitis	HP_0012115
69	Back pain	Back pain	HP:0003418	34375979	UKB	281104.0	EUR	Population CC/Q		1111	back pain	back pain	back pain	back pain	back pain	HP_0003418
70	Rectal cancer	rectum cancer	EFO:1000657	34375979	UKB	281104.0	EUR	Population CC/Q		1166	rectal cancer	rectum cancer	rectal cancer	rectum cancer	rectum cancer	EFO_1000657
71	Triglycerides	triglyceride	CHEBI:17855	36564505	TOPMed	200000.0	Mixed	Population Q		1180	triglycerides	triglyceride	triglycerides	triglyceride	triglyceride measurement	EFO_0004530
72	Triglycerides	triglyceride	CHEBI:17855	36303018	TOPMed	21015.0	Mixed	Population Q		1184	triglycerides	triglyceride	triglycerides	triglyceride	triglyceride measurement	EFO_0004530
73	Platelet distribution width	platelet component distribution width	EFO:0007984	33257650	UKB	487409.0	EUR	Population Q		1186	platelet distribution width	platelet component distribution width	platelet distribution width	platelet component distribution width	platelet component distribution width	EFO_0007984
74	Platelet distribution width	platelet component distribution width	EFO:0007984	36138231	UKB	162246.0	EUR	Population Q	Mixed Q/CC	1192	platelet distribution width	platelet component distribution width	platelet distribution width	platelet component distribution width	platelet component distribution width	EFO_0007984
75	Coronary artery disease	coronary artery disease	EFO:0001645	24507775	Mixed	2005.0	AFR, EUR	Ascertained Q		1199	coronary artery disease	coronary artery disease	coronary artery disease	coronary artery disease	coronary artery disease	EFO_0001645
76	Apolipoprotein B measurement	apolipoprotein B change measurement	EFO:0020874	31992710	UKB	37786.0	EUR	Population Q	Mixed Q/CC	1206	apolipoprotein b measurement	apolipoprotein b change measurement	apolipoprotein b measurement	apolipoprotein b change measurement	apolipoprotein B measurement	EFO_0004615
77	Apolipoprotein b measurement	apolipoprotein B measurement	EFO:0004615	31992710	UKB	37786.0	EUR	Population Q	Mixed Q/CC	1207	apolipoprotein b measurement	apolipoprotein b measurement	apolipoprotein b measurement	apolipoprotein b measurement	apolipoprotein B measurement	EFO_0004615
78	Total cholesterol measurement	total cholesterol change measurement	EFO:0007806	36303018	TOPMed	21015.0	Mixed	Population Q		1227	total cholesterol measurement	total cholesterol change measurement	total cholesterol measurement	total cholesterol change measurement	total cholesterol measurement	EFO_0004574
79	Red blood cell distribution width	red blood cell distribution width	EFO:0005192	33257650	UKB	487409.0	EUR	Population Q		1233	red blood cell distribution width	red blood cell distribution width	red blood cell distribution width	red blood cell distribution width	red cell distribution width	EFO_0009188
80	Apolipoprotein b measurement	apolipoprotein B measurement	EFO:0004615	36088354	UKB	181807.0	EUR	Population Q		1237	apolipoprotein b measurement	apolipoprotein b measurement	apolipoprotein b measurement	apolipoprotein b measurement	apolipoprotein B measurement	EFO_0004615
81	Systolic blood pressure	systolic blood pressure	EFO:0006335	34226706	UKB	422713.0	EUR	Population Q		1265	systolic blood pressure	systolic blood pressure	systolic blood pressure	systolic blood pressure	systolic blood pressure	EFO_0006335
82	Diastolic blood pressure	diastolic blood pressure	EFO:0006336	34226706	UKB	422713.0	EUR	Population Q		1272	diastolic blood pressure	diastolic blood pressure	diastolic blood pressure	diastolic blood pressure	diastolic blood pressure	EFO_0006336
83	Vasculitis	vasculitis	EFO:0006803	34375979	UKB	281104.0	EUR	Population CC/Q		1297	vasculitis	vasculitis	vasculitis	vasculitis	vasculitis	EFO_0006803
84	Stroke	stroke disorder	MONDO:0005098	34375979	UKB	281104.0	EUR	Population CC/Q		1308	stroke	stroke disorder	stroke	stroke disorder	stroke	EFO_0000712
85	Vertigo	Vertigo	HP:0002321	34375979	UKB	281104.0	EUR	Population CC/Q		1317	vertigo	vertigo	vertigo	vertigo	Vertigo	HP_0002321
86	Abdominal hernia	Incisional hernia	HP:0004872	34375979	UKB	281104.0	EUR	Population CC/Q		1344	abdominal hernia	incisional hernia	abdominal hernia	incisional hernia	hernia of the abdominal wall	HP_0004299
87	Shingles	Herpes Zoster	EFO:0006510	34375979	UKB	281104.0	EUR	Population CC/Q		1347	shingles	herpes zoster	shingles	herpes zoster	susceptibility to shingles measurement	EFO_0008401
88	Cardiovascular measurement	cardiovascular measurement	EFO:0004298	34375979	UKB	281104.0	EUR	Population CC/Q		1350	cardiovascular measurement	cardiovascular measurement	cardiovascular measurement	cardiovascular measurement	cardiovascular measurement	EFO_0004298
89	Angina	angina pectoris	EFO:0003913	34375979	UKB	281104.0	EUR	Population CC/Q		1377	angina	angina pectoris	angina	angina pectoris	angina pectoris	EFO_0003913
90	Colorectal cancer	colorectal cancer	EFO:0005842	34244158	MyCode	7763.0	EUR	Population CC	Mixed N	1393	colorectal cancer	colorectal cancer	colorectal cancer	colorectal cancer	colorectal cancer	MONDO_0005575
91	Psoriasis	psoriasis	EFO:0000676	36138231	UKB	166954.0	EUR	Population CC	Mixed Q/CC	1401	psoriasis	psoriasis	psoriasis	psoriasis	psoriasis	EFO_0000676
92	Crohn's disease	Crohn's disease	EFO:0000384	36038634	Study36038634	120000.0	Mixed	Population CC		1409	crohn's disease	crohn's disease	crohn's disease	crohn's disease	crohn's disease	EFO_0000384
93	Insomnia	insomnia	EFO:0004698	34375979	UKB	281104.0	EUR	Population CC/Q		1413	insomnia	insomnia	insomnia	insomnia	insomnia	EFO_0004698
94	Pneumonia	pneumonia	EFO:0003106	34375979	UKB	281104.0	EUR	Population CC/Q		1424	pneumonia	pneumonia	pneumonia	pneumonia	pneumonia	EFO_0003106
95	Prostate cancer	prostate cancer	MONDO:0008315	34375979	UKB	281104.0	EUR	Population CC/Q		1426	prostate cancer	prostate cancer	prostate cancer	prostate cancer	prostate cancer	MONDO_0008315
96	Lung cancer	lung cancer	MONDO:0008903	34244158	MyCode	7798.0	EUR	Population CC	Mixed N	1429	lung cancer	lung cancer	lung cancer	lung cancer	lung cancer	MONDO_0008903
97	Chickenpox	chickenpox	EFO:0007204	34375979	UKB	281104.0	EUR	Population CC		1445	chickenpox	chickenpox	chickenpox	chickenpox	chickenpox	EFO_0007204
98	Rheumatoid arthritis	rheumatoid arthritis	EFO:0000685	34375979	UKB	281104.0	EUR	Population CC/Q		1450	rheumatoid arthritis	rheumatoid arthritis	rheumatoid arthritis	rheumatoid arthritis	rheumatoid arthritis	EFO_0000685
99	Psoriatic arthropathy	psoriatic arthritis	EFO:0003778	34375979	UKB	281104.0	EUR	Population CC/Q		1478	psoriatic arthropathy	psoriatic arthritis	psoriatic arthropathy	psoriatic arthritis	psoriatic arthritis	EFO_0003778
100	Alkaline phosphatase measurement	alkaline phosphatase measurement	EFO:0004533	36088354	UKB	182741.0	EUR	Population Q		1486	alkaline phosphatase measurement	alkaline phosphatase measurement	alkaline phosphatase measurement	alkaline phosphatase measurement	alkaline phosphatase measurement	EFO_0004533
101	Irregular heart beat	Palpitations	HP:0001962	34375979	UKB	281104.0	EUR	Population CC/Q		1488	irregular heart beat	palpitations	irregular heart beat	palpitations	cardiac arrhythmia	EFO_0004269
102	BMI	body mass index	EFO:0004340	36280733	Mixed	87735.0	EUR	Ascertained Q	Mixed N	1497	bmi	body mass index	body mass index (bmi)	body mass index	body mass index	EFO_0004340
103	Joint disorder	joint disease	EFO:1000999	34375979	UKB	281104.0	EUR	Population CC/Q		1529	joint disorder	joint disease	joint disorder	joint disease	joint disease	EFO_1000999
104	Cataract	cataract	MONDO:0005129	34375979	UKB	281104.0	EUR	Population CC/Q		1549	cataract	cataract	cataract	cataract	cataract	MONDO_0005129
105	Ovarian cancer	ovarian cancer	MONDO:0008170	34375979	UKB	281104.0	EUR	Population CC/Q		1598	ovarian cancer	ovarian cancer	ovarian cancer	ovarian cancer	ovarian carcinoma	EFO_0001075
106	Breast cancer	breast cancer	MONDO:0007254	36138231	UKB	91645.0	EUR	Population CC	Mixed Q/CC	1601	breast cancer	breast cancer	breast cancer	breast cancer	breast cancer	MONDO_0007254
107	Squamous cell carcinoma	squamous cell carcinoma	EFO:0000707	34375979	UKB	281104.0	EUR	Population CC/Q		1617	squamous cell carcinoma	squamous cell carcinoma	squamous cell carcinoma	squamous cell carcinoma	squamous cell carcinoma	EFO_0000707
108	Endometriosis	endometriosis	EFO:0001065	28900119	Mixed	28169.0	EUR	Ascertained CC		1632	endometriosis	endometriosis	endometriosis	endometriosis	endometriosis	EFO_0001065
109	BMI	body mass index	EFO:0004340	35177841	UKB	199543.0	EUR	Population Q		1633	bmi	body mass index	body mass index (bmi)	body mass index	body mass index	EFO_0004340
110	Thyroid cancer	thyroid cancer	MONDO:0002108	34244158	MyCode	7727.0	EUR	Population CC	Mixed N	1635	thyroid cancer	thyroid cancer	thyroid cancer	thyroid cancer	thyroid cancer	MONDO_0002108
111	Red blood cell count	erythrocyte count	EFO:0004305	33257650	UKB	487409.0	EUR	Population Q		1643	red blood cell count	erythrocyte count	red blood cell count	erythrocyte count	red blood cell density	OBA_2045260
112	Anaemia	anemia	MONDO:0002280	34375979	UKB	281104.0	EUR	Population CC/Q		1659	anaemia	anemia	anaemia	anemia	anemia (phenotype)	EFO_0004272
113	Cardiac troponin t measurement	cardiac troponin T measurement	EFO:0005043	28089252	ARIC	1860.0	AFR	Population Q		1713	cardiac troponin t measurement	cardiac troponin t measurement	cardiac troponin t measurement	cardiac troponin t measurement	cardiac troponin T measurement	EFO_0005043
114	Lymphoma	lymphoma	EFO:0000574	34375979	UKB	281104.0	EUR	Population CC/Q		1727	lymphoma	lymphoma	lymphoma	lymphoma	lymphoma	EFO_0000574
115	Gestational diabetes	Maternal diabetes	HP:0009800	34375979	UKB	281104.0	EUR	Population CC/Q		1743	gestational diabetes	maternal diabetes	gestational diabetes	maternal diabetes	gestational diabetes	EFO_0004593
116	Osteoarthritis	osteoarthritis	MONDO:0005178	34375979	UKB	281104.0	EUR	Population CC/Q		1747	osteoarthritis	osteoarthritis	osteoarthritis	osteoarthritis	osteoarthritis	MONDO_0005178
117	Nasal polyps	Nasal polyposis	HP:0100582	34375979	UKB	281104.0	EUR	Population CC/Q		1754	nasal polyps	nasal polyposis	nasal polyps	nasal polyposis	Nasal cavity polyp	EFO_1000391
118	HBA1C measurement	HbA1c measurement	EFO:0004541	36280733	Mixed	48677.0	EUR	Ascertained Q	Mixed N	1762	hba1c measurement	hba1c measurement	hba1c measurement	hba1c measurement	HbA1c measurement	EFO_0004541
119	Uterine cancer	uterine cancer	MONDO:0002715	34244158	MyCode	7673.0	EUR	Population CC	Mixed N	1782	uterine cancer	uterine cancer	uterine cancer	uterine cancer	uterine cancer	MONDO_0002715
120	Rheumatic fever	rheumatic fever	EFO:1001160	34375979	UKB	281104.0	EUR	Population CC/Q		1787	rheumatic fever	rheumatic fever	rheumatic fever	rheumatic fever	rheumatic fever	EFO_1001160
121	Chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	EFO:0000341	26736064	COPDGene	347.0	EUR	Ascertained CC	Family based	1804	chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	EFO_0000341
122	Alzheimer's disease	Alzheimer disease	MONDO:0004975	29218897	ADNI	750.0	EUR	Ascertained Q		1819	alzheimer's disease	alzheimer disease	alzheimer's disease	alzheimer disease	Alzheimer disease	MONDO_0004975
123	Renal cell carcinoma	renal cell carcinoma	EFO:0000681	34375979	UKB	281104.0	EUR	Population CC/Q		1833	renal cell carcinoma	renal cell carcinoma	renal cell carcinoma	renal cell carcinoma	renal cell carcinoma	EFO_0000681
124	Height	body height	EFO:0004339	36280733	Mixed	41731.0	EUR	Ascertained Q	Mixed N	1846	height	body height	height	body height	body height	OBA_VT0001253
125	Malignant melanoma	melanoma	EFO:0000756	34375979	UKB	281104.0	EUR	Population CC/Q		1856	malignant melanoma	melanoma	malignant melanoma	melanoma	melanoma	EFO_0000756
126	Skin cancer	skin cancer	MONDO:0002898	34375979	UKB	281104.0	EUR	Population CC/Q		1857	skin cancer	skin cancer	skin cancer	skin cancer	skin cancer	MONDO_0002898
127	Malignant melanoma	melanoma	EFO:0000756	36138231	UKB	166954.0	EUR	Population CC	Mixed Q/CC	1861	malignant melanoma	melanoma	malignant melanoma	melanoma	melanoma	EFO_0000756
128	Coronary artery disease	coronary artery disease	EFO:0001645	20549515	WTCCC	4174.0	EUR	Ascertained CC		1862	coronary artery disease	coronary artery disease	coronary artery disease	coronary artery disease	coronary artery disease	EFO_0001645
129	Coronary artery disease	coronary artery disease	EFO:0001645	19847924	WTCCC	4764.0	EUR	Ascertained CC		1863	coronary artery disease	coronary artery disease	coronary artery disease	coronary artery disease	coronary artery disease	EFO_0001645
130	Prostate cancer	prostate cancer	MONDO:0008315	31748686	KARE	7258.0	EAS	Ascertained CC		1867	prostate cancer	prostate cancer	prostate cancer	prostate cancer	prostate cancer	MONDO_0008315
131	Bladder cancer	urinary bladder cancer	MONDO:0001187	34375979	UKB	281104.0	EUR	Population CC/Q		1890	bladder cancer	urinary bladder cancer	bladder cancer	urinary bladder cancer	urinary bladder carcinoma	MONDO_0004986
132	Head injury	head injury	EFO:0009505	34375979	UKB	281104.0	EUR	Population CC/Q		1920	head injury	head injury	head injury	head injury	head injury	EFO_0009505
133	Cystatin c measurement	cystatin C measurement	EFO:0004617	36088354	UKB	182719.0	EUR	Population Q		1934	cystatin c measurement	cystatin c measurement	cystatin c measurement	cystatin c measurement	cystatin c measurement	EFO_0004617
134	Rheumatoid arthritis	rheumatoid arthritis	EFO:0000685	20549515	WTCCC	4798.0	EUR	Ascertained CC		1940	rheumatoid arthritis	rheumatoid arthritis	rheumatoid arthritis	rheumatoid arthritis	rheumatoid arthritis	EFO_0000685
135	Chronic fatigue syndrome	chronic fatigue syndrome	EFO:0004540	34375979	UKB	281104.0	EUR	Population CC/Q		1942	chronic fatigue syndrome	chronic fatigue syndrome	chronic fatigue syndrome	chronic fatigue syndrome	chronic fatigue syndrome	EFO_0004540
