Entrez	syn.z_score
57007	0.23931
51554	2.5086
47	1.6788
130013	0.66415
48	1.2683
50	0.43968
730249	1.729
641371	3.1557
26027	1.2147
134526	-0.37423
55856	0.7455
10965	-1.1529
122970	-0.011834
641372	-0.98628
11332	-0.63411
10005	0.78771
51	0.31323
8309	1.218
8310	-0.1781
55289	1.0717
52	-0.28177
53	0.76917
55	0.4388
93650	-1.9444
54	1.2604
51205	1.1366
390928	0.23849
49	0.30677
84519	0.13947
56	1.0212
23205	0.14094
81616	-0.15306
80221	0.98938
197322	-2.2741
2180	0.73059
2181	0.010947
51703	1.1304
23305	-0.19327
116285	0.012695
123876	-0.01423
348158	-0.30573
6296	1.2967
341392	1.3178
54988	-0.07998
142827	1.5073
84532	-0.176
55902	0.81016
79611	-0.25646
58	0.71612
59	1.3281
60	-4.0454
345651	0.82359
70	-0.0055469
71	-7.2075
72	0.1631
170487	-1.0044
86	0.77728
51412	-0.14482
10881	-0.14403
10880	-0.71434
81569	-0.40194
284382	-0.51416
87	1.5859
88	0.81168
89	0.1433
81	0.020859
55860	0.098006
10121	0.57826
10120	0.024899
10097	0.76009
10096	-0.15419
57180	0.75548
653857	1.8889
79913	-0.93508
64431	0.56078
93973	0.4477
140625	-0.76344
84517	0.70546
90	1.0241
91	0.3944
130399	0.23128
92	0.95001
93	-0.2546
94	-0.18684
95	1.3521
91703	0.50817
97	0.44564
98	-0.57606
100	0.3029
51816	1.212
132612	-0.35922
161931	-5.5976
161823	0.90927
102	0.078292
4185	0.59259
8038	0.35412
8751	1.5531
6868	0.43377
8749	-0.44428
8728	-0.27955
2515	-1.1444
8748	0.75358
8747	1.1668
8745	0.04251
10863	-0.29476
11086	-0.33771
11085	-0.56086
203102	-0.30208
80332	-2.2636
8756	-0.066181
101	-2.1517
8754	1.0174
9510	-1.2631
81794	0.52611
81792	0.97397
11093	-0.59344
140766	-0.21842
170689	-1.1796
170690	-1.4164
170691	-3.4616
170692	-4.2128
171019	-2.1041
9509	-0.029519
80070	-0.20641
9508	1.1185
9507	1.2761
11096	-0.26245
11174	0.82479
11173	-0.91937
11095	-1.6756
56999	-1.1882
92949	-3.6743
9719	-0.89423
57188	1.0412
54507	0.079394
339366	-1.3829
11033	-5.0674
55803	0.23841
103	-0.030317
104	1.1224
105	-3.2812
23536	-0.76744
134637	0.91708
113179	-5.2169
57143	1.2215
90956	0.74356
203054	-4.0564
107	-0.30409
55811	1.3027
108	0.7363
109	-0.59553
196883	-0.30254
111	0.23109
113	-0.64813
114	-0.22811
115	-1.9139
116	-1.3513
117	0.26656
118	1.0598
119	0.46793
120	0.36514
79747	0.22786
84435	-1.77
25960	-2.4669
166647	0.62412
575	-3.8072
576	-0.040472
577	-0.397
283383	0.063691
2015	0.45728
30817	1.4229
84658	0.69911
976	-0.32943
266977	-0.12473
222611	-1.1041
221393	-0.12191
221395	-0.42797
9289	0.036295
222487	-0.33433
221188	0.39283
57211	0.55294
84873	-0.37825
23284	0.23898
64123	-0.79807
84059	1.0709
124	0.91012
125	0.18902
126	0.060518
127	-0.54222
128	1.3038
130	-0.03487
131	-0.41811
137872	0.95682
55256	-0.15783
9370	0.40137
51094	0.39528
79602	0.43622
10974	-1.0225
132	0.57273
133	0.40732
79924	-2.9302
199800	-0.22349
23394	-1.4344
22850	-1.5242
84890	-1.9151
134	0.073813
135	0.80707
136	-0.25088
140	-0.30349
83440	-0.81144
56985	0.74111
54936	-1.24
148	-1.1663
147	-2.9023
146	-0.94272
150	-2.2402
151	0.89245
152	-2.2916
153	-2.3533
154	-0.12884
155	-1.8356
11047	-1.6562
158	1.2236
122622	-0.33475
159	0.09598
84830	0.45463
165	0.12213
121536	-3.1671
64782	-0.45316
134265	0.69937
84632	0.81861
4301	-0.011878
4299	-0.59001
3899	0.024574
27125	1.0644
246269	-0.79327
10939	-0.11931
173	-0.12795
174	-0.19226
175	0.080157
116987	-0.24053
116986	-1.0118
116988	-0.48772
729092	4.6578
642517	3.6432
123624	-1.8073
79841	1.268
340351	0.8624
84871	-0.70658
60509	0.41606
177	1.5156
3267	-0.17099
3268	0.50535
55109	0.069336
55750	-0.10226
178	0.98736
79814	-0.75278
392636	-2.5169
26523	0.28929
27161	0.90651
192669	0.92902
192670	1.4549
10554	0.99919
10555	-1.6579
56894	0.10708
56895	1.166
55326	-4.2003
8540	-0.41337
10551	-0.15178
155465	-0.31183
375790	-5.5038
181	0.28552
183	0.52225
23287	1.381
185	0.47344
57085	1.0043
189	-1.0725
64902	-0.56164
25909	2.3221
191	-0.071822
10768	1.0308
27245	-1.1899
54806	-0.59835
79026	1.8727
113146	-6.6278
196	-0.5122
57491	-1.4346
10598	0.04088
197	1.4171
51327	0.098638
57379	-0.50501
64853	0.70049
199	1.086
83543	-1.2463
84883	0.96244
150209	-0.39579
51390	0.10914
9447	0.54106
9255	0.34383
7965	-1.1728
9049	0.87994
23746	0.081278
326	-1.3697
55966	-2.0107
389813	-5.1136
84962	-0.40769
203	0.33356
204	0.17273
50808	-2.4325
205	0.62759
26289	-0.30833
102157402	0.027894
122481	0.48391
158067	0.13092
221264	1.1618
642597	0.17652
8165	1.872
11216	-0.19787
11215	0.9752
9590	1.3357
11214	-0.98769
10566	2.1698
9495	1.3571
9472	1.1811
9465	0.4758
10270	-0.69227
26993	-0.19059
10142	1.2107
56672	-1.0199
79647	-2.4971
55122	-1.3593
80709	-0.042052
254268	0.73374
10327	0.95344
231	0.020202
57016	-0.39434
441282	-0.093116
1645	0.87652
8644	-0.71145
1109	-0.76821
6718	0.76649
83592	1.08
8574	-0.66321
22977	0.14592
207	0.10641
84335	-2.1608
208	0.36835
10000	-0.90163
64400	1.594
210	0.86262
211	0.39896
213	0.33753
214	0.3803
126133	-1.7594
5832	1.6564
216	0.078699
8854	-1.5143
220	-0.45339
219	1.5482
10840	-0.0092473
160428	0.94016
217	-0.37307
218	-0.43091
224	0.64576
221	-1.1765
222	0.38703
8659	-0.18581
7915	-0.42781
4329	1.8543
501	-0.01092
64577	0.7807
223	0.36049
226	-1.0274
229	0.077265
230	1.2253
56052	-2.5562
84920	0.70363
144245	0.85681
440138	0.94046
79087	-0.60642
199857	1.0479
644974	-0.26327
85365	-1.2975
10195	-0.098011
29880	-0.57779
29929	0.93414
79053	0.00020906
79796	-0.016103
238	-1.4735
389658	-2.3273
285016	-3.6789
8846	0.5206
121642	0.17329
221120	0.98546
54784	-0.62656
54890	-2.0265
84964	-1.4568
84266	-0.74875
91801	0.21861
55821	0.13863
7840	-0.036549
239	1.3891
242	0.49352
246	0.17804
247	0.14817
240	-0.93892
241	0.1326
59344	0.74003
251	-0.098256
248	-0.49725
80216	0.18048
115701	0.9354
57538	-0.54612
249	0.78155
250	1.2673
57679	1.0096
259173	0.066751
8092	0.29701
257	-1.1231
60529	-1.144
10189	-2.6312
23600	-1.0266
258	0.11942
259	0.43421
55626	0.8633
144193	-0.10028
51005	-2.9334
219287	-2.2203
205147	-1.3593
267	0.23792
268	-6.8164
269	1.0882
57463	1.0875
347902	0.17758
386724	0.90482
83607	0.42372
81693	-4.0719
196394	-0.046059
154810	0.051453
51421	0.43386
270	0.20394
271	0.56881
273	0.068858
275	0.52741
401138	0.93186
276	1.031
278	1.5748
279	1.3689
280	0.59721
155185	-5.2894
51321	0.73169
64682	3.4036
10393	-0.096843
51529	-0.3935
25847	0.11456
119504	-0.072598
29882	-2.0665
29945	1.2364
51433	0.97444
51434	0.72789
283	0.23706
23357	0.11665
90806	1.1401
284	0.34742
285	-2.3929
51378	0.31923
9068	-0.23856
23452	0.35663
27329	0.0090477
51129	-0.8283
253935	0.38068
83854	-1.9395
10218	0.26783
55908	0.27958
647589	0.8247
286	1.5058
287	1.3951
288	1.5063
150709	1.838
348094	0.15788
728780	-0.14436
63926	1.0327
162282	0.038759
51479	1.3402
56172	0.03267
54882	1.2462
404734	1.1665
54467	1.3524
255239	-0.78213
126549	-0.57188
23141	-1.9327
57037	-0.13161
57763	0.86354
27063	-0.006805
55608	-0.9395
29123	-5.6689
23253	-1.79
88455	1.4734
124930	-0.69267
81573	0.59418
338692	-0.36921
54522	-1.1219
26057	1.0585
253650	1.8375
26287	0.36153
84210	2.5173
118932	0.32367
200539	-0.73734
22852	1.1516
84079	0.44191
23243	0.63439
147463	0.69928
91074	-1.7334
554226	0.22331
256006	1.7466
341405	0.18052
651746	-1.091
284615	0.3063
340120	0.80779
390616	0.26168
148741	0.31164
375248	2.2705
400986	1.6635
353322	0.035048
51239	0.20136
91369	1.3557
338699	0.6743
91526	1.2694
339416	1.0446
157567	1.0917
54851	0.92031
57182	0.93653
283373	0.66114
79998	0.29943
129138	-2.0383
79722	1.3064
22881	0.13332
140731	0.31574
100310846	0.66658
342850	-0.27406
100131244	-3.2164
441869	-2.6157
100287718	0.22818
56311	0.703
122416	-5.5526
23294	0.26213
124401	-4.2299
257629	0.93553
203286	-0.57238
389161	0.50265
55139	1.2835
54443	1.629
55129	0.44505
57101	-0.20955
63982	0.20387
121601	1.58
203859	-0.70694
196527	1.0626
57719	-0.9343
338440	-1.2548
8125	0.58073
10541	0.38434
23520	-0.14776
23519	-0.43011
81611	1.6317
290	0.069454
65990	-2.8257
84168	-0.22095
118429	-1.3448
195977	-1.5604
301	0.36932
11199	-0.063733
311	-0.16819
312	-0.13164
302	-0.52465
389289	0.44573
306	0.44067
307	1.0409
308	0.27061
309	0.93297
310	0.1094
653145	1.0689
728113	1.4142
8416	0.99487
313	0.057685
26	0.86582
314	0.37307
8639	0.66578
84909	0.72417
316	1.183
55435	-0.54612
162	0.3414
164	-0.30999
8906	1.0664
8907	0.058669
10053	-0.47121
1174	-0.70005
130340	1.6332
160	-1.5806
161	-0.84762
163	1.3547
1173	1.2328
1175	0.83786
8546	1.2309
8120	0.47079
8943	-2.0419
26985	0.25805
10947	0.11239
1176	0.80219
10239	0.27911
10717	0.61529
23431	0.32464
9179	-1.2734
11154	0.70299
91056	-4.5885
55745	-0.040661
55317	-0.35028
9907	-6.3235
317	0.84309
320	-1.0969
321	-0.43399
9546	-1.783
322	0.46965
54518	-2.0094
323	1.1447
10307	0.41602
324	-0.33144
10297	-9.4605
147495	0.90413
164284	-1.9103
325	-0.014758
327	0.67109
328	-0.33353
51107	0.089976
83464	-0.63176
8539	1.103
51074	-0.48497
200558	0.18003
187	-0.51648
333	-0.71558
334	-0.30186
57136	-0.08918
335	-0.17802
336	0.60215
337	0.069172
116519	0.52561
338	0.84453
339	1.3074
10930	-0.4427
200315	0.42815
9582	1.6035
27350	-0.29524
140564	0.36739
200316	-0.63966
60489	1.1211
164668	0.48506
403314	0.96266
55911	-1.4987
341	0.72809
344	-0.3374
345	0.6376
346	0.64591
347	0.0045353
348	-1.0559
319	0.60182
350	0.32496
8542	-0.048755
23780	-0.36835
80833	0.12243
80832	-0.079824
80831	0.71405
80830	-0.41574
81575	-2.3728
55937	0.03967
351	0.39774
10513	1.0485
26060	0.3442
55198	0.37128
353	-2.8055
54840	1.0324
358	0.55117
89872	0.70064
282679	-1.1837
375318	-0.24154
653437	-0.31113
359	-0.081682
360	0.39993
361	0.48289
362	-0.36622
363	-0.29354
364	0.62293
343	1.0031
366	-0.72494
9716	1.4148
116985	-0.43224
116984	0.46347
64411	0.54613
23237	-1.6726
372	0.17078
374	0.22052
9870	0.49277
375	-0.62933
377	1.1623
378	1.005
381	-0.6046
382	-1.5422
55738	-1.0652
84364	0.25793
26286	0.39333
10565	1.08
10564	1.9999
57221	-0.56296
27236	0.8359
23647	0.60769
10139	-0.86105
383	0.12382
384	0.65517
503582	0.29138
55082	-0.99605
392	0.9078
79658	0.13227
9824	1.6454
114118903	0.84886
89839	1.4946
94134	1.0152
55843	0.27912
55114	0.18698
93663	0.13545
84986	0.64202
57569	0.27831
57584	1.7675
58504	-1.4119
57636	-0.51741
83478	-0.09853
9938	0.97455
23092	-0.031336
79822	0.39864
9411	0.41092
257106	-0.49138
57514	1.6132
9743	0.83164
2909	2.0471
343578	1.6473
143872	0.22717
9912	-1.2821
23526	-4.2894
394	0.89841
23779	-4.4049
64333	0.51771
396	-2.5927
397	-0.74358
398	-3.1451
9138	0.20989
9639	-3.6675
55160	-0.21952
9826	1.8576
23365	1.5803
22899	0.21854
27237	-0.2275
9828	-2.3213
23370	-1.1213
128272	-0.34373
9181	1.1291
115557	0.079044
26084	-1.6194
64283	-0.16226
50650	-0.1543
100271715	-1.8413
445328	0.69998
389337	1.0482
54848	-0.52761
84904	-0.039629
50649	-0.65681
55701	0.38596
7984	5.1273
8874	-1.2609
8289	-3.0462
57492	-2.9392
196528	-0.41966
1820	-2.0352
10620	2.3663
138715	-0.54778
5926	0.45161
51742	0.50076
10865	-0.50989
84159	1.0651
25820	-0.45299
10425	0.051182
400	0.45125
285598	-0.047561
115761	0.89692
200894	0.042137
80117	-0.58652
120534	0.56424
54622	-0.5763
339231	-1.6128
402	-0.71597
23568	1.0903
403	0.59289
10124	0.40057
10123	0.11921
379	0.78336
26225	0.44032
221079	-0.88083
390790	0.85339
84100	0.61041
23204	1.1989
51329	-2.0756
10550	0.41206
151188	-1.7446
127829	0.52798
55207	-0.12393
132946	0.04001
55156	0.35035
83787	1.2162
221481	0.7311
84071	0.38595
219681	1.2203
79798	-2.5097
93436	1.2037
79637	0.10549
25852	0.35244
80210	1.0271
339541	-0.13508
101928603	1.2993
79591	0.88716
145407	-0.26174
387715	0.29868
79624	0.43428
405	1.4841
9915	-0.074948
406	1.2349
10552	0.93722
10095	0.34225
10109	0.75438
10094	0.50711
10093	-0.23984
100526693	0.65975
10092	-0.55624
81873	-0.40597
348110	0.072165
100526783	0.15969
10776	-0.30503
10777	0.442
408	0.27756
409	1.3672
92714	-1.737
27106	-1.5527
57561	1.3456
91947	-1.0871
645432	0.049554
410	-0.73538
411	-0.36873
22901	1.2765
340075	0.40262
79642	-0.29187
153642	0.76609
417	-0.83493
419	0.99842
420	0.18971
116969	-0.15817
9048	-2.4141
64801	0.59396
421	-2.151
57412	0.87634
427	-1.7481
56624	0.53223
653308	
50807	-0.42012
8853	-0.103
55616	1.1272
51665	0.20571
136371	-0.60073
79754	-0.87009
142686	0.64904
142685	0.76386
92591	-1.3637
127247	-0.046486
401036	-2.6609
51676	-0.11042
51130	-1.2298
51666	0.49895
140458	0.40965
140459	-0.36493
140460	-0.40492
140461	1.1415
51008	0.39595
84164	0.62744
10973	-0.1655
429	0.40783
430	-4.0218
56676	-0.25351
121549	-2.2033
647219	-0.41441
110599588	-0.7773
25842	-0.44743
55723	0.63247
432	0.9693
55870	2.1215
9070	0.20871
41	0.96859
40	-0.37806
9311	-0.94545
55515	0.76938
51802	-0.61197
434	-0.28957
435	0.41591
440	1.3779
54529	0.68705
443	0.37343
554235	-0.62707
374569	-1.7317
444	0.35576
253982	-1.427
57168	-0.078271
259266	0.024148
54829	0.99149
151516	0.47594
79058	-1.1042
80150	-0.2304
445	0.5938
28990	0.89071
431705	0.27061
460	0.80616
23245	-0.54935
171023	0.76475
55252	0.44805
80816	0.4421
136991	0.053095
84896	0.63745
29028	-0.66061
54454	-0.045055
55210	0.012189
83858	-2.0932
219293	-0.1434
79915	1.2732
79969	0.46636
85300	-0.34752
466	0.69811
1386	0.51141
467	0.8462
468	-3.0743
22809	-1.6909
22926	0.087354
1388	0.75439
11016	1.1506
55729	0.47443
83734	0.32813
60673	0.80393
9140	-0.8919
9776	0.24754
22863	0.09944
55054	-0.45655
89849	-1.3844
23130	-0.6152
55102	0.84536
64422	0.083767
23192	-1.4952
84938	0.64377
84971	-0.58404
9474	0.51452
79065	0.91234
471	0.099457
51062	0.57501
64225	-1.6292
25923	0.62327
472	1.4616
23300	-1.8748
1822	-0.76901
474	-0.60327
220202	-0.7952
84913	-1.608
475	0.44693
23120	0.96383
57205	1.6958
23250	-0.33464
23200	0.55176
479	0.67762
57130	-2.1586
23400	0.93106
79572	0.64943
84239	1.1694
344905	1.1588
476	0.45485
477	1.419
478	1.1803
480	0.080169
481	-0.010643
482	0.37378
483	0.12749
91419	0.66071
487	1.2638
488	0.13271
489	-0.14466
490	1.4576
491	0.61953
493	1.4237
27032	0.99368
9914	-6.5372
495	0.31081
496	-0.30554
498	0.29875
506	1.6283
509	0.67967
513	-2.4858
514	0.11955
93974	0.48473
516	0.87495
517	0.41889
518	-0.14467
521	-1.1933
9551	0.52406
100526740	0.010512
10632	-0.35401
267020	-0.70214
9556	-0.070326
84833	-0.50339
515	0.49523
10476	1.1269
522	0.42393
539	-0.36682
535	0.6912
23545	0.94987
50617	1.2749
533	-0.34786
527	-1.5841
9114	0.38886
245972	-0.33207
8992	-0.098464
155066	-0.21426
523	0.91403
525	1.0621
526	-1.4319
528	0.50446
245973	-0.6542
51382	0.48972
529	0.16304
90423	-0.51856
9296	0.16079
100130705	1.2809
9550	-1.9211
534	0.080799
127124	-0.29707
51606	0.4167
540	-0.18167
10396	0.49329
51761	0.12822
5205	1.092
57198	2.2723
148229	-1.5286
79895	0.51748
10079	-0.19705
374868	-0.60565
64756	-1.0702
91647	0.95325
134145	0.99453
545	1.1862
51374	-1.0906
84126	0.52905
8455	-0.077968
26033	-0.37298
6310	-0.48138
25814	0.078923
342371	-0.39236
6311	0.24417
11273	-2.2723
4287	0.77202
6314	-0.89445
222255	0.36163
127002	0.38388
56970	-1.0219
552889	-1.3871
549	-0.95218
79000	0.63531
550	-0.45827
6790	0.11418
9212	0.31177
6795	0.31529
26053	-0.95394
57099	-1.6225
23080	-0.28776
551	-1.7516
60370	0.6996
552	0.07564
553	0.19611
126859	0.035144
8312	-1.4556
8313	-1.5461
558	0.87734
563	0.6779
64343	0.94592
51582	1.1429
113451	0.98863
566	-1.2738
567	0.83095
8706	0.40874
148789	0.3046
8708	-0.28512
8707	-0.47574
8705	-0.80598
10317	-0.14715
126792	-5.921
27087	-2.0473
135152	-1.8306
26229	1.2676
145173	-0.19256
10678	0.31993
10331	1.0339
79369	-2.2842
84002	0.0672
192134	-2.3405
93010	-0.13483
374907	-0.66704
84752	-4.3594
2583	-0.38722
124872	0.43938
283358	-0.062983
338707	-5.2468
2683	-0.77764
8704	0.12089
8703	1.2495
8702	0.61351
9334	-0.02324
9331	0.2233
11285	-0.99832
11041	0.11992
80776	0.59563
79870	-1.3079
570	1.2055
29086	-0.37442
9577	0.14544
23621	0.84792
25825	-0.17103
571	0.31097
60468	0.37633
572	-2.1806
573	-0.81939
9532	0.47398
9531	0.32762
9530	0.50995
9529	0.38062
57597	-2.446
22893	0.84374
10458	-2.628
55971	-0.83251
80115	-2.3195
8938	-4.2151
578	1.2639
25805	-1.4133
8815	-0.36918
140836	-0.59958
55024	-0.71495
54971	-0.87833
8314	0.8651
580	-1.0676
56751	0.071379
343472	-0.76863
56033	-2.4568
8538	0.71137
10409	-1.6723
10538	0.052921
116071	0.089768
55509	-0.5709
581	-0.59017
11177	1.5771
9031	-0.32115
11176	1.0859
29994	0.83224
27113	-1.6621
92482	0.47314
79095	0.20743
80127	-0.22728
8424	-0.34015
582	1.2657
79738	0.80956
166379	0.53539
583	1.2815
585	0.16178
129880	0.36602
55212	2.0285
27241	0.35428
56987	0.8686
4059	-0.94152
63827	0.19022
55973	-0.31067
9564	-2.8238
8412	1.2116
10286	0.84368
54828	0.55408
55653	-0.21021
586	-0.058636
587	0.25207
56647	0.058112
144233	1.1116
590	0.0092272
593	0.68981
594	-1.0351
10295	-0.60362
8915	-0.34934
53335	0.3729
64919	-4.0973
596	-0.28442
597	0.60035
598	1.1779
10017	-2.1961
10018	-0.85946
83596	0.061878
23786	0.040927
79370	0.78728
440603	0.93835
599	0.29852
100529063	-0.28609
602	-2.8012
604	0.77009
255877	0.32319
605	-1.0796
9275	-0.47166
9274	1.2772
607	-0.038216
283149	-1.2269
9774	2.0086
53630	-1.1924
83875	0.65854
613	-2.4256
617	1.0338
622	0.062323
56898	1.2328
623	0.29876
624	-0.92407
627	1.3589
55814	-0.14821
146227	0.12438
8678	1.2587
441925	0.39886
57673	0.28945
389206	-1.983
79656	-0.48545
221336	-0.10228
7439	0.39181
54831	-1.4744
144453	0.99704
266675	-0.50701
10282	0.70571
51272	-0.13083
51283	-0.10159
631	-1.0372
8419	0.96292
632	-0.68475
168620	-1.7341
727857	-3.8725
27319	-4.9077
128408	-3.3999
8553	-0.55372
79365	-4.133
635	0.66529
23743	0.84351
80114	-0.59423
636	1.5404
23299	0.30814
146439	-3.8314
23506	1.4916
637	-0.2474
638	-0.51845
274	0.19722
51411	0.51876
55909	-0.9618
329	-0.57433
330	0.83575
332	0.59863
79444	-0.74123
54841	1.0637
100533467	0.87667
10904	0.30378
414899	0.24093
640	-2.3353
641	2.2795
642	0.83007
29760	1.2796
282991	0.1246
388552	-1.1953
55330	-2.8421
63915	-0.67424
26258	-0.59336
644	1.3692
645	-0.30778
8548	1.414
89927	-0.96367
90427	0.33115
648	0.14092
649	0.33994
27302	0.34272
650	-0.50332
55589	0.24856
651	-0.8441
652	0.91375
653	-0.097072
654	-1.67
655	-0.22481
353500	0.3323
656	0.12574
168667	0.27363
657	1.2039
658	-0.73983
659	2.2254
9790	0.85515
154743	-0.56712
646	0.57339
54796	-0.95407
662	-0.66671
663	-1.4857
664	0.28354
665	-0.42815
389384	0.56583
149428	0.96016
91653	0.7708
91272	-1.2955
259282	0.25979
284257	-0.75415
666	-2.6372
51027	0.17254
388962	-0.56144
66037	0.59654
23246	-3.7443
79866	1.0348
118426	-0.63686
54785	-1.8351
119032	-0.96428
729991	-0.14189
669	0.49343
670	-0.3075
671	0.47434
51297	-0.14569
140683	0.30248
128861	0.42253
92747	0.72528
80341	-0.71283
359710	0.27624
149954	0.4649
128859	-0.51486
10380	0.99702
54928	-0.89095
2186	0.93664
673	1.2188
8315	0.43133
221927	-3.1161
672	2.6707
675	1.5467
6046	-3.079
8019	-0.69125
23476	-3.1218
29117	1.0205
10902	0.72558
65980	-1.1787
676	0.88983
2972	-2.9444
55290	0.72911
25798	-2.3588
140707	-1.7195
283870	-2.7625
1620	-0.53492
57795	0.96157
339479	-0.87748
83990	1.8699
55299	-0.75416
55845	-0.49633
25855	0.94685
84312	0.42398
148362	0.39227
7862	-0.1664
27154	1.5134
84446	-0.95943
9024	-2.7854
54014	0.16006
26580	0.022383
55108	-0.16969
682	-3.2729
8927	1.3144
7809	0.049628
100131137	0.83443
54836	-0.38238
683	-0.51237
684	1.4295
390259	-1.0251
53339	-1.1863
84280	1.5787
121551	-0.20528
118663	0.25435
388419	-2.512
643376	0.92724
55643	-3.6046
22903	-0.10489
90135	-2.6202
55727	0.37016
284697	1.4966
114781	0.85073
685	-0.47763
686	0.64469
689	-0.51282
91408	0.99739
694	-1.7359
7832	-0.31088
10950	-0.042346
151888	1.0484
696	1.3145
11120	0.13008
10385	0.85247
11119	1.8179
11118	1.2955
10384	0.77663
100129094	1.0003
56244	0.51773
10917	1.4229
79908	1.471
153579	-1.2233
8945	0.66377
699	1.0122
701	0.5878
106821730	-0.48062
9184	-0.20546
84811	-0.16172
114049	0.77408
8896	-0.21584
11149	-0.16246
705	1.0016
9689	-0.1512
28969	-1.6237
414152	-1.4279
399814	0.21245
282966	-0.37806
414157	1.0799
256815	-0.90465
118461	-0.011914
143379	0.65862
80007	0.20926
118611	-0.11527
79946	-2.1191
387695	0.17692
64776	0.06887
56673	0.26248
29125	0.4425
53838	0.51536
143501	-2.4568
160298	0.17775
79096	-0.17749
91894	0.57481
341032	0.54513
28970	0.67735
10944	0.24523
160140	0.73823
83638	-0.96378
54494	0.35254
79703	-0.96146
254439	-1.3386
399947	0.2746
143678	-1.9254
387763	-1.3756
643037	-0.89437
102288414	-0.64543
91298	-0.74772
57102	1.1525
283461	0.28387
64897	-0.67812
160419	-0.47617
121273	-0.22277
115749	0.19372
113246	-1.1394
144608	-0.10244
728858	0.60554
728568	0.37757
387882	-1.6137
55017	0.32791
56967	-0.038366
400258	-1.8333
122525	-0.96749
317761	-1.167
60686	0.79792
56905	-0.00093032
123207	-1.4389
84419	0.47746
145853	-0.84018
643338	0.53227
145788	0.13252
123775	-0.21715
283897	-1.607
29035	-3.0189
404550	-2.5103
123970	-0.66909
162083	-0.41309
388284	-0.54893
388272	0.048015
146556	-1.0331
646174	-0.98202
283951	-1.2589
146378	0.67602
100506581	-1.0774
342346	0.80918
388327	-0.74121
100130311	-0.93243
110806298	0.1533
124944	-0.55862
146853	-1.2134
284018	1.2305
124773	0.32882
339210	-0.78129
64149	0.14191
284099	0.31435
55028	0.35844
400566	-0.35601
388381	-0.3378
83608	-0.12264
147339	1.1065
497661	0.053035
162681	0.57547
644041	1.088
83636	-0.037425
147685	-0.044733
148223	-1.9085
64073	-0.65468
255809	0.10944
84167	1.1391
126526	0.35076
28974	-1.0453
284325	-0.31123
646457	-1.609
100128569	-2.9864
55150	0.019609
342918	0.022285
147646	-1.3161
10438	-0.20847
56913	-1.1358
728819	-0.32144
712	0.30245
713	0.59759
708	-1.7212
714	-0.7654
10882	-0.80625
165257	-1.9336
389941	-2.1366
338761	-1.3922
114897	-0.37668
388581	-2.7326
114898	0.32834
114899	-0.01931
114900	-2.3432
114902	-0.89669
114904	1.3291
114905	0.12662
390664	-2.9194
338872	1.34
715	1.0629
51279	0.35957
716	0.72888
200159	0.14214
92346	0.2574
54955	0.64714
55732	0.69609
79762	-1.8874
79098	0.68858
127687	-1.0498
148345	0.404
128061	0.10301
400757	0.25611
388649	0.50339
93190	0.36356
54991	-0.76512
