uuid	TraitR	TraitC	TRAIT
609f6f50-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022303	GCST90269550_EFO_0022303	polyunsaturated fatty acids to total fatty acids percentage
6117d3a3-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022234	GCST90269732_EFO_0022234	cholesterol to total lipids in large HDL percentage
6192a8f6-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022157	GCST90269660_EFO_0022157	free cholesterol in large HDL measurement
623f3caa-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022168	GCST90302097_EFO_0022168	total lipids in small LDL
62b026ec-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022337	GCST90269725_EFO_0022337	triglycerides to total lipids in small LDL percentage
6312441f-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0004732	GCST90092990_EFO_0004732	lipoprotein measurement
63d59422-4ed4-11f0-a218-005056ae3c32	37262146_EFO_0004799	GCST90018819_EFO_0004799	cholelithiasis
644f09e5-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022317	GCST90269507_EFO_0022317	triglycerides in HDL measurement
64bd5c18-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022289	GCST90269684_EFO_0022289	free cholesterol to total lipids in very large VLDL percentage
6531c8cb-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0010733	GCST90092939_EFO_0010733	polyunsaturated fatty acid measurement
65deaa9e-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022161	GCST90301981_EFO_0022161	total lipids in IDL
66640741-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022249	GCST90269713_EFO_0022249	cholesteryl esters to total lipids in large LDL percentage
66d5dbe4-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022281	GCST90269689_EFO_0022281	free cholesterol to total lipids in large VLDL percentage
67824887-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022254	GCST90269743_EFO_0022254	cholesteryl esters to total lipids in small HDL percentage
685290da-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022231	GCST90269616_EFO_0022231	cholesterol in very small VLDL measurement
68b682cd-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022144	GCST90302160_EFO_0022144	triglycerides in very small VLDL measurement
691d5af0-4ed4-11f0-a218-005056ae3c32	37262146_EFO_0003882	GCST90018887_EFO_0003882	osteoporosis
69a46543-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022229	GCST90269651_EFO_0022229	cholesterol in very large HDL measurement
6a0c4ed5-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022286	GCST90269724_EFO_0022286	free cholesterol to total lipids in small LDL percentage
6a6c7038-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022276	GCST90269517_EFO_0022276	free cholesterol in VLDL measurement
6add5a7b-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022264	GCST90269519_EFO_0022264	free cholesterol in HDL measurement
6bfcfb4f-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022257	GCST90269728_EFO_0022257	cholesteryl esters to total lipids in very large HDL percentage
6cb68751-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022181	GCST90301979_EFO_0022181	free cholesterol in IDL measurement
6dcdeac6-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022233	GCST90269707_EFO_0022233	cholesterol to total lipids in IDL percentage
6e2dbe08-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022271	GCST90269646_EFO_0022271	free cholesterol in small LDL measurement
6eb8bffc-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022310	GCST90269663_EFO_0022310	total lipids in medium HDL measurement
6fb7b970-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022273	GCST90269653_EFO_0022273	free cholesterol in very large HDL measurement
702f8182-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022305	GCST90269552_EFO_0022305	saturated fatty acids to total fatty acids percentage
710288f5-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022304	GCST90269545_EFO_0022304	saturated fatty acids measurement
71843c17-4ed4-11f0-a218-005056ae3c32	36038634_EFO_0000384	GCST004132_EFO_0000384	Crohn's disease
71dcbc5a-4ed4-11f0-a218-005056ae3c32	34226706_EFO_0004468	GCST90092819_EFO_0004468	glucose measurement
72acdd9e-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022284	GCST90269694_EFO_0022284	free cholesterol to total lipids in medium VLDL percentage
731870b1-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022189	GCST90269656_EFO_0022189	total lipids in large HDL
73792e53-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022338	GCST90269700_EFO_0022338	triglycerides to total lipids in small VLDL percentage
7442bfe7-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022239	GCST90269692_EFO_0022239	cholesterol to total lipids in medium VLDL percentage
74a1a8ca-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022287	GCST90269699_EFO_0022287	free cholesterol to total lipids in small VLDL percentage
74f5952c-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022148	GCST90269607_EFO_0022148	total lipids in small VLDL
7613d671-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022174	GCST90302015_EFO_0022174	phospholipids in large LDL measurement
767ecd44-4ed4-11f0-a218-005056ae3c32	31367044_EFO_0010815	GCST90302074_EFO_0010815	remnant cholesterol measurement
76d94957-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022339	GCST90269730_EFO_0022339	triglycerides to total lipids in very large HDL percentage
77f89c0c-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022268	GCST90302047_EFO_0022268	free cholesterol in medium LDL measurement
786c1e5e-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022282	GCST90269739_EFO_0022282	free cholesterol to total lipids in medium HDL percentage
78c3db51-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022248	GCST90269733_EFO_0022248	cholesteryl esters to total lipids in large HDL percentage
798ca995-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022259	GCST90269703_EFO_0022259	cholesteryl esters to total lipids in very small VLDL percentage
79f22227-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0004736	GCST90011899_EFO_0004736	aspartate aminotransferase measurement
7af22d0b-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022176	GCST90302011_EFO_0022176	free cholesterol in large LDL measurement
7b47c71e-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022270	GCST90269674_EFO_0022270	free cholesterol in small HDL measurement
7ba416f1-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022149	GCST90301985_EFO_0022149	triglycerides in IDL measurement
7c1660c4-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022225	GCST90269602_EFO_0022225	cholesterol in medium VLDL measurement
7c7597c6-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022333	GCST90269740_EFO_0022333	triglycerides to total lipids in medium HDL percentage
7d64b2bb-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022180	GCST90269635_EFO_0022180	total lipids in medium LDL
7dbc218d-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022278	GCST90269709_EFO_0022278	free cholesterol to total lipids in IDL percentage
7efa6df2-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022164	GCST90301983_EFO_0022164	phospholipids in IDL measurement
7f63de25-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0021900	GCST90269658_EFO_0021900	cholesterol in large HDL measurement
80d76b59-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022243	GCST90269727_EFO_0022243	cholesterol to total lipids in very large HDL percentage
8160bf9b-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022279	GCST90269734_EFO_0022279	free cholesterol to total lipids in large HDL percentage
826c3c2f-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0007991	GCST90002382_EFO_0007991	eosinophil percentage of leukocytes
82cbc151-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022335	GCST90269695_EFO_0022335	triglycerides to total lipids in medium VLDL percentage
83286044-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022341	GCST90269705_EFO_0022341	triglycerides to total lipids in very small VLDL percentage
83f91dc8-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022241	GCST90269722_EFO_0022241	cholesterol to total lipids in small LDL percentage
845c255b-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0004541	GCST90256420_EFO_0004541	HbA1c measurement
84bae72e-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0004713	GCST90025978_EFO_0004713	FEV/FVC ratio
85173801-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022329	GCST90269710_EFO_0022329	triglycerides to total lipids in IDL percentage
85fe8ac4-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022334	GCST90269720_EFO_0022334	triglycerides to total lipids in medium LDL percentage
86687027-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022163	GCST90269628_EFO_0022163	total lipids in large LDL
86de3c6a-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0008589	GCST90301957_EFO_0008589	esterified cholesterol measurement
8798b2cd-4ed4-11f0-a218-005056ae3c32	34662886_EFO_0004238	GCST90292536_EFO_0004238	hearing loss
885265e0-4ed4-11f0-a218-005056ae3c32	36138231_EFO_0004251	GCST90000032_EFO_0004251	myeloproliferative disorder
8927de53-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0004274	GCST90455679_EFO_0004274	gout
897eff05-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022288	GCST90269729_EFO_0022288	free cholesterol to total lipids in very large HDL percentage
89e89649-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022322	GCST90302053_EFO_0022322	triglycerides in medium LDL measurement
8a549e8b-4ed4-11f0-a218-005056ae3c32	31367044_EFO_0008595	GCST90301982_EFO_0008595	intermediate density lipoprotein measurement
8b14450f-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022319	GCST90269633_EFO_0022319	triglycerides in large LDL measurement
8bae3b22-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022183	GCST90302051_EFO_0022183	phospholipids in medium LDL measurement
8c08b734-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022297	GCST90269643_EFO_0022297	phospholipids in small LDL measurement
8d062a08-4ed4-11f0-a218-005056ae3c32	31367044_EFO_0010116	GCST90092812_EFO_0010116	choline measurement
8e6ebabb-4ed4-11f0-a218-005056ae3c32	34662886_EFO_0007990	GCST90002399_EFO_0007990	neutrophil percentage of leukocytes
8edce5dd-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0021899	GCST90269623_EFO_0021899	cholesterol in IDL measurement
8f3dca8f-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022240	GCST90269742_EFO_0022240	cholesterol to total lipids in small HDL percentage
900427d3-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022226	GCST90269672_EFO_0022226	cholesterol in small HDL measurement
9043eff6-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0004527	GCST000504_EFO_0004527	mean corpuscular hemoglobin
909ae999-4ed4-11f0-a218-005056ae3c32	24507775_EFO_0001645	GCST90446534_EFO_0001645	coronary artery disease
90c8b05c-4ed4-11f0-a218-005056ae3c32	34662886_EFO_0007778	GCST007718_EFO_0007778	urinary albumin to creatinine ratio
911c278e-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022331	GCST90269715_EFO_0022331	triglycerides to total lipids in large LDL percentage
9167d692-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022311	GCST90269670_EFO_0022311	total lipids in small HDL measurement
91b2e955-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0004312	GCST90278629_EFO_0004312	vital capacity
925f7d09-4ed4-11f0-a218-005056ae3c32	34662886_EFO_0004528	GCST90018965_EFO_0004528	mean corpuscular hemoglobin concentration
92b7881c-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022235	GCST90269712_EFO_0022235	cholesterol to total lipids in large LDL percentage
92f3318e-4ed4-11f0-a218-005056ae3c32	31367044_EFO_0004502	GCST002233_EFO_0004502	adiponectin measurement
9346cfd2-4ed4-11f0-a218-005056ae3c32	37262146_EFO_0004627	GCST90102623_EFO_0004627	IGF-1 measurement
94590325-4ed4-11f0-a218-005056ae3c32	35982160_EFO_0003756	GCST010643_EFO_0003756	autism spectrum disorder
94c97837-4ed4-11f0-a218-005056ae3c32	34662886_EFO_0004838	GCST90448602_EFO_0004838	calcium measurement
9550d0aa-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0005854	GCST009719_EFO_0005854	allergic rhinitis
962d750e-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0004197	GCST001150_EFO_0004197	hepatitis B virus infection
968f6b30-4ed4-11f0-a218-005056ae3c32	34226706_EFO_0005090	GCST90025997_EFO_0005090	basophil count
96f09e03-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0007985	GCST90002400_EFO_0007985	platelet crit
9741f256-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022285	GCST90269744_EFO_0022285	free cholesterol to total lipids in small HDL percentage
97fabb0a-4ed4-11f0-a218-005056ae3c32	24212883_EFO_0000676	GCST004346_EFO_0000676	psoriasis
982f86ac-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0002496	GCST90095184_EFO_0002496	actinic keratosis
98e01200-4ed4-11f0-a218-005056ae3c32	34662886_EFO_0007993	GCST90002389_EFO_0007993	lymphocyte percentage of leukocytes
99c5de23-4ed4-11f0-a218-005056ae3c32	31367044_EFO_0009765	GCST90301943_EFO_0009765	alanine measurement
9a84e866-4ed4-11f0-a218-005056ae3c32	34662886_EFO_0007992	GCST90002380_EFO_0007992	basophil percentage of leukocytes
9b8bf829-4ed4-11f0-a218-005056ae3c32	20549515_EFO_0000685	GCST90131437_EFO_0000685	rheumatoid arthritis
9bd201db-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0004309	GCST004603_EFO_0004309	platelet count
9c02aecd-4ed4-11f0-a218-005056ae3c32	34226706_EFO_0004532	GCST90025966_EFO_0004532	serum gamma-glutamyl transferase measurement
9c3b23f0-4ed4-11f0-a218-005056ae3c32	34226706_EFO_0004509	GCST90012210_EFO_0004509	hemoglobin measurement
9c78f044-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0005680	GCST003236_EFO_0005680	omega-6 polyunsaturated fatty acid measurement
9d5a4f98-4ed4-11f0-a218-005056ae3c32	25187575_EFO_0000319	GCST90446535_EFO_0000319	cardiovascular disease
9dcdd1ea-4ed4-11f0-a218-005056ae3c32	33230300_EFO_0005763	GCST90018970_EFO_0005763	pulse pressure measurement
9e18486d-4ed4-11f0-a218-005056ae3c32	36280733_OBA_2045260	GCST90025964_OBA_2045260	red blood cell density
9e548e20-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0010732	GCST90269556_EFO_0010732	omega-6:omega-3 polyunsaturated fatty acid ratio
9f025a54-4ed4-11f0-a218-005056ae3c32	33230300_EFO_0006336	GCST90018952_EFO_0006336	diastolic blood pressure
9f9d13b7-4ed4-11f0-a218-005056ae3c32	34662886_MONDO_0007254	GCST90027052_MONDO_0007254	breast cancer
9fde1459-4ed4-11f0-a218-005056ae3c32	34226706_EFO_0010968	GCST90448623_EFO_0010968	phosphate measurement
a020e9bb-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0004314	GCST90270081_EFO_0004314	forced expiratory volume
a063e62f-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0022238	GCST90269717_EFO_0022238	cholesterol to total lipids in medium LDL percentage
a11fe333-4ed4-11f0-a218-005056ae3c32	33230300_EFO_0006335	GCST90132903_EFO_0006335	systolic blood pressure
a164b466-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0000407	GCST011210_EFO_0000407	dilated cardiomyopathy
a1a47c88-4ed4-11f0-a218-005056ae3c32	36809768_EFO_0010114	GCST90092813_EFO_0010114	citrate measurement
a215b4ec-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0004210	GCST003725_EFO_0004210	gallstones
a25cd00e-4ed4-11f0-a218-005056ae3c32	37262146_MONDO_0004975	GCST90301303_MONDO_0004975	Alzheimer disease
a290ff71-4ed4-11f0-a218-005056ae3c32	31367044_EFO_0010119	GCST90301959_EFO_0010119	omega-3 polyunsaturated fatty acid measurement
a2c52ed4-4ed4-11f0-a218-005056ae3c32	34662886_EFO_0005089	GCST000891_EFO_0005089	whole-brain volume
a37285d8-4ed4-11f0-a218-005056ae3c32	37262146_EFO_0004338	GCST90018949_EFO_0004338	body weight
a3c5d5fb-4ed4-11f0-a218-005056ae3c32	34662886_EFO_0000095	GCST002073_EFO_0000095	chronic lymphocytic leukemia
a419c25e-4ed4-11f0-a218-005056ae3c32	36280733_EFO_0004340	GCST90446645_EFO_0004340	body mass index
a454f6a0-4ed4-11f0-a218-005056ae3c32	28195573_MONDO_0004985	GCST011102_MONDO_0004985	bipolar disorder
a4a05784-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0000571	GCST012201_EFO_0000571	lung adenocarcinoma
a551f447-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0005773	GCST009958_EFO_0005773	retinal detachment
a596022a-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0004193	GCST90328132_EFO_0004193	basal cell carcinoma
a5d506fd-4ed4-11f0-a218-005056ae3c32	34375979_HP_0000545	GCST003997_HP_0000545	Myopia
a614a710-4ed4-11f0-a218-005056ae3c32	34375979_MONDO_0005301	GCST000424_MONDO_0005301	multiple sclerosis
a6549643-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0004244	GCST90018863_EFO_0004244	interstitial lung disease
a685b866-4ed4-11f0-a218-005056ae3c32	29273807_EFO_0001073	GCST009382_EFO_0001073	obesity
a6b2e2e9-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0000756	GCST004142_EFO_0000756	melanoma
a710934c-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0001075	GCST004415_EFO_0001075	ovarian carcinoma
a747a8de-4ed4-11f0-a218-005056ae3c32	34375979_EFO_0001060	GCST000157_EFO_0001060	celiac disease
