Entrez	LOEUF
91452	3.051
84320	1.2861
414149	0.23131
84680	2.0232
390110	1.1942
65057	1.8647
1636	2.6229
125981	-0.20855
340485	0.81905
55331	1.8974
43	3.8012
22985	9.2712
2532	-0.029967
1238	-0.85165
57007	3.1221
51554	1.0818
47	6.6187
130013	1.1369
48	2.6034
50	5.0567
730249	0.367
641371	0.80089
26027	0.82233
134526	1.9226
55856	0.40672
10965	0.8438
122970	-0.070524
641372	-1.9096
11332	3.7875
10005	0.96847
51	3.6262
8309	2.0256
8310	0.63564
55289	-0.076743
52	-0.20426
53	2.5017
55	1.1042
93650	-0.65902
54	0.85991
51205	-0.15321
390928	0.52706
49	1.637
84519	1.9828
56	2.1343
23205	4.2774
81616	1.4805
80221	2.4624
197322	-2.7242
2180	4.7026
2181	3.9214
51703	3.5195
23305	4.6538
116285	-0.2061
123876	-0.093259
348158	1.7047
6296	1.4217
341392	0.93837
54988	1.393
142827	1.8618
84532	3.3231
55902	2.8714
79611	1.867
58	1.7277
59	3.8572
60	4.5375
345651	-0.84883
70	3.408
71	3.0548
72	3.1058
170487	-1.07
86	5.0745
51412	1.6958
10881	0.67822
10880	0.10279
81569	1.973
284382	0.74428
87	7.1027
88	5.9809
89	1.8786
81	7.54
55860	0.9527
10121	4.8164
10120	1.5852
10097	4.7673
10096	3.642
57180	4.5994
653857	1.2755
79913	1.4957
64431	1.3525
93973	1.2004
140625	1.0652
84517	0.57339
90	2.3769
91	4.734
130399	3.5549
92	5.7461
93	4.9634
94	3.7324
95	1.9821
91703	0.73897
97	0.78323
98	0.38957
100	0.45427
51816	1.9874
132612	2.6493
161931	-1.3793
161823	0.55395
102	6.3675
4185	4.7174
8038	2.8125
8751	2.8493
6868	4.3271
8749	-1.8386
8728	3.5897
2515	0.56413
8748	-0.79743
8747	-0.24766
8745	5.8835
10863	-0.088277
11086	-0.85699
11085	-0.11426
203102	1.1777
80332	-0.79789
8756	0.37273
101	-1.5831
8754	4.7529
9510	6.0471
81794	6.1294
81792	3.7161
11093	2.1942
140766	1.7013
170689	3.858
170690	3.2787
170691	1.7162
170692	0.83806
171019	2.819
9509	5.0013
80070	2.0326
9508	4.1876
9507	3.1057
11096	2.6839
11174	8.3608
11173	3.6536
11095	0.96292
56999	8.2293
92949	4.1941
9719	3.9002
57188	4.802
54507	2.1052
339366	-0.81188
11033	1.6709
55803	1.251
103	6.0356
104	4.9745
105	3.0763
23536	0.27491
134637	0.27013
113179	-0.87738
57143	1.8723
90956	1.8501
203054	1.4221
107	6.4048
55811	2.2299
108	6.6728
109	3.983
196883	0.64507
111	6.8144
113	3.5981
114	4.662
115	4.5399
116	1.7643
117	2.7017
118	5.6486
119	5.6411
120	5.1089
79747	1.9702
84435	1.3544
25960	1.7966
166647	4.5036
575	6.7277
576	7.4085
577	8.6944
283383	2.6217
2015	1.7956
30817	1.2061
84658	-0.23036
976	1.6033
266977	-0.12952
222611	0.53542
221393	-0.33596
221395	3.3769
9289	2.2511
222487	1.803
221188	1.5131
57211	3.1745
84873	0.38075
23284	5.727
64123	-1.159
84059	7.2723
124	0.96571
125	1.3694
126	1.4601
127	1.1259
128	0.64587
130	0.29691
131	-0.47542
137872	1.5876
55256	-0.90982
9370	-0.61413
51094	3.3298
79602	3.09
10974	-0.32496
132	1.8549
133	2.2735
79924	-0.75326
199800	0.40947
23394	7.5019
22850	1.6829
84890	0.40964
134	2.6296
135	1.9214
136	0.044774
140	1.1022
83440	1.7128
56985	1.5763
54936	0.79518
148	0.023586
147	0.11711
146	-1.0005
150	-0.01521
151	-0.14119
152	1.241
153	-1.1728
154	1.7891
155	-2.5635
11047	4.61
158	1.9048
122622	0.049156
159	3.0329
84830	1.1581
165	3.6169
121536	3.0162
64782	-0.59921
134265	1.8457
84632	4.334
4301	7.8044
4299	5.6803
3899	7.3369
27125	8.1368
246269	1.3587
10939	3.3929
173	-1.0617
174	1.6463
175	1.6768
116987	6.2732
116986	6.038
116988	6.1132
729092	2.2445
642517	2.1843
123624	-1.1291
79841	1.8092
340351	2.0597
84871	0.80864
60509	3.5438
177	1.0295
3267	4.8714
3268	2.0394
55109	2.6224
55750	1.7817
178	4.4893
79814	-1.387
392636	-0.94622
26523	8.0358
27161	8.1966
192669	7.1904
192670	6.1166
10554	3.9195
10555	0.76611
56894	5.3949
56895	4.2025
55326	-0.30877
8540	4.3755
10551	0.27884
155465	-1.6277
375790	4.1924
181	1.2177
183	0.62136
23287	5.0337
185	1.0565
57085	1.882
189	0.18312
64902	0.33323
25909	11.161
191	2.787
10768	5.7804
27245	6.8297
54806	0.84508
79026	2.3908
113146	1.7433
196	3.9564
57491	1.9144
10598	3.6179
197	1.2655
51327	-1.0728
57379	0.9365
64853	3.1253
199	0.11961
83543	1.1389
84883	-0.31146
150209	0.66927
51390	0.48442
9447	-0.24402
9255	1.7018
7965	1.0238
9049	3.1055
23746	1.3792
326	0.47764
55966	3.682
389813	0.84998
84962	3.5935
203	1.8599
204	1.5856
50808	-0.59277
205	1.6063
26289	4.0319
102157402	0.087089
122481	1.7878
158067	0.77759
221264	3.136
642597	0.74555
8165	4.7114
11216	5.1688
11215	7.667
9590	4.7618
11214	9.4218
10566	3.6172
9495	2.1962
9472	8.2574
9465	0.20774
10270	4.6829
26993	4.0799
10142	7.0193
56672	0.46588
79647	3.1477
55122	3.3004
80709	4.661
254268	2.0428
10327	2.0324
231	2.631
57016	-0.052956
441282	-0.96832
1645	0.36159
8644	0.05621
1109	-0.06359
6718	0.76337
83592	-0.052575
8574	1.1397
22977	-0.35205
207	4.541
84335	0.017192
208	4.8895
10000	3.5995
64400	3.1858
210	3.257
211	3.4653
213	4.0422
214	4.3265
126133	0.070805
5832	4.217
216	3.7138
8854	3.8783
220	3.2384
219	1.306
10840	2.801
160428	1.6256
217	1.4772
218	0.1367
224	1.5587
221	0.41688
222	-0.61469
8659	2.0142
7915	2.2094
4329	2.4086
501	1.5258
64577	0.84882
223	2.019
226	2.2959
229	0.57113
230	2.4346
56052	-0.97912
84920	1.8716
144245	1.3428
440138	1.8533
79087	1.5996
199857	1.2362
644974	-0.86863
85365	-0.22491
10195	1.5668
29880	2.048
29929	1.8945
79053	1.9493
79796	2.4196
238	5.8385
389658	-1.3506
285016	0.87294
8846	0.88684
121642	0.19348
221120	-0.56693
54784	1.3309
54890	4.5782
84964	0.85477
84266	-0.71185
91801	2.4423
55821	0.74225
7840	4.0798
239	1.9616
242	2.9013
246	0.64929
247	-0.31741
240	1.885
241	2.05
59344	1.1493
251	0.94634
248	0.5075
80216	0.75038
115701	2.8199
57538	2.5828
249	1.4919
250	0.82888
57679	5.3991
259173	0.70484
8092	2.0969
257	1.2507
60529	1.8408
10189	3.6173
23600	0.66775
258	-0.049774
259	1.3257
55626	5.7184
144193	-0.22877
51005	2.0229
219287	1.9645
205147	
267	3.8233
268	-2.872
269	2.6958
57463	4.6533
347902	1.5359
386724	-0.45263
83607	4.4872
81693	-0.56433
196394	2.0108
154810	4.5459
51421	4.2393
270	1.1619
271	3.6008
273	3.447
275	2.3479
401138	-0.703
276	-0.1983
278	1.9517
279	1.9348
280	-0.91775
155185	-2.2268
51321	1.4069
64682	7.8268
10393	1.6923
51529	1.8996
25847	0.18241
119504	1.7815
29882	4.9559
29945	3.0122
51433	2.1346
51434	4.4366
283	0.88273
23357	1.5488
90806	2.7352
284	4.7226
285	3.7659
51378	0.37428
9068	1.5172
23452	3.3712
27329	0.46239
51129	-0.7171
253935	0.86176
83854	-0.2434
10218	0.34228
55908	-0.97549
647589	2.4366
286	9.4856
287	12.447
288	13.797
150709	0.81557
348094	0.64395
728780	0.75251
63926	2.7385
162282	3.4019
51479	6.085
56172	4.1891
54882	11.123
404734	11.044
54467	4.8621
255239	-0.25405
126549	-0.62632
23141	2.6358
57037	1.8737
57763	0.044294
27063	1.2432
55608	1.307
29123	10.756
23253	5.5922
88455	3.2635
124930	3.3898
81573	3.7192
338692	4.0726
54522	0.026664
26057	11.478
253650	2.311
26287	-0.39105
84210	2.302
118932	-0.23445
200539	-1.7969
22852	4.2164
84079	1.7097
23243	5.2629
147463	0.66033
91074	-1.0208
554226	-0.87564
256006	2.8666
341405	0.14093
651746	2.2468
284615	3.3732
340120	
390616	0.56301
148741	0.82448
375248	0.065726
400986	8.8977
353322	0.59635
51239	0.26958
91369	1.7013
338699	0.99513
91526	6.3685
339416	0.982
157567	1.5365
54851	0.76334
57182	6.0609
283373	8.234
79998	-0.026204
129138	0.9033
79722	2.324
22881	2.2669
140731	-0.4861
100310846	0.42423
342850	1.7527
100131244	-0.91567
441869	-2.4928
100287718	0.1017
56311	0.68623
122416	-2.004
23294	5.1922
124401	0.77644
257629	0.12914
203286	2.2098
389161	0.9745
55139	0.48586
54443	5.1445
55129	-0.15984
57101	1.2226
63982	2.0756
121601	5.1193
203859	1.146
196527	1.2419
57719	3.0264
338440	1.2454
8125	4.7278
10541	3.7671
23520	-0.3138
23519	0.64796
81611	2.2661
290	3.9367
65990	-2.1424
84168	5.8064
118429	1.5169
195977	1.3895
301	0.70925
11199	0.85037
311	0.92783
312	1.6174
302	1.4832
389289	
306	0.67802
307	1.0838
308	-0.17083
309	2.3321
310	1.1384
653145	2.1106
728113	-0.25952
8416	0.90844
313	2.2119
26	-0.042716
314	-0.29994
8639	1.0811
84909	1.5514
316	1.335
55435	1.2709
162	5.2488
164	7.2498
8906	1.3807
8907	4.3235
10053	1.0334
1174	1.193
130340	2.0021
160	6.1309
161	5.4131
163	6.5176
1173	5.8784
1175	2.9318
8546	4.3526
8120	5.5092
8943	6.3822
26985	2.2158
10947	2.0944
1176	0.59367
10239	0.36039
10717	2.9399
23431	4.9038
9179	0.76035
11154	-0.66902
91056	0.60892
55745	1.1742
55317	0.10565
9907	-2.9667
317	4.6025
320	1.5498
321	4.5849
9546	0.20396
322	5.3056
54518	3.6199
323	4.3301
10307	1.578
324	9.4357
10297	1.6372
147495	3.3524
164284	-1.2373
325	0.025677
327	2.4391
328	0.43975
51107	2.185
83464	0.12406
8539	5.3849
51074	-0.081371
200558	-0.90826
333	3.4015
334	3.3603
57136	0.77672
335	0.80069
336	1.4267
337	1.4887
116519	0.82837
338	8.0531
339	1.1228
10930	1.1646
200315	1.7279
9582	2.1791
27350	1.2457
140564	1.2697
200316	1.3481
60489	0.86361
164668	2.5498
403314	1.1516
55911	1.4779
341	0.77623
344	1.3224
345	0.077815
346	-0.421
347	-0.024351
348	0.60229
319	-0.15321
350	-1.1078
8542	-0.54298
23780	0.025273
80833	-0.46216
80832	-0.802
80831	1.024
80830	0.62674
81575	-2.3107
55937	-0.091236
351	5.8845
10513	4.929
26060	4.2655
55198	0.87312
353	-1.1512
54840	1.5457
358	1.6913
89872	1.4584
282679	-0.50478
375318	-0.52722
653437	-0.52409
359	0.20876
360	2.0291
361	1.7997
362	0.60976
363	0.32031
364	0.56106
343	2.0852
366	0.85618
9716	6.4286
116985	5.6639
116984	2.4925
64411	5.5787
23237	0.52325
372	5.8378
374	2.1096
9870	3.4348
375	3.5171
377	2.9014
378	2.8532
381	2.5126
382	2.9247
55738	3.4474
84364	2.6742
26286	0.73272
10565	9.7774
10564	8.6074
57221	5.8722
27236	1.9179
23647	3.5103
10139	1.6789
383	2.1519
384	2.3736
503582	-0.44553
55082	3.9944
392	3.5922
79658	2.1988
9824	2.5278
114118903	2.492
89839	1.994
94134	3.6352
55843	0.7921
55114	3.1487
93663	1.8902
84986	1.297
57569	3.5469
57584	8.0826
58504	0.62087
57636	6.0442
83478	2.7839
9938	3.8103
23092	4.8968
79822	2.7771
9411	5.8759
257106	5.1453
57514	6.6128
9743	7.6444
2909	7.8224
343578	3.1725
143872	3.7104
9912	4.2116
23526	3.3054
394	6.8171
23779	-1.8793
64333	1.2389
396	2.815
397	1.7723
398	0.48257
9138	5.846
9639	0.80122
55160	4.4684
9826	8.6843
23365	7.987
22899	1.9802
27237	1.2977
9828	5.7969
23370	3.0962
128272	-0.92599
9181	7.6323
115557	2.9902
26084	2.3835
64283	2.4976
50650	3.8427
100271715	1.7578
445328	0.056239
389337	1.6549
54848	0.0090604
84904	0.080614
50649	2.55
55701	4.1851
7984	4.2129
8874	4.3726
8289	10.778
57492	9.986
196528	9.3987
1820	3.9855
10620	4.8697
138715	-1.8852
5926	6.5152
51742	7.1902
10865	2.1548
84159	7.2645
25820	4.8741
10425	5.8846
400	1.685
285598	-0.36396
115761	0.56365
200894	1.9893
80117	0.074532
120534	2.0247
54622	0.57447
339231	-1.9896
402	1.6203
23568	1.3492
403	2.7054
10124	1.9848
10123	1.95
379	0.46301
26225	1.5975
221079	2.6425
390790	0.089015
84100	1.5627
23204	2.4261
51329	0.39933
10550	1.7839
151188	-0.0065869
127829	3.0172
55207	2.1982
132946	1.5286
55156	1.8014
83787	0.22459
221481	1.9754
84071	1.8475
219681	2.0239
79798	2.6322
93436	0.82391
79637	1.4193
25852	5.3315
80210	1.6014
339541	1.763
101928603	1.0972
79591	3.114
145407	1.6898
387715	0.064958
79624	1.1799
405	6.1265
9915	5.1538
406	5.9522
10552	4.7888
10095	2.0356
10109	3.9052
10094	2.2614
10093	3.3723
100526693	1.631
10092	1.9936
81873	2.4134
348110	0.36902
100526783	0.54267
10776	0.16179
10777	3.3997
408	3.4332
409	3.7878
92714	0.52677
27106	0.03532
57561	4.4596
91947	0.065409
645432	0.55204
410	0.66756
411	1.2348
22901	1.439
340075	0.16376
79642	1.6648
153642	1.6683
417	-0.39488
419	-0.3847
420	1.7689
116969	0.25027
9048	1.063
64801	0.90741
421	1.195
57412	0.15913
427	-0.79639
56624	2.4579
653308	
50807	5.9497
8853	5.8211
55616	2.5557
51665	1.6116
136371	-1.3546
79754	-1.1513
142686	-0.55829
142685	0.49942
92591	-1.4355
127247	0.077679
401036	-1.3296
51676	0.04362
51130	1.4282
51666	0.46944
140458	-0.064072
140459	0.61071
140460	4.2825
140461	1.4146
51008	1.4094
84164	4.3564
10973	5.4507
429	2.4942
430	-1.6276
56676	0.66952
121549	-0.40313
647219	0.87376
110599588	0.46505
25842	2.5457
55723	1.6949
432	0.010756
55870	12.597
9070	4.1099
41	4.6015
40	3.6646
9311	1.3118
55515	3.1411
51802	0.17216
434	-0.47632
435	1.8143
440	2.8907
54529	1.7442
443	1.0943
554235	0.58848
374569	0.16845
444	1.33
253982	1.0821
57168	3.274
259266	4.9926
54829	-0.43148
151516	0.81479
79058	1.0994
80150	1.0321
445	0.56458
28990	-0.10104
431705	1.3176
460	6.8928
23245	6.1409
171023	1.9983
55252	7.5096
80816	8.6239
136991	0.12062
84896	3.4465
29028	6.142
54454	5.9624
55210	2.2622
83858	0.50456
219293	0.68323
79915	6.8338
79969	1.5606
85300	2.7481
466	2.7394
1386	3.8546
467	1.7942
468	2.2882
22809	0.065688
22926	2.03
1388	3.1551
11016	4.294
55729	6.4708
83734	-0.13661
60673	2.314
9140	-0.51905
9776	4.4774
22863	2.7392
55054	4.5582
89849	0.23006
23130	5.7263
55102	5.7801
64422	1.8098
23192	2.1726
84938	0.36162
84971	0.33046
9474	2.2118
79065	6.2035
471	1.1349
51062	3.8784
64225	3.4474
25923	2.0335
472	3.7404
23300	2.955
1822	5.6308
474	2.1494
220202	-0.24253
84913	2.0521
475	0.87383
23120	1.7417
57205	4.102
23250	4.9988
23200	4.6987
479	2.6865
57130	4.8206
23400	4.0632
79572	6.4998
84239	2.3749
344905	0.74801
476	8.0308
477	4.7789
478	8.034
480	2.4177
481	4.9343
482	3.4789
483	2.6181
91419	0.85628
487	2.3974
488	7.6025
489	3.2706
490	8.0467
491	8.1908
493	5.989
27032	5.386
9914	-4.3527
495	2.9718
496	1.248
498	3.8258
506	3.7918
509	2.3116
513	-1.9378
514	0.35143
93974	-0.38128
516	2.0625
517	0.37002
518	1.7723
521	0.10194
9551	0.93952
100526740	0.73549
10632	1.1643
267020	-0.35193
9556	1.582
84833	0.58938
515	2.0376
10476	1.8577
522	1.1765
539	1.8683
535	5.1168
23545	4.1968
50617	2.1028
533	3.5215
527	1.893
9114	3.6399
245972	-0.047522
8992	1.7272
155066	1.4938
523	4.9596
525	2.4609
526	4.5575
528	0.67235
245973	1.3509
51382	2.1401
529	2.0015
90423	-0.95769
9296	0.97497
100130705	0.68407
9550	-1.2383
534	0.97565
127124	-0.096961
51606	2.3198
540	0.85291
10396	4.1501
51761	3.3561
5205	5.0607
57198	4.8482
148229	-1.0996
79895	1.3037
10079	6.2967
374868	2.5929
64756	1.7822
91647	0.97474
134145	0.0095637
545	8.0415
51374	0.50213
84126	3.3438
8455	7.1972
26033	4.7641
6310	5.3541
25814	2.8894
342371	4.4209
6311	6.6318
11273	7.1252
4287	3.3822
6314	5.8418
222255	5.2608
127002	4.4363
56970	5.4106
552889	0.41797
549	1.4476
79000	-0.66753
550	2.7386
6790	3.7465
9212	1.6224
6795	2.2034
26053	7.3496
57099	0.70385
23080	2.3658
551	-1.011
60370	1.0196
552	0.30761
553	0.66473
126859	1.5545
8312	4.2591
8313	5.3552
558	4.4227
563	0.81323
64343	2.7313
51582	3.9724
113451	2.4619
566	-0.77663
567	2.6858
8706	1.8058
148789	1.1659
8708	2.4097
8707	3.1686
8705	0.67469
10317	0.44498
126792	-4.1758
27087	2.2863
135152	0.085123
26229	2.1576
145173	0.93635
10678	2.6617
10331	1.3678
79369	-0.42576
84002	3.1519
192134	
93010	-1.941
374907	0.010107
84752	-0.83189
2583	0.8124
124872	0.83181
283358	2.8529
338707	0.98214
2683	2.4936
8704	2.3146
8703	1.7812
8702	1.7621
9334	3.9701
9331	3.3057
11285	0.46182
11041	1.8217
80776	-0.21083
79870	0.52979
570	1.2673
29086	2.8
9577	2.727
23621	3.666
25825	3.3717
571	2.3063
60468	6.2538
572	-1.2323
573	-0.39673
9532	1.4289
9531	3.5467
9530	2.9562
9529	1.2536
57597	-1.6474
22893	4.7281
10458	4.5058
55971	3.3151
80115	-1.1941
8938	-2.4804
578	0.75449
25805	0.39124
8815	2.7417
140836	1.0767
55024	0.44628
54971	5.0376
8314	5.7695
580	0.84255
56751	3.2344
343472	2.7667
56033	0.72637
8538	2.406
10409	1.0499
10538	2.0732
116071	0.57165
55509	1.2424
581	0.56402
11177	7.5504
9031	8.9548
11176	9.9409
29994	8.6616
27113	0.92279
92482	0.45673
79095	-0.10531
80127	1.2769
8424	1.4966
582	1.3919
79738	0.26775
166379	0.56579
583	2.1679
585	1.6939
129880	1.8912
55212	3.4395
27241	1.7307
56987	6.2095
4059	0.76941
63827	3.6708
55973	-0.18496
9564	2.6681
8412	4.299
10286	-0.2018
54828	4.4133
55653	1.229
586	0.27618
587	1.2048
56647	1.2139
144233	1.1832
590	0.36545
593	0.95466
594	0.4767
10295	2.1355
8915	2.5433
53335	5.7753
64919	3.7371
596	2.8046
597	1.1597
598	3.414
10017	-1.1135
10018	0.78679
83596	-0.58125
23786	2.2568
79370	1.5799
440603	0.72852
599	1.7153
100529063	3.4478
602	2.4849
604	5.7616
255877	2.3154
605	2.56
9275	1.8473
9274	3.038
607	5.991
283149	6.5059
9774	6.6073
53630	0.46278
83875	1.1566
613	4.6656
617	1.646
622	0.61384
56898	0.54005
623	0.27538
624	-1.0204
627	3.6371
55814	5.017
146227	0.1145
8678	5.0372
441925	1.0596
57673	5.2022
389206	2.6173
79656	2.5775
221336	1.086
7439	-0.1257
54831	1.5946
144453	0.17842
266675	1.139
10282	0.33116
51272	-0.18866
51283	0.5107
631	-0.27955
8419	1.07
632	-0.659
168620	0.22486
727857	-0.70738
27319	0.76684
128408	0.23462
8553	4.6182
79365	0.76929
635	2.0206
23743	1.3598
80114	4.6427
636	5.2305
23299	4.4785
146439	-3.2431
23506	6.294
637	-0.2209
638	-0.75219
274	2.6817
51411	2.7296
55909	-0.60281
329	4.7494
330	3.8822
332	1.4278
79444	0.70251
54841	3.3784
100533467	4.8335
10904	1.6992
414899	0.067112
640	-0.33042
641	2.7676
642	2.7791
29760	4.4427
282991	1.1843
388552	-0.27038
55330	-0.98628
63915	-0.61734
26258	-0.048021
644	2.0522
645	-1.0104
8548	0.71737
89927	1.883
90427	2.105
648	3.9908
649	4.4087
27302	3.3719
650	4.297
55589	3.058
651	2.1416
652	4.1835
653	2.827
654	3.857
655	3.5001
353500	0.5988
656	0.56342
168667	3.9212
657	6.2264
658	5.1612
659	6.2205
9790	5.7571
154743	3.4363
646	6.1685
54796	5.6673
662	0.57057
663	1.213
664	1.1455
665	2.6282
389384	0.74036
149428	1.8742
91653	3.1602
91272	0.60335
259282	7.7488
284257	-0.28579
666	-1.0323
51027	0.28254
388962	0.080366
66037	1.9102
23246	1.9838
79866	2.4244
118426	1.071
54785	-0.059378
119032	0.34386
729991	1.119
669	1.4709
670	0.38942
671	1.3515
51297	0.15351
140683	1.0069
128861	-0.5983
92747	2.5447
80341	1.6381
359710	0.61798
149954	0.88496
128859	1.0288
10380	0.97079
54928	2.6179
2186	13.069
673	6.8994
8315	2.7493
221927	-1.0096
672	2.6169
675	3.9785
6046	6.2961
8019	4.9068
23476	8.1568
29117	5.3672
10902	5.5619
65980	1.8395
676	2.9043
2972	1.9504
55290	2.1094
25798	0.82366
140707	1.216
283870	-3.8508
1620	5.6756
57795	5.0286
339479	5.2628
83990	2.6615
55299	2.5149
55845	0.11299
25855	2.0129
84312	2.1086
148362	0.98987
7862	7.7843
27154	7.151
84446	6.1378
9024	5.4129
54014	7.5898
26580	2.2007
55108	2.6418
682	0.24646
8927	10.661
7809	1.3317
100131137	0.22709
54836	0.44779
683	-1.338
684	1.5186
390259	0.95515
53339	0.97827
84280	3.2879
121551	5.4292
118663	-0.010403
388419	-0.30728
643376	2.2115
55643	3.0018
22903	3.62
90135	1.1578
55727	4.849
284697	3.6464
114781	1.6512
685	0.96593
686	0.76509
689	1.666
91408	0.99057
694	2.683
7832	0.97287
10950	3.746
151888	2.1445
696	1.0947
11120	-0.64328
10385	1.0108
11119	2.1773
11118	1.2398
10384	0.74651
100129094	1.1288
56244	0.083018
10917	2.0827
79908	1.9424
153579	-0.18753
8945	3.5746
699	3.7125
701	4.1015
106821730	3.0954
9184	2.4923
84811	1.959
114049	1.8569
8896	1.828
11149	1.7959
705	3.2908
9689	5.0788
28969	3.4352
414152	-2.3189
399814	-0.68329
282966	0.29143
414157	-0.71997
256815	-1.3805
118461	0.82109
143379	0.90856
80007	1.2859
118611	1.2282
79946	
387695	0.30644
64776	-0.94953
56673	1.173
29125	-0.99676
53838	1.1245
143501	-1.3413
160298	0.58424
79096	1.433
91894	1.4135
341032	0.23579
28970	1.2057
10944	2.7367
160140	-0.7404
83638	-0.015731
54494	0.1295
79703	0.65054
254439	-0.30831
399947	1.7524
143678	0.21858
387763	-1.1928
643037	0.30209
102288414	0.68695
91298	1.3787
57102	2.4624
283461	0.62877
64897	0.88747
160419	2.2695
121273	0.6328
115749	-0.38156
113246	-0.41892
144608	0.43957
728858	0.45149
728568	0.11154
387882	0.50212
55017	-0.59484
56967	-0.48863
400258	-0.11825
122525	-0.29639
317761	0.42987
60686	2.7235
56905	3.2676
123207	1.2787
84419	0.56531
145853	-0.17274
643338	0.52943
145788	-0.5558
123775	-0.41728
283897	1.2623
29035	3.3934
404550	-2.1722
123970	1.3441
162083	0.32983
388284	0.089943
388272	0.78114
146556	-1.8032
646174	-0.22971
283951	-0.42454
146378	-0.12476
100506581	-1.4662
342346	-0.48704
388327	-0.26555
100130311	-0.038688
110806298	1.6666
124944	0.41556
146853	-0.4386
284018	0.49937
124773	-0.92099
339210	-0.16934
64149	1.6731
284099	-0.30898
55028	2.6123
400566	-2.4964
388381	-0.10355
83608	0.88778
147339	2.8639
497661	0.58665
162681	-0.13607
644041	1.4869
83636	2.3132
147685	0.96112
148223	-0.72569
64073	0.0039685
255809	2.31
84167	0.69775
126526	1.9468
28974	-0.68805
284325	0.93491
646457	1.331
100128569	-1.5741
55150	-0.35689
342918	0.34305
147646	1.3346
10438	1.7249
56913	3.0968
728819	0.15027
712	1.4443
713	1.4412
708	0.81765
714	0.3708
10882	-0.44899
165257	0.33895
389941	1.8923
338761	1.6722
114897	0.81286
388581	-1.7329
114898	0.31521
114899	1.3099
114900	-0.56559
114902	1.3668
114904	0.62111
114905	1.0498
390664	-1.9458
338872	1.6541
715	2.1297
51279	0.55004
716	2.4675
200159	0.34844
92346	1.6082
54955	1.4297
55732	2.0983
79762	-3.1317
79098	0.70356
127687	-1.0496
148345	1.2115
128061	1.0342
400757	-0.48928
388649	0.15623
93190	0.043181
54991	0.97292
128346	0.3938
339448	1.1222
284546	0.090209
388701	0.58467
127003	-0.21925
84886	1.6064
81563	3.2006
149466	-0.60734
127703	-0.1215
400793	1.2208
110806296	-0.14521
79169	-1.3722
25912	1.6168
79078	-0.026249
148423	2.3907
388722	-2.6031
79630	0.88693
54964	1.4108
100129271	0.1424
148304	1.1061
127795	0.61272
84970	1.2927
717	2.0668
128653	-0.49376
128864	-2.2519
140873	0.87039
400831	0.20267
284805	-0.80007
54976	1.3038
128602	0.51905
140680	-0.22819
54058	-0.46758
56245	-0.16874
54149	0.97196
150248	-0.061853
84645	0.5782
25770	0.2087
128977	-2.1812
150297	1.0225
25966	1.8312
9854	4.4213
26005	5.3541
145741	-2.0177
388125	
126567	0.0092554
100191040	-0.72041
9847	2.4466
151254	2.2427
150590	1.1374
84226	0.49467
54980	1.5187
79074	1.819
130813	-1.0453
401027	0.40729
388969	0.88178
205327	1.7464
257407	-1.8811
129852	-1.2278
339804	1.0685
130355	-0.67326
388960	1.7616
389073	0.43798
388963	0.7159
56918	-1.3988
84281	1.2119
718	6.6743
719	0.85127
57415	0.23658
51161	0.38163
84077	1.4488
152065	1.0781
285315	0.28461
285237	1.7473
79669	0.40518
285311	-1.0197
375341	0.88162
285382	0.64056
