Entrez	Chrom	Start	End	GeneSize
100128905	2	174025280	174027163	1883
100128908	14	23099062	23104989	5927
100128927	14	104800596	104804712	4116
100128946	22	48866770	48898386	31616
100129029	2	158658337	158776987	118650
100129053	11	95048142	95051338	3196
100129060	3	50116022	50156085	40063
100129066	9	89639688	89821498	181810
100129075	14	55496786	55581068	84282
100129128	6	73223544	73225770	2226
100129129	8	11345748	11347538	1790
100129195	6	28008599	28137319	128720
100129196	1	30718504	30726846	8342
100129213	10	18001786	18010562	8776
100129216	11	71878453	71884561	6108
100129239	X	146814106	146814744	638
100129250	9	32551144	32568621	17477
100129271	1	152719522	152720470	948
100129278	2	21123968	21144368	20400
100129347	9	91118361	91183601	65240
100129361	12	11171194	11176016	4822
100129385	9	16203935	16410990	207055
100129396	17	16788879	16790501	1622
100129407	X	72938163	72938958	795
100129427	7	50531759	50543463	11704
100129461	6	5003774	5045951	42177
100129480	3	12514934	12561059	46125
100129482	10	42513510	42552900	39390
100129483	20	46345980	46364458	18478
100129484	7	5426277	5428927	2650
100129515	X	135118955	135120526	1571
100129518	6	159760258	159762332	2074
100129520	X	125319871	125325216	5345
100129543	19	23075210	23147221	72011
100129550	3	122886941	122892423	5482
100129583	4	76214040	76283783	69743
100129597	13	48576969	48590598	13629
100129620	1	99004276	99244794	240518
100129654	8	66946501	66962591	16090
100129662	X	138711452	138716617	5165
100129669	9	24542952	24545946	2994
100129716	5	91380347	91690788	310441
100129722	9	137250219	137253497	3278
100129724	2	26984776	27014645	29869
100129781	16	14301069	14331067	29998
100129792	5	42756818	42802439	45621
100129794	14	37171888	37173811	1923
100129827	11	10541244	10606435	65191
100129836	13	110456396	110463287	6891
100129842	19	20535825	20565809	29984
100129845	7	100589402	100605782	16380
100129858	4	140283724	140373432	89708
100129878	18	49021705	49048610	26905
100129917	4	760202	781874	21672
100129924	1	42784991	42816619	31628
100129940	12	65851340	65882167	30827
100129969	9	34889066	34895764	6698
100129995	2	27705786	27717258	11472
10013	X	48801377	48824982	23605
100130017	4	68182292	68212470	30178
100130086	X	149592512	149595314	2802
100130111	15	29664498	29705804	41306
100130148	17	45895783	45898798	3015
100130197	1	46674036	46692098	18062
100130231	8	125859721	126292788	433067
100130249	1	234757619	234760056	2437
100130264	20	19242302	19284596	42294
100130274	8	143706694	143708109	1415
100130275	6	10409340	10457192	47852
100130301	8	73241331	73259530	18199
100130302	X	24360639	24367839	7200
100130311	17	4899418	4902934	3516
100130348	11	65084979	65089375	4396
100130361	X	71714371	71718285	3914
100130386	13	113748511	113751089	2578
100130417	1	916865	925614	8749
100130449	2	240449315	240456760	7445
100130480	18	6413730	6590653	176923
100130519	19	17435509	17448668	13159
100130520	17	74560701	74567343	6642
100130522	18	80147907	80179839	31932
100130613	X	126819729	126821786	2057
100130705	7	128866330	128872047	5717
100130717	22	17159338	17165451	6113
100130733	5	62578819	62581446	2627
100130742	8	91101832	91219257	117425
100130771	7	105565120	105600875	35755
100130776	12	57726271	57728356	2085
100130827	19	55540656	55545543	4887
100130880	7	137953348	137957966	4618
100130890	6	99520976	99589899	68923
100130894	16	70755035	70773251	18216
100130933	17	75646243	75647975	1732
100130950	17	5191999	5255713	63714
100130954	9	135574935	135587112	12177
100130958	16	77199408	77213215	13807
100130967	6	158869067	158948522	79455
100130988	7	50095883	50159256	63373
100131017	7	6637318	6658279	20961
100131067	5	81201341	81301582	100241
100131089	15	40039242	40087903	48661
100131094	19	4679282	4695017	15735
100131117	3	114351771	114388978	37207
100131137	19	47968046	47992170	24124
100131138	12	110934267	110973930	39663
100131187	1	161037631	161038977	1346
100131193	9	136803927	136808848	4921
100131211	2	190504338	190534722	30384
100131213	10	75400962	75408982	8020
100131244	15	40278372	40283064	4692
100131303	16	68013436	68015911	2475
100131315	15	32717270	32719007	1737
100131366	14	103187216	103190251	3035
100131378	11	33698261	33700826	2565
100131390	2	174334954	174338500	3546
100131434	X	149527591	149540959	13368
100131439	17	74579365	74592283	12918
100131454	17	752250	755757	3507
100131608	8	7539627	7542450	2823
100131655	18	76794732	76822295	27563
100131691	19	58558591	58605223	46632
100131726	8	123193501	123202743	9242
100131755	X	101418287	101533459	115172
100131801	19	7629788	7631956	2168
100131814	6	135497422	135894890	397468
100131816	X	84934095	84934900	805
100131827	3	75678660	75785583	106923
100131897	5	169861303	169980495	119192
100131902	21	30289145	30289514	369
100131980	8	7355517	7385558	30041
100131998	16	22418672	22437715	19043
100132015	X	124246249	124336863	90614
100132074	1	41361922	41383590	21668
100132103	8	7955014	8008755	53741
100132146	3	46612525	46626543	14018
100132147	1	16514977	16535707	20730
100132174	17	77709844	77728584	18740
100132202	15	28553568	28563779	10211
100132215	2	62957316	63048640	91324
100132234	13	27953526	27955370	1844
100132247	16	22479121	22536540	57419
100132288	21	8995098	9129773	134675
100132304	X	72781865	72782660	795
100132354	6	43890891	43938218	47327
100132386	17	41105389	41106488	1099
100132396	8	7926337	7952413	26076
100132399	X	49541733	49549094	7361
100132406	1	146064711	146229000	164289
100132463	4	183321764	183322426	662
100132464	11	1683269	1685629	2360
100132476	17	41084150	41085144	994
100132565	15	28378621	28392021	13400
100132596	Y	2752083	2854641	102558
100132612	14	97749264	97763989	14725
100132677	3	49534453	49554374	19921
100132708	2	130680050	130691691	11641
100132735	6	139677639	139860476	182837
100132891	8	71828167	72118393	290226
100132916	5	64690442	64718190	27748
100132923	8	12115767	12202753	86986
100132929	10	46369082	46373570	4488
100132932	Y	6256267	6263953	7686
100132948	9	61854038	62096920	242882
100132963	X	154823348	154834662	11314
100132967	X	154571248	154571960	712
100132987	10	78179167	78675109	495942
100132994	X	71763349	71767204	3855
100133036	9	40223085	40349752	126667
100133053	X	146809771	146810411	640
100133091	7	76549360	76689386	140026
100133093	10	47487219	47491700	4481
100133123	X	13333952	13403035	69083
100133205	6	26956915	27059749	102834
100133220	15	85240472	85247170	6698
100133234	8	55449509	55455139	5630
100133251	8	7778591	7781413	2822
100133267	8	12064389	12071747	7358
100133311	7	27129977	27155928	25951
100133315	11	71865504	71928654	63150
100133461	4	3673593	3677920	4327
100133545	11	1983237	1989993	6756
100133612	1	3900187	3917547	17360
100133941	6	106969831	106975627	5796
100133957	X	47658833	47692326	33493
100133985	2	70093885	70142950	49065
100134015	20	3106880	3150867	43987
100134229	7	140177184	140179640	2456
100134444	17	21692523	21704612	12089
100134713	7	140695336	140697103	1767
100134934	17	75979240	76000586	21346
100134938	7	102637025	102642791	5766
100137047	15	41828092	41837581	9489
100137049	15	41837775	41848147	10372
10014	17	44076746	44123702	46956
100141515	17	78146385	78166297	19912
100142659	7	144266674	144269288	2614
100144595	2	154435853	154457731	21878
100144597	20	63038011	63053863	15852
100144602	4	65668250	65708352	40102
100144603	22	50583026	50597599	14573
100144748	10	87859158	87863533	4375
100147744	12	6943816	6943878	62
100147757	2	229606238	229606299	61
100147816	1	26602369	26602432	63
10015	3	33798571	33869707	71136
100151643	21	30620627	30620850	223
100151657	1	64384398	64384459	61
100151674	10	35135443	35135502	59
100151682	8	79800133	79800195	62
100151683	2	121530881	121531007	126
100151684	9	134164439	134164564	125
10016	5	271621	314974	43353
100169751	1	228610268	228610386	118
100169752	10	125574368	125603242	28874
100169753	1	228612509	228612627	118
100169754	1	228614750	228614868	118
100169755	1	228616991	228617109	118
100169756	1	228619232	228619350	118
100169757	1	228621447	228621565	118
100169758	1	228623667	228623785	118
100169759	1	228625909	228626027	118
100169760	1	228628148	228628266	118
100169761	1	228630390	228630508	118
100169762	1	228632631	228632749	118
100169763	1	228634871	228634989	118
100169764	1	228637096	228637214	118
100169765	1	228639337	228639455	118
100169766	1	228641568	228641686	118
100169767	1	228643809	228643927	118
100169768	1	228646040	228646158	118
100169851	11	125788127	125791600	3473
10017	15	52109263	52112775	3512
100170229	19	43596617	43614498	17881
100170765	19	41443156	41444765	1609
100170841	17	38671703	38674957	3254
10018	2	111119378	111168444	49066
100187716	3	184241405	184241489	84
100188847	16	2090195	2090284	89
100188893	6	41787662	41789898	2236
100188949	13	30316360	30377145	60785
100188953	9	96019724	96028033	8309
100189589	2	74385474	74393882	8408
10019	12	111405923	111451623	45700
100190938	17	42753910	42761625	7715
100190949	5	157671533	157680158	8625
100191040	1	151837818	151840557	2739
100192378	8	76483936	76698953	215017
100192420	22	18029282	18044412	15130
1002	20	61252261	61940617	688356
10020	9	36214441	36277042	62601
10021	15	73319859	73368958	49099
100216001	10	4579241	4678216	98975
100216545	7	104894628	105014321	119693
10022	1	66797740	66801276	3536
10023	10	97319271	97321915	2644
100233209	12	47135273	47216503	81230
10024	12	49323236	49331731	8495
10025	19	867630	893218	25588
10026	1	77088989	77219430	130441
100268168	5	172954666	172960081	5415
100270679	20	22054061	22074657	20596
100270680	8	127686343	127739022	52679
100270804	20	18794078	18796067	1989
100271702	12	1929202	1936574	7372
100271715	2	38889875	38975454	85579
100271846	19	53044740	53051680	6940
100271849	19	19145567	19192131	46564
100271873	6	160002409	160007664	5255
100271927	7	102479976	102517777	37801
100272147	X	155061622	155071136	9514
100286844	12	49827913	49841143	13230
100287015	8	6315551	6407308	91757
100287042	17	75271369	75273895	2526
100287045	4	9170409	9176730	6321
100287049	1	160261682	160281935	20253
100287144	4	9210657	9212249	1592
100287171	9	14475	73865	59390
100287177	19	45641494	45643020	1526
100287178	4	9215405	9216997	1592
100287205	4	9220152	9221744	1592
100287225	18	51346249	51643939	297690
100287226	19	22286441	22317176	30735
100287227	3	156634399	156817062	182663
100287238	4	9224896	9226488	1592
100287284	12	27762427	27780236	17809
100287314	12	30755074	30881888	126814
100287327	4	9243879	9245471	1592
100287362	3	46719583	46736429	16846
100287364	4	9248630	9250222	1592
100287366	6	108123457	108159392	35935
100287399	15	20835372	20866314	30942
100287404	4	9253378	9254970	1592
100287441	4	9258124	9259716	1592
100287478	4	9262872	9264464	1592
100287482	7	129502531	129512918	10387
100287513	4	9267619	9269211	1592
100287520	11	59086307	59094786	8479
100287559	15	72782835	72798201	15366
100287569	12	116533399	116536522	3123
100287616	15	73898471	73928296	29825
100287718	6	46746933	46759506	12573
100287722	1	113812379	113901237	88858
100287879	3	64078361	64087363	9002
100287896	11	74493366	74498533	5167
100287898	1	2636986	2801693	164707
100287902	1	236523052	236524508	1456
100287932	10	45972489	46003742	31253
100287948	1	181236388	181238604	2216
100288072	16	22162492	22192208	29716
100288077	11	102746968	102836766	89798
100288122	18	13419421	13427480	8059
100288142	1	145289900	145425603	135703
100288181	8	142701857	142727056	25199
100288198	6	79233697	79244087	10390
100288287	21	30590105	30590397	292
100288323	21	30718525	30718777	252
100288332	16	15363628	15381047	17419
100288413	4	52722618	52751586	28968
100288428	3	7951263	8611961	660698
100288520	4	9234385	9236046	1661
100288687	4	190173774	190185942	12168
100288695	2	110445883	110473075	27192
100288778	12	14522	32015	17493
100288797	20	2816302	2820284	3982
100288798	12	46383041	46876804	493763
100288801	3	75664328	75667220	2892
100288814	X	9967358	9968352	994
100288831	3	9216895	9219508	2613
100288842	9	120792403	120801787	9384
100288846	14	39265703	39267113	1410
100288866	17	49505657	49577962	72305
100289061	1	150548562	150557724	9162
100289087	Y	9527880	9530682	2802
100289092	16	28877938	28879950	2012
100289098	7	66491001	66495758	4757
100289150	Y	9458613	9464357	5744
100289178	1	67832193	68202987	370794
100289187	7	99598267	99611045	12778
100289188	Y	9479053	9484654	5601
100289211	1	147258885	147517879	258994
100289255	17	10794908	10804099	9191
100289274	13	95648711	95677367	28656
100289279	9	61330717	61453030	122313
100289341	9	137084946	137086817	1871
100289373	13	99181223	99201558	20335
100289388	11	78139654	78187685	48031
100289462	8	7414855	7416863	2008
100289635	12	132918306	132956306	38000
100289650	19	42821770	42826879	5109
100289678	7	149262171	149297302	35131
100292680	12	1500454	1510830	10376
100293516	19	57819721	57846238	26517
100294362	17	80351828	80415168	63340
100294720	6	136982165	136993234	11069
1003	16	66366690	66404784	38094
100302111	X	154887360	154887458	98
100302112	3	71541970	71542089	119
100302113	7	36919357	36919432	75
100302114	X	147189704	147189787	83
100302115	X	63786002	63786087	85
100302116	10	14436576	14436661	85
100302118	22	20249134	20249211	77
100302119	16	69565808	69565868	60
100302121	15	85770496	85770578	82
100302122	7	21471058	21471146	88
100302123	6	33999972	34000051	79
100302124	17	16282014	16282088	74
100302125	20	35453954	35454097	143
100302126	2	231892242	231892298	56
100302127	19	15449548	15449608	60
100302128	2	113582959	113583096	137
100302129	10	21496562	21496641	79
100302130	2	207269275	207269424	149
100302131	18	30298910	30298960	50
100302132	1	231019828	231019924	96
100302133	10	98395218	98395307	89
100302134	5	133427596	133427706	110
100302136	12	79419257	79419321	64
100302137	20	63941465	63941544	79
100302138	20	2652777	2652842	65
100302139	1	235853000	235853060	60
100302140	7	18127220	18127309	89
100302141	6	166509354	166509433	79
100302142	2	176600980	176601052	72
100302143	3	186786672	186786777	105
100302144	X	114651544	114651623	79
100302145	14	101560287	101560422	135
100302146	20	50614636	50614785	149
100302147	8	141786242	141786313	71
100302148	3	164171471	164171556	85
100302149	22	45200954	45201019	65
100302150	10	63372957	63373048	91
100302152	7	34940760	34940834	74
100302153	X	114715233	114715344	111
100302155	1	20988314	20988432	118
100302156	5	179798278	179798346	68
100302157	14	101042977	101043062	85
100302158	1	201808611	201808702	91
100302159	5	110513829	110513915	86
100302160	15	34382069	34382150	81
100302161	8	127960633	127960695	62
100302163	1	193136503	193136583	80
100302164	6	98024531	98024621	90
100302166	8	10825373	10825443	70
100302167	9	40929010	40929092	82
100302168	20	61953546	61953662	116
100302170	8	128008898	128008956	58
100302171	X	85835780	85835858	78
100302172	2	179860836	179860908	72
100302174	10	103394253	103394401	148
100302175	8	128049152	128049238	86
100302177	4	66276824	66276928	104
100302178	1	171101728	171101806	78
100302179	19	20399272	20399354	82
100302181	5	154347106	154347247	141
100302182	12	69273157	69273218	61
100302183	20	32237795	32237847	52
100302184	15	64762387	64762515	128
100302185	8	127795962	127796028	66
100302186	8	8088941	8089089	148
100302187	13	54311972	54312048	76
100302188	4	113106863	113106955	92
100302190	1	26554542	26554593	51
100302191	X	84225752	84225828	76
100302192	10	54607874	54607957	83
100302193	4	101330302	101330414	112
100302196	8	144400086	144400165	79
100302197	22	20086058	20086142	84
100302201	12	57194504	57194576	72
100302202	15	52277117	52277200	83
100302203	5	176367946	176368031	85
100302204	3	125790404	125790552	148
100302205	19	53758232	53758318	86
100302208	17	2748078	2748182	104
100302209	14	101044198	101044283	85
100302210	19	1816159	1816238	79
100302211	17	48156427	48156511	84
100302212	3	75630763	75630858	95
100302213	19	10403458	10403538	80
100302214	X	118386394	118386471	77
100302217	12	100189884	100189949	65
100302218	7	92204015	92204098	83
100302219	2	188978092	188978161	69
100302220	12	50234142	50234212	70
100302221	12	48654444	48654530	86
100302222	X	114763184	114763263	79
100302223	9	97363554	97363681	127
100302224	10	114174105	114174179	74
100302225	8	112643493	112643583	90
100302226	19	10552122	10552204	82
100302227	12	112695034	112695176	142
100302228	11	90869121	90869202	81
100302229	17	81133196	81133308	112
100302232	3	47849555	47849629	74
100302233	15	22225278	22225329	51
100302234	1	220200538	220200619	81
100302235	15	88608107	88608197	90
100302236	14	77266218	77266290	72
100302237	22	41092513	41092566	53
100302238	5	168560904	168560965	61
100302239	X	32641474	32641559	85
100302240	11	93733674	93733764	90
100302242	6	31956839	31956940	101
100302243	16	15010321	15010397	76
100302246	2	25328640	25328721	81
100302250	14	101025564	101025651	87
100302251	X	114652655	114652723	68
100302254	15	43793659	43793759	100
100302255	19	53671968	53672040	72
100302256	17	19344506	19344574	68
100302257	18	49487373	49487422	49
100302258	15	96333261	96333307	46
100302259	6	155946797	155946879	82
100302260	8	74705693	74705747	54
100302261	16	85741621	85741700	79
100302263	11	61815161	61815240	79
100302265	19	53688481	53688567	86
100302267	4	125507259	125507307	48
100302268	2	70252918	70253005	87
100302270	4	182169293	182169378	85
100302274	12	119713634	119713724	90
100302275	11	94466495	94466580	85
100302276	1	18897071	18897148	77
100302277	4	9556168	9556316	148
100302278	1	30366	30503	137
100302279	1	68183518	68183610	92
100302280	11	64368602	64368703	101
100302281	8	128150116	128150188	72
100302282	20	3917502	3917563	61
100302283	19	2234062	2234149	87
100302284	5	154685776	154685861	85
100302285	2	231713314	231713398	84
100302286	13	107531171	107531248	77
100302287	17	13543529	13543646	117
100302288	5	100816482	100816565	83
100302289	12	97491909	97491978	69
100302290	4	116299725	116299768	43
100302401	1	178090677	178094444	3767
100302522	8	133054959	133057767	2808
100302691	1	234609295	234637418	28123
100302692	X	73940435	74293574	353139
100302736	5	115578642	115626161	47519
100302743	2	10446714	10446849	135
100303491	2	144517978	144521477	3499
100303728	X	119465986	119469783	3797
100303755	20	18137863	18143169	5306
100310812	7	102650319	102662625	12306
100310846	7	6031376	6036552	5176
100313770	11	70283955	70284070	115
100313771	2	212426263	212426360	97
100313772	X	95063141	95063226	85
100313773	16	11306440	11306527	87
100313774	11	7234766	7234837	71
100313777	11	43559656	43559753	97
100313778	13	52810050	52810140	90
100313779	17	43444806	43444885	79
100313780	9	94809962	94810057	95
100313781	X	154019920	154019989	69
100313806	4	36426366	36426428	62
100313822	X	147199044	147199127	83
100313824	2	132256966	132257080	114
100313829	7	102405742	102405855	113
100313830	14	64095024	64095125	101
100313835	1	167998660	167998726	66
100313837	16	30893903	30893985	82
100313838	X	114639435	114639519	84
100313839	X	150228004	150228083	79
100313840	3	48316360	48316459	99
100313841	10	12725254	12725353	99
100313842	13	24162416	24162504	88
100313843	3	48578902	48578977	75
100313884	8	27048853	27048963	110
100313886	15	59171183	59171262	79
100313887	5	93620696	93620788	92
100313892	1	51836344	51836402	58
100313895	7	147378017	147378121	104
100313914	22	26555212	26555323	111
100313921	10	110988926	110989013	87
100313923	5	55172262	55172353	91
100313938	4	147344629	147344717	88
100316904	7	100572228	100573900	1672
100329135	X	111876051	111903990	27939
100337591	2	164687643	164687777	134
100359394	Y	2612988	2615347	2359
10036	19	4402640	4445018	42378
100379132	12	68627234	68627375	141
100379141	16	71698567	71698701	134
100379174	20	14884250	14929535	45285
100379250	11	83041464	83041598	134
100379345	9	124658400	124698635	40235
100379571	11	117288453	117293494	5041
10038	14	20343615	20357904	14289
100381270	1	203795623	203854124	58501
10039	3	51942345	51948867	6522
1004	5	31193686	31329146	135460
10040	17	54899387	54961956	62569
100419008	3	127283783	127288046	4263
100419743	4	190064502	190067864	3362
100419780	7	63998849	64018081	19232
10042	22	35257452	35295807	38355
100421372	10	14838302	14846999	8697
100422737	6	106705328	106824178	118850
100422821	6	154853360	154853436	76
100422823	11	81890741	81890836	95
100422824	2	177255945	177256010	65
100422825	11	46451807	46451887	80
100422826	4	7460028	7460118	90
100422827	11	46451805	46451889	84
100422828	8	27886039	27886116	77
100422829	18	44970082	44970166	84
100422830	14	27633205	27633278	73
100422831	9	30144	30281	137
100422832	19	47226944	47227019	75
100422833	19	18282077	18282161	84
100422834	15	101960459	101960596	137
100422835	17	1022476	1022559	83
100422836	16	18402178	18402271	93
100422837	14	101030052	101030129	77
100422838	20	62064802	62064885	83
100422839	1	170151378	170151462	84
100422840	18	6374361	6374425	64
100422841	15	90006755	90006841	86
100422842	9	95086014	95086094	80
100422843	10	14383200	14383277	77
100422844	15	21406385	21406459	74
100422845	15	34528290	34528371	81
100422846	11	69083176	69083258	82
100422847	X	147250151	147250230	79
100422848	7	63621090	63621169	79
100422849	4	173268160	173268233	73
100422850	8	17681578	17681657	79
100422851	17	77396984	77397054	70
100422852	1	159899979	159900079	100
100422853	16	83508346	83508408	62
100422854	19	813584	813653	69
100422855	11	113450023	113450088	65
100422856	1	241132272	241132346	74
100422857	18	37657135	37657215	80
100422858	7	102293103	102293187	84
100422859	3	69048958	69049035	77
100422860	9	136830957	136831023	66
100422861	13	99643059	99643149	90
100422862	2	11767444	11767525	81
100422863	2	109141490	109141588	98
100422864	3	124732439	124732516	77
100422865	18	50126499	50126563	64
100422866	1	23044305	23044372	67
100422867	10	130962588	130962668	80
100422868	3	15496239	15496308	69
100422869	9	18573306	18573379	73
100422870	16	14911220	14911313	93
100422871	1	66628440	66628517	77
100422872	12	9239467	9239551	84
100422873	10	129843299	129843374	75
100422874	5	31936102	31936159	57
100422875	20	18470615	18470691	76
100422876	8	29957272	29957348	76
100422877	X	153981098	153981176	78
100422878	13	41101019	41101100	81
100422879	1	248826377	248826443	66
100422880	11	59595077	59595158	81
100422881	13	98208524	98208600	76
100422882	1	172138808	172138888	80
100422883	20	57321502	57321591	89
100422884	6	57390132	57390212	80
100422885	5	118974586	118974670	84
100422886	16	16300159	16300242	83
100422887	5	87114879	87114954	75
100422888	2	79649294	79649359	65
100422889	20	51452905	51452977	72
100422891	21	30375294	30375378	84
100422892	10	96064315	96064399	84
100422893	9	128244947	128245030	83
100422894	1	209623444	209623510	66
100422895	10	48985512	48985587	75
100422896	4	152489327	152489416	89
100422897	12	25874020	25874079	59
100422898	1	37161563	37161634	71
100422899	19	47226942	47227021	79
100422900	10	101601417	101601497	80
100422901	3	20137565	20137641	76
100422902	1	62078786	62078859	73
100422903	8	28505116	28505182	66
100422904	20	31607186	31607240	54
100422905	15	66040233	66040332	99
100422907	18	14830166	14830242	76
100422908	2	189133036	189133111	75
100422909	10	112634170	112634254	84
100422910	9	127785918	127786007	89
100422911	X	50010672	50010750	78
100422912	22	30731557	30731641	84
100422914	1	22863159	22863226	67
