"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"KEGG","Chemical carcinogenesis - DNA adducts","KEGG:05204","1.2506774848650721e-11","10.902854668405318","67","386","21","8484","79799,7366,7365,7364,7363,64816,574537,54659,54600,54578,54576,54490,445329,2941,2939,2938,1576,1559,1558,1557,1551"
"KEGG","Biosynthesis of amino acids","KEGG:01230","1.0272310411453316e-10","9.988331865448858","74","386","21","8484","5313,5232,5230,5223,5214,5213,5211,5091,5053,5009,387712,2875,2806,2805,230,229,2027,162417,137362,113675,10993"
"KEGG","PPAR signaling pathway","KEGG:03320","1.2959334324139352e-10","9.887417306087178","75","386","21","8484","9370,7350,6256,5468,5467,5465,5346,51129,5106,5105,345,336,2180,2172,2169,2168,1581,1375,1374,126129,116519"
"KEGG","Ascorbate and aldarate metabolism","KEGG:00053","2.5428483679969757e-9","8.594679536366007","30","386","13","8484","9365,9104,79799,7366,7365,7364,7363,574537,54659,54600,54578,54576,54490"
"KEGG","Pentose and glucuronate interconversions","KEGG:00040","2.7374595918432717e-9","8.562652282807173","36","386","14","8484","9365,79799,7366,7365,7364,7363,7360,574537,57016,54659,54600,54578,54576,54490"
"KEGG","Longevity regulating pathway","KEGG:04211","2.5956041874185985e-8","7.585761533877083","89","386","20","8484","9370,9365,90993,8660,84699,79602,5571,5565,5564,5563,5468,53632,3667,3643,3630,2309,2308,208,111,10891"
"KEGG","Metabolism of xenobiotics by cytochrome P450","KEGG:00980","4.178714176134693e-8","7.378957333563889","74","386","18","8484","79799,7366,7365,7364,7363,574537,54659,54600,54578,54576,54490,2941,2939,2938,1576,1565,1559,1555"
"KEGG","Cholesterol metabolism","KEGG:04979","4.908303665385593e-8","7.309068576319593","51","386","15","8484","8647,8435,55908,51129,4018,3990,3931,350,345,337,336,27329,255738,1581,1071"
"KEGG","Steroid hormone biosynthesis","KEGG:00140","1.1607184296206528e-7","6.935273119876306","62","386","16","8484","9420,79799,7366,7365,7364,7363,6718,574537,54659,54600,54578,54576,54490,1581,1576,1551"
"KEGG","Retinol metabolism","KEGG:00830","4.667192824555348e-7","6.3309442559156945","68","386","16","8484","79799,7366,7365,7364,7363,574537,54659,54600,54578,54576,54490,1576,1559,1558,1555,1551"
"KEGG","Drug metabolism - other enzymes","KEGG:00983","7.000846308035745e-7","6.154849456458131","79","386","17","8484","79799,7498,7366,7365,7364,7363,574537,54659,54600,54578,54576,54490,2941,2939,2938,1807,1576"
"KEGG","Chemical carcinogenesis - receptor activation","KEGG:05207","8.39363247081243e-7","6.076050051015948","211","386","29","8484","9970,90993,84699,79799,776,773,7366,7365,7364,7363,6777,6256,574537,572,54659,5465,54600,54578,54576,54490,2941,2939,2938,2100,2099,208,1576,1555,111"
"KEGG","Neomycin, kanamycin and gentamicin biosynthesis","KEGG:00524","0.000001921408499244155","5.716380292552503","5","386","5","8484","80201,3101,3099,3098,2645"
"KEGG","Insulin secretion","KEGG:04911","0.0000019578687588489005","5.708216423471604","85","386","17","8484","90993,84699,816,776,6844,6833,6514,3767,3651,3630,2864,2740,2695,2645,2641,111,11069"
"KEGG","Porphyrin metabolism","KEGG:00860","0.0000026715092067146547","5.573243324786903","43","386","12","8484","79799,7366,7365,7364,7363,574537,54659,54600,54578,54576,54490,1356"
"KEGG","Longevity regulating pathway - multiple species","KEGG:04213","0.0000037549510525650522","5.42539571984209","61","386","14","8484","8660,5571,5565,5564,5563,53632,3667,3643,3630,3170,2309,2308,208,111"
"KEGG","Pentose phosphate pathway","KEGG:00030","0.000005647615356201724","5.248134889570909","31","386","10","8484","9104,8789,55276,5214,5213,5211,2821,230,229,2203"
"KEGG","Phenylalanine, tyrosine and tryptophan biosynthesis","KEGG:00400","0.000009464886020081162","5.023884611615435","6","386","5","8484","6898,5053,2806,2805,137362"
"KEGG","Alcoholic liver disease","KEGG:04936","0.000013017243011877896","4.8854809874663685","142","386","21","8484","9370,79602,6934,6720,5571,5565,5564,5563,5465,53632,50507,32,31,2309,2308,2168,208,1375,1374,126129,10891"
"KEGG","HIF-1 signaling pathway","KEGG:04066","0.000014109825038285044","4.850478371460284","109","386","18","8484","816,80201,5232,5230,5214,5213,5211,3948,387712,3643,3630,3101,3099,3098,230,229,208,2027"
"KEGG","Pancreatic secretion","KEGG:04972","0.00002340520640795099","4.630687524524197","102","386","17","8484","63036,5408,5407,5406,51032,3784,280,279,277,276,23436,1361,1360,1358,1357,111,10136"
"KEGG","Non-alcoholic fatty liver disease","KEGG:04932","0.000045174468736464856","4.345106946153382","154","386","21","8484","9370,8660,79602,6720,6256,5571,5565,5564,5563,5468,5465,53632,5313,51085,3952,3667,3643,3630,2931,2081,208"
"KEGG","FoxO signaling pathway","KEGG:04068","0.00004943665776730709","4.305950897997728","131","386","19","8484","92579,8660,6517,57818,5571,5565,5564,5563,53632,5106,5105,3667,3643,3630,2538,2309,2308,208,1030"
"KEGG","Amino sugar and nucleotide sugar metabolism","KEGG:00520","0.00006709185216778942","4.173330218630208","49","386","11","8484","80201,7360,55276,4351,3101,3099,3098,2821,2645,132789,10007"
"KEGG","Fat digestion and absorption","KEGG:04975","0.00012033380739235149","3.919612341893145","43","386","10","8484","5408,5407,5406,4547,337,29881,2806,2169,2168,1208"
"KEGG","Complement and coagulation cascades","KEGG:04610","0.00020400596555141855","3.690357132730072","86","386","14","8484","81494,731,729,462,4153,3053,2266,2244,2243,2165,2160,2155,1361,10747"
"KEGG","Biosynthesis of nucleotide sugars","KEGG:01250","0.00020731231523465473","3.683374898197549","37","386","9","8484","80201,7360,55276,4351,3101,3099,3098,2821,2645"
"KEGG","Phenylalanine metabolism","KEGG:00360","0.00030839893627409806","3.510887128581801","16","386","6","8484","6898,5053,3242,2806,2805,137362"
"KEGG","Central carbon metabolism in cancer","KEGG:05230","0.0004188959728047757","3.377893814852604","70","386","12","8484","80201,6514,5223,5214,5213,5211,3948,3101,3099,3098,2645,208"
"KEGG","Glycerolipid metabolism","KEGG:00561","0.0006947020728144001","3.15820140529937","63","386","11","8484","80339,57016,5408,5407,5406,3990,26007,1608,1607,139189,116255"
"KEGG","Tyrosine metabolism","KEGG:00350","0.001048100607684335","2.9795970272139303","36","386","8","8484","7299,7173,6898,3242,3081,2806,2805,137362"
"KEGG","Arginine biosynthesis","KEGG:00220","0.002087044072164912","2.680468379829643","22","386","6","8484","5009,2875,2806,2805,162417,137362"
"KEGG","Glycosphingolipid biosynthesis - globo and isoglobo series","KEGG:00603","0.0032715109757057207","2.4852516183335434","16","386","5","8484","8706,6489,28,127550,10690"
"KEGG","Biosynthesis of cofactors","KEGG:01240","0.003312473873361554","2.4798475384738996","153","386","17","8484","9104,8564,79799,7366,7365,7364,7363,7360,6999,574537,54659,54600,54578,54576,54490,4351,3242"
"KEGG","Protein digestion and absorption","KEGG:04974","0.004337918097324091","2.362718652002782","103","386","13","8484","6564,63036,59272,51032,4225,3784,23436,1803,1361,1360,1358,1357,10136"
"KEGG","Regulation of lipolysis in adipocytes","KEGG:04923","0.006299658059287949","2.200683023085247","58","386","9","8484","8660,63924,5346,3991,3667,3643,3630,208,111"
"KEGG","Prolactin signaling pathway","KEGG:04917","0.006436888036408411","2.191324044947913","70","386","10","8484","6777,6514,5618,5617,3630,2645,2309,2100,2099,208"
"KEGG","Thermogenesis","KEGG:04714","0.010840480935368135","1.964951449998436","232","386","21","8484","90993,84699,7350,5571,5565,5564,5563,5468,53632,5346,3991,2641,26291,2180,152831,1375,1374,1268,126129,111,10891"
"KEGG","2-Oxocarboxylic acid metabolism","KEGG:01210","0.017701842892168505","1.7519815180316112","33","386","6","8484","2875,2806,2805,189,162417,137362"
"KEGG","Circadian rhythm","KEGG:04710","0.02031815113457718","1.692115813542765","34","386","6","8484","6095,5571,5565,5564,5563,53632"
"KEGG","Apelin signaling pathway","KEGG:04371","0.020414235511795494","1.6900668792347564","138","386","14","8484","91860,7350,5581,5571,5565,5564,5563,53632,5346,3991,208,163688,111,10891"
"KEGG","Aldosterone synthesis and secretion","KEGG:04925","0.024160596070043665","1.616892355368064","98","386","11","8484","91860,90993,8912,84699,816,776,57118,5581,3991,163688,111"
"KEGG","Taurine and hypotaurine metabolism","KEGG:00430","0.024303166945834585","1.6143371297974407","16","386","4","8484","2678,2572,2329,2328"
"KEGG","Pyruvate metabolism","KEGG:00620","0.024303166945834585","1.6143371297974407","47","386","7","8484","5313,5106,5105,5091,3948,32,31"
"KEGG","Alanine, aspartate and glutamate metabolism","KEGG:00250","0.02870437492461382","1.5420519060249542","37","386","6","8484","2875,2806,2805,2572,189,137362"
"KEGG","Arachidonic acid metabolism","KEGG:00590","0.02870437492461382","1.5420519060249542","61","386","8","8484","8529,4051,2678,1559,1558,1557,1555,113612"
"KEGG","cAMP signaling pathway","KEGG:04024","0.02886213551579958","1.5396715385087727","223","386","19","8484","91860,90993,84699,816,776,6750,572,5465,51738,3991,2740,2696,2695,2641,208,163688,111,11069,10411"
"KEGG","Cysteine and methionine metabolism","KEGG:00270","0.03220747409129353","1.4920433338958683","50","386","7","8484","6898,3948,2806,2805,137362,113675,10993"
"KEGG","Glycosphingolipid biosynthesis - lacto and neolacto series","KEGG:00601","0.03485982367312465","1.4576748139553042","28","386","5","8484","8706,79369,6489,28,10690"
"KEGG","Glycine, serine and threonine metabolism","KEGG:00260","0.03485982367312465","1.4576748139553042","39","386","6","8484","63826,5223,189,1610,113675,10993"
"KEGG","Growth hormone synthesis, secretion and action","KEGG:04935","0.03618392206074327","1.4414843607205055","120","386","12","8484","90993,8660,84699,776,6777,6750,51738,3667,2689,208,1442,111"
"KEGG","Fatty acid degradation","KEGG:00071","0.0530491024533691","1.2753219596014072","43","386","6","8484","3033,2180,1375,1374,126129,113612"
"KEGG","Fatty acid metabolism","KEGG:01212","0.059461844890951035","1.2257616202987565","57","386","7","8484","83401,31,3033,2180,1375,1374,126129"
"KEGG","cGMP-PKG signaling pathway","KEGG:04022","0.07098118801434651","1.1488567361273754","164","386","14","8484","91860,90993,8660,84699,776,572,5581,4882,3667,3643,3630,208,163688,111"
"KEGG","Thyroid hormone synthesis","KEGG:04918","0.08187298158807216","1.0868593935157953","75","386","8","8484","90993,84699,7276,7173,6906,432,389434,111"
"KEGG","Arginine and proline metabolism","KEGG:00330","0.08353792995932034","1.0781162906028936","48","386","6","8484","58510,2806,2805,26,1610,137362"
"KEGG","Cortisol synthesis and secretion","KEGG:04927","0.1009909653746649","0.9957174763503268","64","386","7","8484","90993,8912,84699,776,56246,3739,111"
"KEGG","D-Amino acid metabolism","KEGG:00470","0.10711911470317083","0.9701330252521764","6","386","2","8484","63826,1610"
"KEGG","Tryptophan metabolism","KEGG:00380","0.13018028558175823","0.8854547800637187","40","386","5","8484","8564,7166,6999,3033,26"
"KEGG","Amphetamine addiction","KEGG:05031","0.13924297451237072","0.8562267078776158","69","386","7","8484","91860,90993,84699,816,776,163688,111"
"KEGG","Primary bile acid biosynthesis","KEGG:00120","0.14849935981420306","0.8282754186010335","17","386","3","8484","9420,6718,1581"
"KEGG","Alzheimer disease","KEGG:05010","0.15633827980879741","0.8059346708978794","382","386","25","8484","91860,91252,8660,776,64116,572,57181,55630,55334,50507,3667,3643,3630,3416,29986,29985,283375,27173,25800,221074,2081,208,201266,163688,10313"
"KEGG","Fatty acid biosynthesis","KEGG:00061","0.1641711395991457","0.7847031871341732","18","386","3","8484","32,31,2180"
"KEGG","Adrenergic signaling in cardiomyocytes","KEGG:04261","0.1641711395991457","0.7847031871341732","153","386","12","8484","91860,90993,84699,816,776,5502,3784,208,163688,111,11069,10411"
"KEGG","Linoleic acid metabolism","KEGG:00591","0.1641711395991457","0.7847031871341732","30","386","4","8484","1576,1559,1558,1557"
"KEGG","Oxytocin signaling pathway","KEGG:04921","0.16902127362543626","0.7720586300805004","154","386","12","8484","91860,816,776,57118,5571,5565,5564,5563,53632,4882,163688,111"
"KEGG","Thyroid hormone signaling pathway","KEGG:04919","0.16948342886124282","0.7708727582628976","121","386","10","8484","6256,572,5214,5213,5211,5208,2308,2099,208,1733"
"KEGG","Salivary secretion","KEGG:04970","0.18811697079934592","0.725572023205358","91","386","8","8484","91860,6844,280,279,277,276,163688,111"
"KEGG","PI3K-Akt signaling pathway","KEGG:04151","0.19123771400492817","0.718426456363924","356","386","23","8484","92579,90993,84699,6256,57818,572,5618,5617,5563,5106,5105,3667,3643,3630,2998,2997,2689,26291,2538,2309,208,200186,1442"
"KEGG","Endocrine resistance","KEGG:01522","0.22547104103850776","0.6469092299492353","95","386","8","8484","8647,638,572,2100,2099,208,1565,111"
"KEGG","Serotonergic synapse","KEGG:04726","0.22823768819497564","0.6416126402698814","112","386","9","8484","776,773,7166,1565,1559,1558,1557,111,10411"
"KEGG","Dopaminergic synapse","KEGG:04728","0.2464567323062592","0.608259313993231","131","386","10","8484","91860,90993,84699,816,776,773,2931,208,163688,111"
"KEGG","Ubiquinone and other terpenoid-quinone biosynthesis","KEGG:00130","0.28013502601391843","0.552632586808153","11","386","2","8484","6898,3242"
"KEGG","Melanogenesis","KEGG:04916","0.28013502601391843","0.552632586808153","101","386","8","8484","91860,90993,84699,816,7299,6934,163688,111"
"KEGG","Neurotrophin signaling pathway","KEGG:04722","0.28013502601391843","0.552632586808153","118","386","9","8484","91860,816,572,3667,25970,2309,208,163688,10019"
"KEGG","Cushing syndrome","KEGG:04934","0.28013502601391843","0.552632586808153","153","386","11","8484","90993,8912,84699,816,776,6934,56246,50940,3739,111,1030"
"KEGG","Vitamin digestion and absorption","KEGG:04977","0.29106044645443024","0.5360168088302337","24","386","3","8484","5406,337,113278"
"KEGG","Parkinson disease","KEGG:05012","0.29571466805310626","0.5291271330439437","265","386","17","8484","91860,91252,816,64116,57181,55630,55334,29986,29985,283375,27173,25800,221074,2081,201266,163688,111"
"KEGG","Platinum drug resistance","KEGG:01524","0.3297628583963896","0.4817982610682621","72","386","6","8484","572,2941,2939,2938,208,1317"
"KEGG","Lipid and atherosclerosis","KEGG:05417","0.3297628583963896","0.4817982610682621","214","386","14","8484","91860,816,7436,6256,572,5468,337,25833,2081,208,163688,1559,1558,1555"
"KEGG","Folate biosynthesis","KEGG:00790","0.3658974553701239","0.4366406107991439","27","386","3","8484","7166,57016,5053"
"KEGG","Gastric acid secretion","KEGG:04971","0.38835180555639703","0.410774671347976","76","386","6","8484","91860,816,6750,3784,163688,111"
"KEGG","Cholinergic synapse","KEGG:04725","0.41694100294436637","0.37992539324778934","113","386","8","8484","90993,84699,816,776,773,3784,208,111"
"KEGG","Citrate cycle (TCA cycle)","KEGG:00020","0.434387316214602","0.3621228643087795","30","386","3","8484","5106,5105,5091"
"KEGG","Prostate cancer","KEGG:05215","0.434387316214602","0.3621228643087795","97","386","7","8484","90993,84699,6934,572,3630,2308,208"
"KEGG","Glyoxylate and dicarboxylate metabolism","KEGG:00630","0.434387316214602","0.3621228643087795","30","386","3","8484","54363,51179,189"
"KEGG","Circadian entrainment","KEGG:04713","0.434387316214602","0.3621228643087795","97","386","7","8484","91860,8912,816,776,4544,163688,111"
"KEGG","GnRH secretion","KEGG:04929","0.4611000736044003","0.3362048084551048","64","386","5","8484","8912,776,3767,2100,208"
"KEGG","Peroxisome","KEGG:04146","0.48377011725584207","0.31536096175278727","83","386","6","8484","7498,54363,51179,2180,189,1610"
"KEGG","Propanoate metabolism","KEGG:00640","0.48377011725584207","0.31536096175278727","32","386","3","8484","3948,32,31"
"KEGG","Long-term potentiation","KEGG:04720","0.5063821222831327","0.29552163539757237","67","386","5","8484","91860,816,5502,163688,10411"
"KEGG","Acute myeloid leukemia","KEGG:05221","0.5063821222831327","0.29552163539757237","67","386","5","8484","6934,6777,572,5467,208"
"KEGG","Parathyroid hormone synthesis, secretion and action","KEGG:04928","0.5350818256144189","0.27157979985627084","105","386","7","8484","9935,9365,90993,84699,6256,142680,111"
"KEGG","Phospholipase D signaling pathway","KEGG:04072","0.5963244700246065","0.22451736912380044","147","386","9","8484","3643,3630,208,1608,1607,139189,111,11069,10411"
"KEGG","Non-small cell lung cancer","KEGG:05223","0.5998073460509487","0.22198821958707182","72","386","5","8484","6777,6256,572,2309,208"
"KEGG","Aldosterone-regulated sodium reabsorption","KEGG:04960","0.6069992670230121","0.21681183335316648","37","386","3","8484","3667,3643,3630"
"KEGG","Thyroid cancer","KEGG:05216","0.6069992670230121","0.21681183335316648","37","386","3","8484","6934,6256,5468"
"KEGG","Virion - Ebolavirus and Lyssavirus","KEGG:03265","0.6158518528784421","0.21052374760086576","6","386","1","8484","432"
"KEGG","Caffeine metabolism","KEGG:00232","0.6158518528784421","0.21052374760086576","6","386","1","8484","7498"
"KEGG","Glutathione metabolism","KEGG:00480","0.6260556912557241","0.20338703207829328","56","386","4","8484","2941,2939,2938,2678"
"KEGG","Glioma","KEGG:05214","0.6330701297621202","0.19854817737336491","75","386","5","8484","91860,816,57118,208,163688"
"KEGG","Histidine metabolism","KEGG:00340","0.6512671064620283","0.18624085617688269","22","386","2","8484","3034,26"
"KEGG","Endometrial cancer","KEGG:05213","0.6598764746611606","0.18053735444885347","58","386","4","8484","6934,572,2309,208"
"KEGG","Type I diabetes mellitus","KEGG:04940","0.6619712385740295","0.17916087944238554","40","386","3","8484","5798,3630,2572"
"KEGG","Estrogen signaling pathway","KEGG:04915","0.6653876788014932","0.1769252453638975","136","386","8","8484","91860,90993,84699,2100,2099,208,163688,111"
"KEGG","Hypertrophic cardiomyopathy","KEGG:05410","0.6653876788014932","0.1769252453638975","97","386","6","8484","776,5571,5565,5564,5563,53632"
"KEGG","Proximal tubule bicarbonate reclamation","KEGG:04964","0.665531557986414","0.17683134644863946","23","386","2","8484","5106,5105"
"KEGG","Ferroptosis","KEGG:04216","0.6656419988179367","0.17675928395374985","41","386","3","8484","64116,2180,1356"
"KEGG","Mineral absorption","KEGG:04978","0.6656419988179367","0.17675928395374985","60","386","4","8484","6523,55630,142680,1317"
"KEGG","RNA degradation","KEGG:03018","0.6656419988179367","0.17675928395374985","79","386","5","8484","5214,5213,5211,387712,2027"
"KEGG","Choline metabolism in cancer","KEGG:05231","0.6656419988179367","0.17675928395374985","98","386","6","8484","6582,6580,208,1608,1607,139189"
"KEGG","Neuroactive ligand-receptor interaction","KEGG:04080","0.6903049453754403","0.16095901529549636","365","386","19","8484","79957,6750,5618,5617,5539,51738,4544,4160,3952,3375,3060,2740,2696,2695,2689,2641,1442,1268,114131"
"KEGG","Vasopressin-regulated water reabsorption","KEGG:04962","0.7297169255120356","0.13684558033191263","44","386","3","8484","90993,84699,6844"
"KEGG","Fatty acid elongation","KEGG:00062","0.7644470305209702","0.11665260201023991","27","386","2","8484","83401,3033"
"KEGG","Purine metabolism","KEGG:00230","0.7644470305209702","0.11665260201023991","126","386","7","8484","7498,55276,50940,4882,27115,270,111"
"KEGG","Butanoate metabolism","KEGG:00650","0.7644470305209702","0.11665260201023991","27","386","2","8484","3033,2572"
"KEGG","Virion - Herpesvirus","KEGG:03266","0.7644470305209702","0.11665260201023991","9","386","1","8484","3416"
"KEGG","Phototransduction","KEGG:04744","0.8270245341135015","0.08248160668437349","29","386","2","8484","91860,163688"
"KEGG","Renin secretion","KEGG:04924","0.8270245341135015","0.08248160668437349","69","386","4","8484","91860,776,163688,111"
"KEGG","Cocaine addiction","KEGG:05030","0.8270245341135015","0.08248160668437349","49","386","3","8484","90993,84699,111"
"KEGG","beta-Alanine metabolism","KEGG:00410","0.8675127954802927","0.06172411081316664","31","386","2","8484","2572,1807"
"KEGG","GnRH signaling pathway","KEGG:04912","0.8675127954802927","0.06172411081316664","93","386","5","8484","91860,816,776,163688,111"
"KEGG","Ovarian steroidogenesis","KEGG:04913","0.8675127954802927","0.06172411081316664","51","386","3","8484","3643,3630,111"
"KEGG","Efferocytosis","KEGG:04148","0.8675127954802927","0.06172411081316664","156","386","8","8484","816,6566,6256,5468,5467,1375,1374,126129"
"KEGG","SNARE interactions in vesicular transport","KEGG:04130","0.8896833593313916","0.05076453241491802","32","386","2","8484","6844,6843"
"KEGG","Diabetic cardiomyopathy","KEGG:05415","0.8946467222519471","0.04834842486854096","202","386","10","8484","816,6517,5465,3667,3643,3630,2998,2997,208,1375"
"KEGG","Fluid shear stress and atherosclerosis","KEGG:05418","0.8946467222519471","0.04834842486854096","138","386","7","8484","91860,5563,2941,2939,2938,208,163688"
"KEGG","Phosphatidylinositol signaling system","KEGG:04070","0.9157129140206554","0.038240661047068886","97","386","5","8484","91860,163688,1608,1607,139189"
"KEGG","Inflammatory mediator regulation of TRP channels","KEGG:04750","0.9157129140206554","0.038240661047068886","98","386","5","8484","91860,816,5581,163688,111"
"KEGG","JAK-STAT signaling pathway","KEGG:04630","0.9157129140206554","0.038240661047068886","162","386","8","8484","7066,6777,5618,5617,3952,2689,208,1442"
"KEGG","Spinocerebellar ataxia","KEGG:05017","0.9157129140206554","0.038240661047068886","141","386","7","8484","773,7436,6311,6095,2081,208,11317"
"KEGG","Glycerophospholipid metabolism","KEGG:00564","0.9270702675980972","0.03288734711379379","99","386","5","8484","3931,162466,1608,1607,139189"
"KEGG","AGE-RAGE signaling pathway in diabetic complications","KEGG:04933","0.9381849771321534","0.027711525557314976","100","386","5","8484","6777,5581,50507,2308,208"
"KEGG","Rap1 signaling pathway","KEGG:04015","0.9464450139355982","0.023904612379556732","210","386","10","8484","91860,3643,3630,26291,208,163688,1268,111,11069,10411"
"KEGG","Mucin type O-glycan biosynthesis","KEGG:00512","0.9491010760530671","0.022687534216977303","36","386","2","8484","51301,29071"
"KEGG","Glycosphingolipid biosynthesis - ganglio series","KEGG:00604","0.963165446413476","0.01629910613310718","15","386","1","8484","6489"
"KEGG","Tight junction","KEGG:04530","0.9758475657299239","0.010618016895436835","170","386","8","8484","9074,776,5581,5571,5565,5564,5563,53632"
"KEGG","Viral carcinogenesis","KEGG:05203","1","0","201","386","7","8484","90993,84699,6777,572,11317,1030,102724334"
"KEGG","Proteoglycans in cancer","KEGG:05205","1","0","205","386","4","8484","816,286,2099,208"
"KEGG","MicroRNAs in cancer","KEGG:05206","1","0","310","386","3","8484","8660,5581,3667"
"KEGG","Chemical carcinogenesis - reactive oxygen species","KEGG:05208","1","0","221","386","7","8484","572,50507,2941,2939,2938,2309,208"
"KEGG","Colorectal cancer","KEGG:05210","1","0","86","386","3","8484","6934,572,208"
"KEGG","Renal cell carcinoma","KEGG:05211","1","0","68","386","2","8484","572,208"
