	Reported Trait	DISEASE/TRAIT	MAPPED_TRAIT_CLEAN_C	MAPPED_TRAIT_CLEAN_R	trait_type	Domain	Cosine_R	Cosine_C	CosineRC	Keep
55	Heart disease| unspecified	Cardiovascular disease	cardiovascular disease	cardiovascular disease	CC	Cardiovascular	0.76428044	1	0.76428056	1
56	Heart failure	Heart failure	heart failure	heart failure	CC	Cardiovascular	1	1	1	1
57	Impingement sof shoulder	Shoulder impingement syndrome	shoulder impingement syndrome	shoulder impingement syndrome	CC	Skeletal	0.8009312	1	0.8009312	1
58	Th[hyperthyroidism]	Hyperthyroidism	hyperthyroidism	hyperthyroidism	CC	Endocrine	0.8902998	1	0.8902998	1
59	Gastric ulcer	Gastric ulcer	gastric ulcer	gastric ulcer	CC	Gastrointestinal	0.9999999	1	0.9999999	1
60	Urolithiasis	Urolithiasis	urolithiasis	urolithiasis	CC	Renal	1.0000002	1	1.0000002	1
61	Large bowel cancer|colorectal cancer	Colorectal cancer	colorectal cancer	colorectal cancer	CC	Neoplasm	0.80817306	1	0.80817306	1
62	Actinic keratosis	Actinic keratosis	actinic keratosis	actinic keratosis	CC	Dermatological	1	1	1	1
63	Stroke	Stroke	stroke	stroke	CC	Cardiovascular	1	1	1	1
64	Urticaria	Urticaria	urticaria	urticaria	CC	Immunological	1	1	1	1
65	Unspecified dementia	Dementia	dementia	dementia	CC	Neurological	0.8429936	1	0.8429936	1
66	Systolic_blood_pressure_automated_reading	Systolic blood pressure	systolic blood pressure	systolic blood pressure	Q	Cardiovascular	0.68119156	1	0.68119144	1
67	Hypertension	Hypertension	hypertension	hypertension	CC	Cardiovascular	0.9999999	1	0.9999999	1
68	Cervical cancer	Cervical cancer	cervical cancer	cervical cancer	CC	Neoplasm	1	1	1	1
69	Other allergic rhinitis	Allergic rhinitis	allergic rhinitis	allergic rhinitis	CC	Immunological	0.94428396	1	0.94428384	1
70	Carpal tunnel syndrome	Carpal tunnel syndrome	carpal tunnel syndrome	carpal tunnel syndrome	CC	Neurological	0.99999976	1	0.99999976	1
71	Cholecystitis	Cholecystitis	cholecystitis	cholecystitis	CC	Gastrointestinal	1	1	1.0000001	1
72	Cholelithiasis	Cholelithiasis	cholelithiasis	cholelithiasis	CC	Gastrointestinal	1	1	1	1
73	Crohns disease	Crohn's disease	crohn's disease	crohn's disease	CC	Gastrointestinal	0.9757204	1	0.9757204	1
74	Androgenic alopecia	Androgenetic alopecia	androgenetic alopecia	androgenetic alopecia	CC	Other	0.9592285	1	0.9592285	1
75	Psoriasis vulgaris	Psoriasis vulgaris	psoriasis vulgaris	psoriasis vulgaris	CC	Dermatological	1.0000001	1	1.0000001	1
76	Inguinal hernia	Inguinal hernia	inguinal hernia	inguinal hernia	CC	Muscular	1	1	1	1
77	Rheumatoid arthritis	Rheumatoid arthritis	rheumatoid arthritis	rheumatoid arthritis	CC	Immunological	1.0000001	1	1.0000001	1
78	Other interstitial pulmonary diseases	Interstitial lung disease	interstitial lung disease	interstitial lung disease	CC	Respiratory	0.8495197	1	0.8495197	1
79	Retinal detachment	Retinal detachment	retinal detachment	retinal detachment	CC	Opthamological	1	1	1	1
80	Adhesive capsulitis of shoulder	Frozen shoulder	frozen shoulder	frozen shoulder	CC	Skeletal	0.52008635	1	0.52008647	1
81	Type of cancer: chronic lymphocytic leukemia of b-cell type (40006)	Chronic lymphocytic leukemia	chronic lymphocytic leukemia	chronic lymphocytic leukemia	CC	Neoplasm	0.7923106	1	0.79231066	1
82	Total Lipids in Large HDL	Total lipids in large HDL	total lipids in large HDL	total lipids in large HDL	Q	Metabolic	0.99758345	1	1	1
83	Total Lipids in Small VLDL	Total lipids in small VLDL	total lipids in small VLDL	total lipids in small VLDL	Q	Metabolic	0.99773836	1	1	1
84	Acute pancreatitis	Acute pancreatitis	acute pancreatitis	acute pancreatitis	CC	Endocrine	1.0000001	1	1.0000001	1
85	Malaria	Malaria	malaria	malaria	CC	Infection	1	1	1	1
86	Hepatitis	Hepatitis	hepatitis	hepatitis	CC	Infection	1	1	1	1
87	Headache	Headache	Headache	Headache	CC	Neurological	1	1	1	1
88	Prostate cancer	Prostate cancer	prostate cancer	prostate cancer	CC	Neoplasm	1	1	1	1
89	Volume of non wm hypointensities whole brain (26529)	Whole-brain volume	whole-brain volume	whole-brain volume	Q	Neurological	0.72786325	1	0.72786313	1
90	Platelet count	Platelet count	platelet count	platelet count	Q	Hematological	1	1	1	1
91	Other gastritis	Gastritis	gastritis	gastritis	CC	Gastrointestinal	0.9224564	1	0.9224564	1
92	Neutrophill count	Granulocyte count	granulocyte count	granulocyte count	Q	Immunological	0.4413067	1	0.4413067	0
93	Seborrhoeic dermatitis	Seborrheic dermatitis	seborrheic dermatitis	seborrheic dermatitis	CC	Dermatological	0.95810163	1	0.95810163	1
94	Lymphocyte count	Lymphocyte count	lymphocyte count	lymphocyte count	Q	Immunological	1	1	1	1
95	Hcardiom(hcm | hocm	Hypertrophic cardiomyopathy	hypertrophic cardiomyopathy	hypertrophic cardiomyopathy	CC	Cardiovascular	0.19136205	1	0.19136205	1
96	Alopecia areata	Alopecia areata	alopecia areata	alopecia areata	CC	Immunological	1	1	1	1
97	Other chronic pain	Chronic pain	chronic pain	chronic pain	CC	Pain	0.90689915	1	0.90689915	1
98	Other aplastic anaemias	Severe aplastic anemia	severe aplastic anemia	severe aplastic anemia	CC	Hematological	0.8621849	1	0.8621849	1
99	Platelet aggregation	Platelet aggregation	platelet aggregation	platelet aggregation	Q	Hematological	1	1	1	1
100	Other hearing loss	Hearing loss	hearing loss	hearing loss	CC	EarNoseThroat	0.9195982	1	0.91959816	1
101	Pneumonia	Pneumonia	pneumonia	pneumonia	CC	Infection	1	1	1	1
102	Squamous cell carcinoma	Squamous cell carcinoma	squamous cell carcinoma	squamous cell carcinoma	CC	Neoplasm	1	1	1	1
103	Chronic periodontitis	Periodontitis	periodontitis	periodontitis	CC	Skeletal	0.8898818	1	0.88988185	1
104	Reticulocyte count	Reticulocyte count	reticulocyte count	reticulocyte count	Q	Hematological	1	1	1	1
105	Dilated cardiomyopathy	Dilated cardiomyopathy	dilated cardiomyopathy	dilated cardiomyopathy	CC	Cardiovascular	1	1	1	1
106	Multiple myeloma	Multiple myeloma	multiple myeloma	multiple myeloma	CC	Neoplasm	1	1	1	1
107	Sarcoidosis	Sarcoidosis	sarcoidosis	sarcoidosis	CC	Immunological	0.99999994	0.99999994	0.99999994	1
108	Tuberculosis	Tuberculosis	tuberculosis	tuberculosis	CC	Infection	1.0000001	0.99999994	1.0000001	1
109	Dysphagia	Dysphagia	dysphagia	dysphagia	CC	Muscular	1	0.99999994	0.99999994	1
110	Mean corpuscular haemoglobin	Mean corpuscular hemoglobin	mean corpuscular hemoglobin	mean corpuscular hemoglobin	Q	Hematological	0.94663805	0.99999994	0.94663805	1
111	Ankylosing spondylitis	Ankylosing spondylitis	ankylosing spondylitis	ankylosing spondylitis	CC	Skeletal	0.9999999	0.99999994	0.99999994	1
112	Diverticular disease|diverticulitis	Diverticular disease	diverticular disease	diverticular disease	CC	Gastrointestinal	0.9147973	0.99999994	0.9147972	1
113	Panic attacks	Panic disorder	panic disorder	panic disorder	CC	Psychiatric	0.86180407	0.99999994	0.861804	1
114	Umbilical hernia	Umbilical hernia	Umbilical hernia	Umbilical hernia	CC	Muscular	0.99999994	0.99999994	0.99999994	1
115	Kidney cancer	Kidney cancer	kidney cancer	kidney cancer	CC	Neoplasm	0.9999998	0.9999999	0.9999999	1
116	Osteoarthritis	Osteoarthritis	osteoarthritis	osteoarthritis	CC	Skeletal	0.9999999	0.9999999	0.9999999	1
117	Varicella [chickenpox])	Chickenpox	chickenpox	chickenpox	CC	Infection	0.72057277	0.9999999	0.7205728	1
118	Thwith tomultinodular goitre	Goiter	goiter	goiter	CC	Endocrine	0.362832	0.9999999	0.36283195	1
119	Emphysema	Emphysema	emphysema	emphysema	CC	Respiratory	0.99999976	0.9999999	0.9999999	1
120	Atrial fibrillation	Atrial fibrillation	atrial fibrillation	atrial fibrillation	CC	Cardiovascular	0.9999999	0.9999999	0.9999999	1
121	Otosclerosis	Otosclerosis	otosclerosis	otosclerosis	CC	Skeletal	1.0000001	0.9999999	1.0000001	1
122	Rheumatic fever	Rheumatic fever	rheumatic fever	rheumatic fever	CC	Infection	0.9999999	0.9999999	0.9999999	1
123	Monocyte count	Monocyte count	monocyte count	monocyte count	Q	Immunological	0.9999999	0.9999999	0.9999999	1
124	Coronary artery disease	Coronary artery disease	coronary artery disease	coronary artery disease	CC	Cardiovascular	0.9999999	0.9999999	1	1
125	Psoriatic arthropathy	Psoriatic arthritis	psoriatic arthritis	psoriatic arthritis	CC	Dermatological	0.84189296	0.9999999	0.84189296	1
126	Leg predicted mass left (23118)	Left ventricular mass	left ventricular mass	left ventricular mass	Q	Cardiovascular	0.42466706	0.9999999	0.42466703	0
127	Bell's palsy	Bell's palsy	Bell's palsy	Bell's palsy	CC	Muscular	1.0000002	0.9999999	1.0000002	1
128	Icd10 z85: personal history of malignant neoplasm	Cancer	cancer	cancer	CC	Neoplasm	0.4058488	0.9999998	0.4058488	0
129	Aortic (valve stenosis	Aortic stenosis	aortic stenosis	aortic stenosis	CC	Cardiovascular	0.9089318	0.9999998	0.90893173	1
130	Total Lipids in Large LDL	Total lipids in large LDL	total lipids in large LDL	total lipids in large LDL	Q	Metabolic	0.99698794	0.9999998	0.9999999	1
131	Peripheral vascular disease| unspecified	Peripheral vascular disease	peripheral vascular disease	peripheral vascular disease	CC	Cardiovascular	0.95106065	0.99999976	0.95106065	1
132	Angina pectoris	Angina pectoris	angina pectoris	angina pectoris	CC	Cardiovascular	0.99999976	0.99999976	0.99999976	1
133	Retinal detachment with retinal break	Rhegmatogenous retinal detachment	rhegmatogenous retinal detachment	rhegmatogenous retinal detachment	CC	Opthamological	0.7567514	0.99999976	0.75675136	1
134	Myopia	Myopia	Myopia	Myopia	CC	Opthamological	0.99999976	0.99999976	0.99999976	1
135	Tinnitus	Tinnitus	tinnitus	tinnitus	CC	EarNoseThroat	0.99999976	0.99999976	0.99999976	1
136	Sick sinus syndrome	Sick sinus syndrome	sick sinus syndrome	sick sinus syndrome	CC	EarNoseThroat	0.99999976	0.99999976	0.99999976	1
137	Total Lipids in Large VLDL	Total lipids in large VLDL	total lipids in large VLDL	total lipids in large VLDL	Q	Metabolic	0.99774367	0.99999976	0.99999976	1
138	Asthma	Asthma	asthma	asthma	CC	Respiratory	0.99999976	0.99999976	0.99999976	1
139	Dental caries	Dental caries	dental caries	dental caries	CC	Skeletal	0.9999997	0.9999997	0.99999976	1
140	Vaginal prolapse|uterine prolapse	Uterine prolapse	uterine prolapse	uterine prolapse	CC	Reproductive	0.9410976	0.9999997	0.9410976	1
141	Gout	Gout	gout	gout	CC	Skeletal	0.99999964	0.99999964	0.99999964	1
142	Systemic lupus erythematosus	Systemic lupus erythematosus	systemic lupus erythematosus	systemic lupus erythematosus	CC	Infection	0.99999964	0.99999964	0.99999964	1
143	Coeliac disease	Celiac disease	celiac disease	celiac disease	CC	Immunological	0.7786662	0.9999996	0.7786662	1
144	Large cell (diffuse	Diffuse large B cell lymphoma	diffuse large b-cell lymphoma	diffuse large b-cell lymphoma	CC	Neoplasm	0.52344495	0.9917188	0.5418701	1
145	Urinary albumincreatinine ratio (rgc)	Urinary albumin-to-creatinine ratio	urinary albumin to creatinine ratio	urinary albumin to creatinine ratio	Q	Renal	0.7420406	0.9902651	0.7617092	1
146	Blood EOSINOPHIL COUNT	Eosinophil counts	eosinophil count	eosinophil count	Q	Immunological	0.91271806	0.986836	0.91543996	1
147	Sjogren's ssyndrome	Sjögren's syndrome	Sjogren syndrome	sjogren syndrome	CC	Immunological	0.7753424	0.9849888	0.78496206	1
148	Degenerative myopia	Myopia (pathological)	pathological myopia	pathological myopia	CC	Opthamological	0.7739401	0.9795408	0.7886246	1
149	Premature rupture of membranes| unspecified	Spontaneous preterm birth (preterm birth)	spontaneous preterm birth	spontaneous preterm birth	CC	Reproductive	0.26205435	0.9782847	0.26411915	0
150	Seropositive rheumatoid arthritis| unspecified	Arthritis (juvenile idiopathic)	juvenile idiopathic arthritis	juvenile idiopathic arthritis	CC	Skeletal	0.47700235	0.9767262	0.50794446	1
151	Parkinson's disease	Parkinson's disease	Parkinson disease	Parkinson disease	CC	Neurological	0.9704986	0.9704986	1.0000001	1
152	Disc degeneration	Disc degeneration (lumbar)	lumbar disc degeneration	lumbar disc degeneration	CC	Skeletal	0.75626427	0.9703651	0.806852	1
153	G30_alzheimer_s_disease	Alzheimer's disease	Alzheimer disease	alzheimer disease	CC	Neurological	0.6650152	0.96921515	0.67254174	1
154	Body waist-hip ratio BMI	Waist-to-hip ratio adjusted for BMI	BMI-adjusted waist-hip ratio	BMI-adjusted waist-hip ratio	Q	Anthropometric	0.95825607	0.9687487	0.92520654	1
155	Gestational diabetes	Gestational diabetes mellitus	gestational diabetes	gestational diabetes	CC	Endocrine	0.9999997	0.9668673	0.9668673	1
156	Platelet distribution width	Platelet distribution width	platelet component distribution width	platelet component distribution width	Q	Hematological	0.96663564	0.96663564	0.99999994	1
157	Cholesteryl Esters to Total Lipids in Medium LDL percentage	Cholesteryl esters to total lipids in medium LDL percentage (UKB data field 23621)	cholesteryl esters to total lipids in medium LDL percentage	cholesteryl esters to total lipids in medium LDL percentage	Q	Lipid Measurement	0.9988997	0.9639476	0.9639478	1
158	Cholesteryl Esters to Total Lipids in Small LDL percentage	Cholesteryl esters to total lipids in small LDL percentage (UKB data field 23626)	cholesteryl esters to total lipids in small LDL percentage	cholesteryl esters to total lipids in small LDL percentage	Q	Lipid Measurement	0.9987824	0.96382475	0.96382475	1
159	Cholesteryl Esters to Total Lipids in Large LDL percentage	Cholesteryl esters to total lipids in large LDL percentage (UKB data field 23616)	cholesteryl esters to total lipids in large LDL percentage	cholesteryl esters to total lipids in large LDL percentage	Q	Lipid Measurement	0.9987955	0.9634128	0.96341264	1
160	Cholesteryl Esters to Total Lipids in Small HDL percentage	Cholesteryl esters to total lipids in small HDL percentage (UKB data field 23646)	cholesteryl esters to total lipids in small HDL percentage	cholesteryl esters to total lipids in small HDL percentage	Q	Lipid Measurement	0.9990169	0.96338195	0.9633821	1
161	Cholesteryl Esters to Total Lipids in Medium VLDL percentage	Cholesteryl esters to total lipids in medium VLDL percentage (UKB data field 23596)	cholesteryl esters to total lipids in medium VLDL percentage	cholesteryl esters to total lipids in medium VLDL percentage	Q	Lipid Measurement	0.9990726	0.963294	0.9632941	1
162	Cholesteryl Esters to Total Lipids in Large HDL percentage	Cholesteryl esters to total lipids in large HDL percentage (UKB data field 23636)	cholesteryl esters to total lipids in large HDL percentage	cholesteryl esters to total lipids in large HDL percentage	Q	Lipid Measurement	0.99904096	0.96288025	0.9628804	1
163	Cholesteryl Esters to Total Lipids in Very Large VLDL percentage	Cholesteryl esters to total lipids in very large VLDL percentage (UKB data field 23586)	cholesteryl esters to total lipids in very large VLDL percentage	cholesteryl esters to total lipids in very large VLDL percentage	Q	Lipid Measurement	0.9989222	0.9627603	0.96276027	1
164	Cholesteryl Esters to Total Lipids in Medium HDL percentage	Cholesteryl esters to total lipids in medium HDL percentage (UKB data field 23641)	cholesteryl esters to total lipids in medium HDL percentage	cholesteryl esters to total lipids in medium HDL percentage	Q	Lipid Measurement	0.99905527	0.9625727	0.9625728	1
165	Cholesteryl Esters to Total Lipids in Very Small VLDL percentage	Cholesteryl esters to total lipids in very small VLDL percentage (UKB data field 23606)	cholesteryl esters to total lipids in very small VLDL percentage	cholesteryl esters to total lipids in very small VLDL percentage	Q	Lipid Measurement	0.99890053	0.96193784	0.9619377	1
166	Cholesteryl Esters to Total Lipids in Very Large HDL percentage	Cholesteryl esters to total lipids in very large HDL percentage (UKB data field 23631)	cholesteryl esters to total lipids in very large HDL percentage	cholesteryl esters to total lipids in very large HDL percentage	Q	Lipid Measurement	0.9991744	0.96081555	0.96081537	1
167	Cholesteryl Esters to Total Lipids in Large VLDL percentage	Cholesteryl esters to total lipids in large VLDL percentage (UKB data field 23591)	cholesteryl esters to total lipids in large VLDL percentage	cholesteryl esters to total lipids in large VLDL percentage	Q	Lipid Measurement	0.9990635	0.958979	0.958979	1
168	Cholesteryl Esters to Total Lipids in IDL percentage	Cholesteryl esters to total lipids in IDL percentage (UKB data field 23611)	cholesteryl esters to total lipids in IDL percentage	cholesteryl esters to total lipids in IDL percentage	Q	Lipid Measurement	0.99854887	0.95818067	0.95818067	1
169	Cholesteryl Esters to Total Lipids in Small VLDL percentage	Cholesteryl esters to total lipids in small VLDL percentage (UKB data field 23601)	cholesteryl esters to total lipids in small VLDL percentage	cholesteryl esters to total lipids in small VLDL percentage	Q	Lipid Measurement	0.9990864	0.95705485	0.957055	1
170	Enterocolitis due to clostridium difficile	Clostridioides difficle infection	clostridium difficile infection	clostridium difficile infection	CC	Infection	0.7966383	0.955361	0.7328302	1
171	Insulin-dependent diabetes mellitus	Type 1 diabetes	type 1 diabetes mellitus	type 1 diabetes mellitus	CC	Endocrine	0.6584547	0.9534395	0.59172136	1
172	Free Cholesterol to Total Lipids in Medium VLDL percentage	Free cholesterol to total lipids in medium VLDL percentage (UKB data field 23597)	free cholesterol to total lipids in medium VLDL percentage	free cholesterol to total lipids in medium VLDL percentage	Q	Lipid Measurement	0.9979692	0.9501047	0.9501048	1
173	Triglycerides to Total Lipids in Medium VLDL percentage	Triglycerides to total lipids in medium VLDL percentage (UKB data field 23598)	triglycerides to total lipids in medium VLDL percentage	triglycerides to total lipids in medium VLDL percentage	Q	Lipid Measurement	0.9983016	0.94852626	0.9485264	1
174	Cataract	Cataracts	cataract	cataract	CC	Opthamological	1	0.94764096	0.94764096	1
175	Non-insulin-dependent diabetes mellitus	Type 2 diabetes	type 2 diabetes mellitus	type 2 diabetes mellitus	CC	Endocrine	0.6500521	0.9474359	0.60555303	1
176	Triglycerides to Total Lipids in Large VLDL percentage	Triglycerides to total lipids in large VLDL percentage (UKB data field 23593)	triglycerides to total lipids in large VLDL percentage	triglycerides to total lipids in large VLDL percentage	Q	Lipid Measurement	0.998454	0.9467538	0.94675374	1
177	Free Cholesterol to Total Lipids in Large VLDL percentage	Free cholesterol to total lipids in large VLDL percentage (UKB data field 23592)	free cholesterol to total lipids in large VLDL percentage	free cholesterol to total lipids in large VLDL percentage	Q	Lipid Measurement	0.998146	0.9460358	0.9460356	1
178	Total Lipids in Very Small VLDL	Total lipids in very small VLDL	total lipids in very small VLDL measurement	total lipids in very small VLDL measurement	Q	Lipid Measurement	0.9436388	0.94537234	0.9999999	1
179	Triglycerides in Medium LDL	Triglycerides in medium LDL	triglycerides in medium LDL measurement	triglycerides in medium LDL measurement	Q	Lipid Measurement	0.942932	0.94502234	1	1
180	Free Cholesterol to Total Lipids in Very Small VLDL percentage	Free cholesterol to total lipids in very small VLDL percentage (UKB data field 23607)	free cholesterol to total lipids in very small VLDL percentage	free cholesterol to total lipids in very small VLDL percentage	Q	Lipid Measurement	0.99802065	0.9449723	0.94497204	1
181	Total Lipids in Medium HDL	Total lipids in medium HDL	total lipids in medium HDL measurement	total lipids in medium HDL measurement	Q	Lipid Measurement	0.9448978	0.9449699	0.9999999	1
182	Triglycerides to Total Lipids in Medium LDL percentage	Triglycerides to total lipids in medium LDL percentage (UKB data field 23623)	triglycerides to total lipids in medium LDL percentage	triglycerides to total lipids in medium LDL percentage	Q	Lipid Measurement	0.9985645	0.94474745	0.94474745	1
183	Free Cholesterol to Total Lipids in Very Large VLDL percentage	Free cholesterol to total lipids in very large VLDL percentage (UKB data field 23587)	free cholesterol to total lipids in very large VLDL percentage	free cholesterol to total lipids in very large VLDL percentage	Q	Lipid Measurement	0.9981062	0.94472384	0.94472396	1
184	Triglycerides to Total Lipids in Very Small VLDL percentage	Triglycerides to total lipids in very small VLDL percentage (UKB data field 23608)	triglycerides to total lipids in very small VLDL percentage	triglycerides to total lipids in very small VLDL percentage	Q	Lipid Measurement	0.9983424	0.9446007	0.9446005	1
